Col 2;;;
relative position;internode length (mm);LR length (mm);relative dist to tip
0.6712627;0.37;91.19;99.3287373
1.052249637;0.21;91.55;98.94775036
3.047895501;1.1;75.74;96.9521045
4.735123367;0.93;64.96;95.26487663
7.021044993;1.26;75.62;92.97895501
8.81712627;0.99;45.54;91.18287373
11.01233672;1.21;45.71;88.98766328
12.42743106;0.78;55.11;87.57256894
13.04426705;0.34;56.85;86.95573295
14.36865022;0.73;17.74;85.63134978
16.5820029;1.22;15.36;83.4179971
18.45065312;1.03;8.49;81.54934688
19.68432511;0.68;6.34;80.31567489
23.74818578;2.24;5.21;76.25181422
26.17924528;1.34;3.89;73.82075472
28.97314949;1.54;6.52;71.02685051
30.58780842;0.89;14.25;69.41219158
36.75616836;3.4;4.81;63.24383164
37.88098694;0.62;30.6;62.11901306
41.23730044;1.85;10.56;58.76269956
42.96081277;0.95;22.57;57.03918723
45.46444122;1.38;44.35;54.53555878
51.63280116;3.4;23.24;48.36719884
52.83018868;0.66;27.92;47.16981132
53.46516691;0.35;8.01;46.53483309
57.34760522;2.14;35.15;42.65239478
58.96226415;0.89;12.8;41.03773585
59.54281567;0.32;0.5;40.45718433
65.45718433;3.26;1.3;34.54281567
65.8563135;0.22;0.36;34.1436865
67.03555878;0.65;0.2;32.96444122
68.65021771;0.89;3.14;31.34978229
70.55515239;1.05;2.57;29.44484761
71.97024673;0.78;0.45;28.02975327
73.40348331;0.79;4.23;26.59651669
76.30624093;1.6;0.89;23.69375907
76.81422351;0.28;1.15;23.18577649
79.0820029;1.25;0.38;20.9179971
80.31567489;0.68;1.61;19.68432511
82.72859216;1.33;1.32;17.27140784
84.63352685;1.05;0.32;15.36647315
100;8.47;0;0
