Plant 4;;;
dist to base (mm);internode length (mm);LR length (mm);dist to tip (mm)
7.48;7.48;108.42;97.19
9.57;2.09;93.06;95.1
11.12;1.55;81.59;93.55
12.62;1.5;56.88;92.05
13.15;0.53;46.8;91.52
13.57;0.42;19.92;91.1
14.47;0.9;51.87;90.2
14.76;0.29;10.53;89.91
16.79;2.03;15.49;87.88
17.07;0.28;16.53;87.6
19.12;2.05;20.87;85.55
21.6;2.48;18.57;83.07
26.32;4.72;13.09;78.35
26.94;0.62;15.47;77.73
29.17;2.23;13.26;75.5
29.64;0.47;3.68;75.03
30.97;1.33;11.36;73.7
32.22;1.25;6.55;72.45
32.95;0.73;10.5;71.72
35.05;2.1;0.55;69.62
35.37;0.32;7.68;69.3
36.73;1.36;7.46;67.94
38.44;1.71;3.91;66.23
40.23;1.79;9.18;64.44
42.76;2.53;5.31;61.91
43.25;0.49;6.35;61.42
45.23;1.98;3.48;59.44
47.28;2.05;4.06;57.39
47.58;0.3;1.53;57.09
47.75;0.17;3.13;56.92
49.62;1.87;3.02;55.05
52.64;3.02;1.88;52.03
53.06;0.42;1.63;51.61
54.39;1.33;2.1;50.28
57.44;3.05;0.6;47.23
59.12;1.68;0.59;45.55
59.25;0.13;0.19;45.42
61.31;2.06;0.17;43.36
61.68;0.37;0.12;42.99
64.73;3.05;0.18;39.94
66.76;2.03;0.08;37.91
69.21;2.45;0.04;35.46
104.67;35.46;0;0
