Plant 1;;;
dist to base (mm);internode length (mm);LR length (mm);dist to tip (mm)
8.6;8.6;103.5;90.98
10.01;1.41;69.6;89.57
10.77;0.76;88.85;88.81
12.07;1.3;48.55;87.51
12.29;0.22;67.71;87.29
12.54;0.25;60.26;87.04
13.32;0.78;38.24;86.26
14.13;0.81;23.35;85.45
15.9;1.77;1.32;83.68
17.03;1.13;48.23;82.55
17.92;0.89;0.93;81.66
18.8;0.88;53.26;80.78
19.86;1.06;42.98;79.72
20.05;0.19;0.94;79.53
22.41;2.36;50;77.17
23.51;1.1;0.41;76.07
25.47;1.96;39.95;74.11
26.88;1.41;3.31;72.7
28.19;1.31;0.26;71.39
28.87;0.68;0.31;70.71
29.55;0.68;4.16;70.03
29.92;0.37;0.75;69.66
31.02;1.1;1.73;68.56
31.9;0.88;0.42;67.68
32.49;0.59;4.64;67.09
33.58;1.09;0.31;66
33.74;0.16;4.95;65.84
34.86;1.12;3.13;64.72
35.24;0.38;0.92;64.34
37.69;2.45;2.13;61.89
38.61;0.92;0.5;60.97
40.04;1.43;3.83;59.54
40.2;0.16;1.76;59.38
41.44;1.24;1.68;58.14
43.79;2.35;3.6;55.79
45.62;1.83;3.91;53.96
46.09;0.47;0.19;53.49
47.64;1.55;0.5;51.94
49.16;1.52;0.57;50.42
49.44;0.28;2.6;50.14
51.9;2.46;0.73;47.68
53.06;1.16;1.8;46.52
53.75;0.69;0.49;45.83
54.21;0.46;0.61;45.37
55.04;0.83;0.83;44.54
56.3;1.26;0.94;43.28
58.95;2.65;0.13;40.63
61.82;2.87;0.12;37.76
62.46;0.64;0.08;37.12
63.63;1.17;0.06;35.95
65.86;2.23;0.18;33.72
68;2.14;0.08;31.58
70.35;2.35;0.12;29.23
99.58;29.23;0;0
