Plant 5;;;
dist to base (mm);internode length (mm);LR length (mm);dist to tip (mm)
4.26;4.26;74.5;80.77
5.3;1.04;78.87;79.73
9.53;4.23;72.48;75.5
13.66;4.13;58.79;71.37
14.27;0.61;43.61;70.76
15.86;1.59;27.55;69.17
16.41;0.55;33.96;68.62
17.49;1.08;44.69;67.54
19;1.51;18.65;66.03
20.35;1.35;16.88;64.68
21.13;0.78;5.85;63.9
22.54;1.41;26.11;62.49
24.73;2.19;2.43;60.3
27.22;2.49;0.63;57.81
28.42;1.2;0.6;56.61
29.43;1.01;4.84;55.6
31.49;2.06;0.62;53.54
31.96;0.47;0.46;53.07
33.4;1.44;0.46;51.63
35.17;1.77;3.24;49.86
37.99;2.82;2.47;47.04
40.63;2.64;1.19;44.4
43.87;3.24;0.8;41.16
44.69;0.82;0.57;40.34
48.16;3.47;0.27;36.87
52.05;3.89;0.13;32.98
53.81;1.76;0.2;31.22
85.03;31.22;0;0
