seed,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
65063397,0.04,32.76558,0.26330000000000003,7.738337723440145e-05,0.005409185200013734
35847805,0.04,32.76558,0.2596,7.611954592578877e-05,0.005323472477876412
15498168,0.04,32.76558,0.1525,5.07973540936893e-05,0.003765717923799536
35663029,0.04,32.76558,0.5784,0.00014805140539302412,0.007913422697086142
23863057,0.04,32.76558,0.1116,3.961837362700859e-05,0.003144475594920551
54498622,0.04,32.76558,0.2772,8.496852021863815e-05,0.006263495099405963
77228162,0.04,32.76558,0.0655,2.5443758901423647e-05,0.0020490576556803325
51092194,0.04,32.76558,0.1446,4.9778284268718045e-05,0.003832341117708817
69988447,0.04,32.76558,0.1105,3.929818250375472e-05,0.003111520963727321
84149567,0.04,32.76558,0.08560000000000001,3.163206811046486e-05,0.00259383298848521
32282846,0.04,32.76558,0.2504,7.504567415856834e-05,0.005549334531251945
40350851,0.04,32.76558,0.1385,4.78078773563865e-05,0.0037930055589044756
57002145,0.04,32.76558,0.0689,2.6481301291198217e-05,0.0021436159117085166
14977884,0.04,32.76558,0.11860000000000001,4.1764269904969646e-05,0.0032524300982144645
72062874,0.04,32.76558,0.2611,7.632366776686317e-05,0.005222143860523619
34203270,0.04,32.76558,0.0884,3.24941211346099e-05,0.0026035009377582533
72452011,0.04,32.76558,0.09480000000000001,3.444605548213832e-05,0.0026601112457939956
98290039,0.04,32.76558,0.11270000000000001,3.996627359746713e-05,0.0031488625732491566
16448995,0.04,32.76558,0.1096,3.7515580000254566e-05,0.002859696106452022
61955343,0.04,32.76558,0.17120000000000002,5.359902642216026e-05,0.004120436532050829
65152084,0.04,32.76558,0.1497,4.8208116260453396e-05,0.003597782618474468
25884432,0.04,32.76558,0.08850000000000001,3.252490874261508e-05,0.0026584136597885607
10097647,0.04,32.76558,0.11670000000000001,4.020025941830635e-05,0.0031947767777268155
14919358,0.04,32.76558,0.0981,3.5323502310285936e-05,0.002847960005413784
34244356,0.04,32.76558,0.0524,2.1410582252745045e-05,0.0017343049579845709
94851787,0.04,32.76558,0.2497,7.34170096950941e-05,0.004843265562657077
90840044,0.04,32.76558,0.0854,3.1552020329651386e-05,0.0025601505919991227
56963762,0.04,32.76558,0.10590000000000001,3.738319328583244e-05,0.002975444053933397
3227769,0.04,32.76558,0.066,2.5597696941449548e-05,0.002101288637661157
97703020,0.04,32.76558,0.0766,2.8861183389998646e-05,0.0022845001355375526
95339194,0.04,32.76558,0.06620000000000001,2.5659272157459908e-05,0.0020849882478643595
43453001,0.04,32.76558,0.0697,2.6736838437641214e-05,0.0021586186146492644
54311453,0.04,32.76558,0.19770000000000001,5.994743119282815e-05,0.003945117256976581
27761155,0.04,32.76558,0.0732,2.781440471782252e-05,0.002257858951235142
97932689,0.04,32.76558,0.1781,5.588962445774569e-05,0.004099156324152092
43175540,0.04,32.76558,0.0703,2.6921564085672295e-05,0.0021303108674529526
77199251,0.04,32.76558,0.057800000000000004,2.3073113085024774e-05,0.0018451587984921042
97437817,0.04,32.76558,0.0635,2.4828006741320044e-05,0.002001540076452379
32318456,0.04,32.76558,0.0726,2.762967906979144e-05,0.002262407104768492
16697357,0.04,32.76558,0.0738,2.79991303658536e-05,0.0022298401807674976
16845156,0.04,32.76558,0.0673,2.599793584551689e-05,0.0020616419514351103
79894746,0.04,32.76558,0.1247,4.1656513276951224e-05,0.0032514145897820797
7236022,0.05,32.76558,0.1915,6.450267770868096e-05,0.004416975746633299
26242457,0.05,32.76558,0.21050000000000002,6.918855164706921e-05,0.004958918787266947
64041929,0.05,32.76558,0.3286,9.831670758076911e-05,0.00631846553685845
8248018,0.05,32.76558,0.16590000000000002,5.7655513688329045e-05,0.0039015139074102512
49306103,0.05,32.76558,0.1613,5.625775628489387e-05,0.004080953608258408
38672977,0.05,32.76558,0.3504,0.00010609150223031743,0.00701451689270514
80579507,0.05,32.76558,0.16740000000000002,5.7618568558722756e-05,0.00414212699791041
86118945,0.05,32.76558,0.1767,6.0934393940880726e-05,0.004340018956078559
43822826,0.05,32.76558,0.1252,4.514342979502383e-05,0.0034487151514187475
39990939,0.05,32.76558,0.1158,4.224939464253689e-05,0.0031483336640211372
75818469,0.05,32.76558,0.1211,4.388113786681144e-05,0.003318393408014936
63798043,0.05,32.76558,0.3618,0.0001029502425855479,0.006901646220915142
3739533,0.05,32.76558,0.1129,4.135655401038667e-05,0.0029759354255449893
20076572,0.05,32.76558,0.1105,4.0617651418262344e-05,0.003035147352586834
5251884,0.05,32.76558,0.1383,4.893646310126199e-05,0.003676840577776702
53600303,0.05,32.76558,0.218,6.93270958830922e-05,0.004894409993151372
20269480,0.05,32.76558,0.5839,0.00014430240276445345,0.0074882057995361495
57097743,0.05,32.76558,0.1075,3.968478689570538e-05,0.0030249794603558404
78427852,0.05,32.76558,0.14100000000000001,4.706149777374612e-05,0.0034552308505814695
72872467,0.05,32.76558,0.15230000000000002,5.3265200786790324e-05,0.003844786726769387
2011812,0.05,32.76558,0.1338,4.747713048181644e-05,0.0035178877218204336
76660004,0.05,32.76558,0.1004,3.750810300973915e-05,0.00274613667035808
80198433,0.05,32.76558,0.0955,3.599027393508376e-05,0.0026212660509211064
39485412,0.05,32.76558,0.1414,5.002018690304435e-05,0.003616029181182855
47537352,0.05,32.76558,0.1174,4.258497956979333e-05,0.0031055562934251876
84245662,0.05,32.76558,0.1013,3.7711301222573325e-05,0.00289025278956821
73614982,0.05,32.76558,0.1091,4.013120721178049e-05,0.0028828880648687108
40473276,0.05,32.76558,0.1091,4.018662490618982e-05,0.0029515764603076987
37771359,0.05,32.76558,0.0724,2.8887572768288703e-05,0.0021871891274157047
51601551,0.05,32.76558,0.12760000000000002,4.577149699832949e-05,0.0033225109225454162
55339656,0.05,32.76558,0.0787,3.082719207261505e-05,0.002362846732395718
27421342,0.05,32.76558,0.1154,4.212624421051617e-05,0.0031180862181482295
19933852,0.05,32.76558,0.0998,3.719406940808629e-05,0.002838178910651827
84060201,0.05,32.76558,0.1228,4.436758207329328e-05,0.003307064389728028
4669529,0.05,32.76558,0.1145,4.184915573846955e-05,0.003009769613950748
90244669,0.05,32.76558,0.1373,4.8711713562824186e-05,0.0035682757293414038
70114527,0.05,32.76558,0.0876,3.3567289185076085e-05,0.0024671887700334918
82899819,0.05,32.76558,0.06280000000000001,2.5931962399791407e-05,0.0019696460400714117
88067933,0.05,32.76558,0.1067,3.9429249749262386e-05,0.002980799294217211
49508033,0.05,32.76558,0.1126,4.0663832830270026e-05,0.0029495678432558507
11029610,0.05,32.76558,0.08,3.122743097668239e-05,0.0023380210702477183
74969502,0.05,32.76558,0.09860000000000001,3.693545350084279e-05,0.0027882825915468263
55013966,0.060000000000000005,32.76558,0.14980000000000002,5.401817771400266e-05,0.003750232329762947
49477780,0.060000000000000005,32.76558,0.199,6.918415341735442e-05,0.0046779212928716955
71872787,0.060000000000000005,32.76558,0.3829,0.00011174494272371342,0.006471232656559157
37611776,0.060000000000000005,32.76558,0.6651,0.000173471633765487,0.008255403886131638
67915317,0.060000000000000005,32.76558,0.5433,0.00015262811526989,0.008591686686910164
49743510,0.060000000000000005,32.76558,0.27390000000000003,9.072932149937927e-05,0.0058449801799842415
1782433,0.060000000000000005,32.76558,0.21300000000000002,7.112993024328146e-05,0.004850140147530104
47560408,0.060000000000000005,32.76558,0.1569,5.621333416477201e-05,0.00387989103119537
63117585,0.060000000000000005,32.76558,0.1704,6.035118868066822e-05,0.004104533152100637
18910288,0.060000000000000005,32.76558,0.19310000000000002,6.55204280647377e-05,0.004036128473265887
42996772,0.060000000000000005,32.76558,0.4323,0.0001222693786442036,0.006400828970144079
97327009,0.060000000000000005,32.76558,0.7546,0.00018501276886512827,0.007895964596059575
91401765,0.060000000000000005,32.76558,0.1154,4.3445713125023796e-05,0.0028909763037350176
61406610,0.060000000000000005,32.76558,0.1259,4.6678411965567714e-05,0.0031970212485864717
94425020,0.060000000000000005,32.76558,0.2436,7.676406250822887e-05,0.004909136165860361
81262003,0.060000000000000005,32.76558,0.1811,6.360851760761628e-05,0.0040864527717244595
78910023,0.060000000000000005,32.76558,0.19,6.604381740082598e-05,0.004241407961423887
26445095,0.060000000000000005,32.76558,0.157,5.6253358055178746e-05,0.003787218585948105
15292631,0.060000000000000005,32.76558,0.19540000000000002,6.636708728488018e-05,0.004273486497091873
65674934,0.060000000000000005,32.76558,0.14730000000000001,5.2915981347417164e-05,0.0035941028317987935
35246320,0.060000000000000005,32.76558,0.1578,5.585311915111131e-05,0.00385203857110043
42722540,0.060000000000000005,32.76558,0.17880000000000001,6.200448323054626e-05,0.004020837041317534
60829907,0.060000000000000005,32.76558,0.1857,6.278956723467816e-05,0.0043553853374025545
39055969,0.060000000000000005,32.76558,0.1149,4.3291775084997896e-05,0.002900975165478036
81940335,0.060000000000000005,32.76558,0.1293,4.772519063774384e-05,0.003257315481267245
76944165,0.060000000000000005,32.76558,0.42700000000000005,0.00011986363495467863,0.006383575461189527
89427326,0.060000000000000005,32.76558,0.1447,5.2448009705738475e-05,0.0035825693445340956
92119768,0.060000000000000005,32.76558,0.1369,5.0037339998932866e-05,0.003457891321845374
81116869,0.060000000000000005,32.76558,0.19540000000000002,6.445517682775821e-05,0.004455614271168378
53207940,0.060000000000000005,32.76558,0.1749,5.919665338047359e-05,0.003987585425017081
86999500,0.060000000000000005,32.76558,0.1168,4.387673963709632e-05,0.0028933888568081086
3250022,0.060000000000000005,32.76558,0.218,6.909764023885899e-05,0.004206040359874209
35228347,0.060000000000000005,32.76558,0.1993,6.318980613874494e-05,0.004030330949020834
63479765,0.060000000000000005,32.76558,0.0966,3.7657642820049925e-05,0.00262498952517147
73755937,0.060000000000000005,32.76558,0.135,4.948008429403911e-05,0.0033321857160545617
5679887,0.060000000000000005,32.76558,0.3854,0.00011234837984061495,0.006191613798027256
93424225,0.060000000000000005,32.76558,0.1232,4.580096513742007e-05,0.0030908973409545432
93410477,0.060000000000000005,32.76558,0.1136,4.287306361612744e-05,0.0029156269071897
11056584,0.060000000000000005,32.76558,0.1327,4.8771969309919965e-05,0.0033048503106383417
74826153,0.060000000000000005,32.76558,0.1769,5.821637594158843e-05,0.004000409357495798
9210148,0.060000000000000005,32.76558,0.1388,5.0169726713355074e-05,0.0033752127032054316
31352520,0.060000000000000005,32.76558,0.0811,3.2885563579247e-05,0.0022656228899583034
52094360,0.07,32.76558,0.24150000000000002,8.274785403552207e-05,0.004907930520142154
23477198,0.07,32.76558,0.23040000000000002,7.993078790304817e-05,0.004843787366445987
96096458,0.07,32.76558,0.26580000000000004,8.717203330586601e-05,0.005048064204965236
54941278,0.07,32.76558,0.2856,9.608504582336608e-05,0.005316601848493348
44681922,0.07,32.76558,0.3415,0.00010892655712232609,0.006085689184337138
46053132,0.07,32.76558,0.5581,0.0001513700456422018,0.0065578495217574785
48238120,0.07,32.76558,0.22560000000000002,7.811124026994197e-05,0.004629634315826091
24739585,0.07,32.76558,0.3992,0.00011794055299408146,0.006505103695100585
13460953,0.07,32.76558,0.2069,7.043281083344976e-05,0.0046091000506721935
82640767,0.07,32.76558,0.3609,0.00010968085351845224,0.005718416254166231
48818902,0.07,32.76558,0.449,0.000128940965334336,0.006299723595185878
86576412,0.07,32.76558,0.191,6.766192611298386e-05,0.004131690111505779
4072080,0.07,32.76558,0.21660000000000001,7.373324241160512e-05,0.004759729735227974
69465902,0.07,32.76558,0.1369,5.1384517760645164e-05,0.0033049673248899927
9679797,0.07,32.76558,0.33130000000000004,0.00010270407366839868,0.005625622460705555
19012031,0.07,32.76558,0.2722,8.780317926997201e-05,0.005329792347304509
99423878,0.07,32.76558,0.19110000000000002,6.751722435535948e-05,0.004171498093753083
30536331,0.07,32.76558,0.1859,6.621182977593989e-05,0.004180504088681186
79992855,0.07,32.76558,0.19010000000000002,6.510347588775306e-05,0.004029071330334184
92746608,0.07,32.76558,0.46950000000000003,0.00013165951112119445,0.006557817189945919
7015097,0.07,32.76558,0.16140000000000002,5.8909009157111194e-05,0.003755152903779418
81102721,0.07,32.76558,0.1328,5.011298955003122e-05,0.0030962238671128576
87005810,0.07,32.76558,0.2434,7.655338730487884e-05,0.004257397487314812
36779107,0.07,32.76558,0.1332,5.0189958570044165e-05,0.003316090555342674
39231723,0.07,32.76558,0.18780000000000002,6.458932283406658e-05,0.004057462158864654
57721919,0.07,32.76558,0.1579,5.772984377051278e-05,0.003783472239529808
27639616,0.07,32.76558,0.14780000000000001,5.462029536198958e-05,0.003508285411592257
23941952,0.07,32.76558,0.1542,5.6664592533533556e-05,0.003639202869446218
47665192,0.07,32.76558,0.1423,5.304704859292489e-05,0.0032221684244911407
18764711,0.07,32.76558,0.1491,5.4955880289246036e-05,0.0035796238063443824
14251737,0.07,32.76558,0.1753,6.280979909136746e-05,0.004017526573985907
7815954,0.07,32.76558,0.1063,4.196350971106003e-05,0.0027135300156403415
34659413,0.07,32.76558,0.1841,6.492798652212377e-05,0.003972024157853554
8522180,0.07,32.76558,0.17200000000000001,6.014974975971966e-05,0.0037759379122687107
66321821,0.07,32.76558,0.1889,6.642426427117553e-05,0.00408732458156998
99718582,0.07,32.76558,0.1804,6.384426272034143e-05,0.0039037592369441654
3072797,0.07,32.76558,0.1414,5.2760723838476716e-05,0.003415188815229796
13765720,0.07,32.76558,0.09770000000000001,3.931577542261454e-05,0.00246674377482078
7231104,0.07,32.76558,0.1494,5.520525991408802e-05,0.003412833120106399
68625920,0.07,32.76558,0.4283,0.00011939064933112462,0.006076739036117466
7135614,0.07,32.76558,0.12940000000000002,4.907544716025665e-05,0.0030848035938101973
90604057,0.07,32.76558,0.2189,7.487546266859737e-05,0.004226974612382669
80578185,0.08000000000000002,32.76558,0.4993,0.00014819791042483419,0.0088598440297909
78381926,0.08000000000000002,32.76558,0.9590000000000001,0.0002518191469357533,0.010870295718482388
63974577,0.08000000000000002,32.76558,0.2088,7.484027683087732e-05,0.0044775409967622555
19865396,0.08000000000000002,32.76558,0.5850000000000001,0.00016734626322366692,0.00899012897363478
39991678,0.08000000000000002,32.76558,0.6321,0.00017903939674404095,0.008031761045173898
35657633,0.08000000000000002,32.76558,0.747,0.00020077791100434636,0.009721453287140582
3582969,0.08000000000000002,32.76558,0.2497,8.614856525117981e-05,0.005015429071127343
42838805,0.08000000000000002,32.76558,0.2995,9.738912093387049e-05,0.005185400319245974
57662581,0.08000000000000002,32.76558,0.40490000000000004,0.00012303489052610512,0.006747725732503436
62221116,0.08000000000000002,32.76558,0.2447,8.563441219749345e-05,0.0047272406981119265
91950347,0.08000000000000002,32.76558,0.552,0.00016172136724111757,0.00892257460289447
68472215,0.08000000000000002,32.76558,0.2619,9.007090651103979e-05,0.0049852512646789094
52688945,0.08000000000000002,32.76558,0.24580000000000002,8.35162247667367e-05,0.004868007095248447
67284518,0.08000000000000002,32.76558,0.3546,0.00011397440536626099,0.0065371620923635075
39595345,0.08000000000000002,32.76558,0.2442,8.390106986680158e-05,0.004784249879139186
5030852,0.08000000000000002,32.76558,0.22210000000000002,7.618261653990277e-05,0.004630956763023262
65978889,0.08000000000000002,32.76558,0.2311,8.109631877752984e-05,0.004890823661234704
1641278,0.08000000000000002,32.76558,0.19920000000000002,7.098874706942915e-05,0.004114596788312717
82431301,0.08000000000000002,32.76558,0.5076,0.00014432944747897982,0.007111886325027697
7144007,0.08000000000000002,32.76558,0.2036,7.269438055291618e-05,0.0042930378199314894
43469247,0.08000000000000002,32.76558,0.4218,0.00012319221520301095,0.005939335118344042
79677312,0.08000000000000002,32.76558,0.19410000000000002,7.030526217171428e-05,0.003904418018898606
