distance_from_base_(mm)	lateral_root_length_(mm)	order
1.24	96.862	1
2.48	105.183	1
3.72	95.335	1
4.96	93.75	1
6.2	91.547	1
7.44	91.908	1
8.68	90.064	1
9.92	82.777	1
11.16	76.87	1
12.4	61.52	1
13.64	57.27	1
14.88	36.64	1
16.12	55.53	1
18.18	54.732	1
18.76	53.05	1
19.34	51.438	1
20.29	48.94	1
21.69	46.32	1
23.82	43.25	1
25.01	42.91	1
26.92	39.73	1
27.36	37.5	1
27.97	34.7	1
29.88	6.67	1
30.37	31.15	1
31.96	28.39	1
33.52	26.861	1
34.42	21.82	1
36.02	10.6	1
37.36	8.64	1
38.79	5.86	1
41.665	3.68	1
43.228	13.78	1
44.796	10.326	1
47.108	2.98	1
48.569	1.16	1
53.006	1.29	1
53.516	9.55	1
55.546	7.2	1
55.816	6.91	1
60.216	2.82	1
61.526	1.46	1
63.816	25.07	1
67.936	11.81	1
69.156	9.48	1
72.046	2.24	1
73.346	6.1	1
75.996	2.71	1
79.17	10.6	1
81.06	3.14	1
82.49	0.34	1
82.89	5.02	1
83.98	1.31	1
84.81	3.86	1
86.65	15.08	1
87.83	0.81	1
90.55	0.35	1
91.31	7.72	1
92.955	2.48	1
94.535	7.76	1
95.505	4.89	1
98.475	5.34	1
99.205	1.12	1
101.795	0.65	1
103.025	1.96	1
104.355	2.32	1
105.775	1.17	1
106.245	3.02	1
108.485	1.35	1
108.935	3.47	1
110.155	2.82	1
111.275	1.3	1
113.035	2.65	1
140.845	0.0	1
14.07	18.92	1-1
16.71	14.48	1-1
19.35	9.87	1-1
21.85	12.6	1-1
24.51	3.56	1-1
25.57	3.97	1-1
28.34	14.62	1-1
31.96	10.0	1-1
34.02	2.07	1-1
37.81	0.89	1-1
40.164	8.932	1-1
43.449	4.383	1-1
49.382	3.06	1-1
50.732	3.17	1-1
54.042	4.5	1-1
57.122	1.35	1-1
57.782	1.1	1-1
63.792	0.82	1-1
66.012	0.96	1-1
72.102	0.35	1-1
73.452	0.35	1-1
75.062	0.32	1-1
83.832	3.56	1-1
96.872	0.0	1-1
14.25	10.93	1-2
16.19	14.67	1-2
19.29	9.82	1-2
21.31	11.16	1-2
24.97	4.11	1-2
26.15	2.93	1-2
27.72	5.75	1-2
29.4	5.06	1-2
33.29	6.15	1-2
36.06	3.87	1-2
37.56	1.02	1-2
38.897	2.18	1-2
39.778	2.45	1-2
42.555	3.24	1-2
46.863	0.5	1-2
47.247	1.27	1-2
49.353	1.77	1-2
52.573	0.77	1-2
54.353	1.6	1-2
56.913	2.58	1-2
62.823	0.81	1-2
64.263	0.66	1-2
69.933	0.41	1-2
105.173	0.0	1-2
25.0	3.39	1-3
38.063	7.107	1-3
45.375	3.28	1-3
48.435	1.38	1-3
51.325	0.93	1-3
60.475	0.66	1-3
60.825	0.45	1-3
65.935	0.45	1-3
67.745	0.48	1-3
95.335	0.0	1-3
17.67	5.11	1-4
20.32	4.22	1-4
25.58	1.9	1-4
26.75	8.72	1-4
28.72	0.78	1-4
31.3	4.32	1-4
32.56	1.51	1-4
35.52	4.11	1-4
42.95	1.37	1-4
51.0	0.93	1-4
54.01	0.83	1-4
93.74	0.0	1-4
19.75	0.826	1-5
23.668	0.975	1-5
26.043	0.707	1-5
41.083	2.85	1-5
44.879	1.3	1-5
92.204	0.0	1-5
15.19	0.512	1-6
20.315	0.721	1-6
27.241	0.72	1-6
35.875	1.71	1-6
42.401	0.546	1-6
48.287	1.54	1-6
91.902	0.0	1-6
35.331	1.37	1-7
44.724	1.23	1-7
90.064	0.0	1-7
39.118	1.0	1-8
41.257	0.81	1-8
47.997	0.68	1-8
82.777	0.0	1-8
45.05	0.92	1-9
76.87	0.0	1-9
38.452	0.45	1-10
44.177	1.08	1-10
61.52	0.0	1-10
37.4	2.75	1-11
57.27	0.0	1-11
35.1	0.56	1-12
36.64	0.0	1-12
3.4	0.85	1-14
6.8	4.69	1-14
12.33	0.81	1-14
14.9	0.34	1-14
54.493	0.0	1-14
