distance_from_base_(mm)	lateral_root_length_(mm)	order
0.75	115.36	1
1.32	113.815	1
1.86	112.707	1
2.49	105.434	1
3.21	110.969	1
3.96	105.544	1
4.75	103.087	1
5.59	100.176	1
6.63	93.178	1
7.66	92.875	1
8.72	88.749	1
9.79	83.87	1
11.06	82.888	1
12.28	82.562	1
12.93	77.246	1
13.29	77.174	1
14.34	74.681	1
15.08	74.09	1
15.6	66.68	1
16.23	64.548	1
18.36	61.821	1
19.94	55.254	1
21.55	54.715	1
23.58	4.41	1
25.58	49.64	1
27.38	1.07	1
27.57	47.669	1
30.52	3.82	1
31.46	39.28	1
32.56	35.557	1
33.9	1.96	1
34.97	32.954	1
36.18	17.819	1
38.87	16.373	1
40.83	3.3	1
43.803	5.07	1
45.05	8.96	1
46.619	24.17	1
47.568	0.46	1
49.292	19.433	1
51.076	16.06	1
52.634	12.384	1
54.357	7.79	1
58.17	0.34	1
60.126	0.48	1
61.054	0.509	1
61.536	4.018	1
64.129	0.681	1
65.565	0.482	1
66.41	1.247	1
68.741	0.418	1
71.971	0.87	1
73.451	0.38	1
74.311	1.09	1
75.377	19.89	1
80.397	2.14	1
81.387	16.7	1
83.867	11.86	1
86.467	10.99	1
88.197	11.49	1
89.877	0.99	1
91.307	0.59	1
91.617	3.73	1
92.907	4.24	1
94.647	13.94	1
96.837	0.74	1
97.447	0.92	1
98.411	0.44	1
99.092	0.43	1
100.434	2.96	1
101.431	3.94	1
103.594	1.65	1
104.321	0.36	1
105.259	1.18	1
107.557	0.47	1
108.157	1.06	1
111.078	0.4	1
112.121	0.73	1
112.94	1.53	1
114.24	3.07	1
116.89	1.95	1
118.69	0.95	1
119.34	0.38	1
120.08	0.48	1
121.44	1.83	1
122.43	0.85	1
123.66	2.98	1
123.87	0.51	1
125.312	0.46	1
126.142	0.84	1
129.242	0.62	1
132.302	0.51	1
162.032	0.0	1
38.205	1.16	1-1
41.714	0.643	1-1
47.673	1.57	1-1
50.653	0.76	1-1
62.343	1.8	1-1
62.763	1.51	1-1
65.453	0.4	1-1
66.593	0.53	1-1
114.873	0.0	1-1
51.147	0.82	1-2
59.339	0.867	1-2
66.475	0.57	1-2
70.505	0.51	1-2
113.815	0.0	1-2
13.008	0.944	1-3
15.17	0.871	1-3
17.605	0.634	1-3
21.89	5.412	1-3
24.522	2.942	1-3
27.217	3.076	1-3
30.353	1.14	1-3
34.014	1.526	1-3
36.346	2.341	1-3
39.352	1.509	1-3
51.691	0.656	1-3
111.803	0.0	1-3
9.04	1.14	1-4
12.52	0.9	1-4
15.825	0.682	1-4
17.008	3.69	1-4
17.689	3.808	1-4
21.409	2.5	1-4
24.699	4.48	1-4
25.117	1.004	1-4
26.524	1.751	1-4
29.453	2.735	1-4
31.022	1.531	1-4
38.485	1.183	1-4
39.072	1.816	1-4
40.457	1.021	1-4
42.14	1.177	1-4
46.73	0.605	1-4
52.156	1.371	1-4
104.006	0.0	1-4
39.533	0.509	1-5
111.03	0.0	1-5
10.58	0.549	1-8
14.867	0.873	1-8
23.345	1.605	1-8
100.093	0.0	1-8
7.93	2.16	1-9
9.49	5.67	1-9
11.44	2.69	1-9
16.48	0.7	1-9
18.24	5.2	1-9
19.625	2.588	1-9
19.955	7.949	1-9
22.322	0.804	1-9
24.48	5.236	1-9
25.713	9.097	1-9
34.189	1.967	1-9
36.556	1.228	1-9
92.063	0.0	1-9
9.928	0.926	1-10
15.93	0.699	1-10
17.613	0.465	1-10
18.079	0.697	1-10
19.347	0.85	1-10
22.736	0.891	1-10
29.306	2.07	1-10
92.241	0.0	1-10
8.38	6.24	1-11
9.94	4.18	1-11
12.02	5.36	1-11
13.21	1.35	1-11
17.13	5.75	1-11
19.26	1.07	1-11
88.099	0.0	1-11
17.77	1.28	1-13
21.42	3.39	1-13
23.91	0.64	1-13
25.73	1.42	1-13
28.62	1.02	1-13
32.94	0.82	1-13
82.158	0.0	1-13
12.89	0.34	1-15
14.75	0.49	1-15
27.58	0.64	1-15
30.338	0.845	1-15
77.118	0.0	1-15
6.93	0.51	1-17
17.35	0.91	1-17
74.651	0.0	1-17
