distance_from_base_(mm)	lateral_root_length_(mm)	order
0.97	66.754	1
2.09	44.781	1
3.05	43.794	1
3.98	43.431	1
4.57	11.3	1
5.22	39.839	1
5.64	32.412	1
6.32	29.073	1
8.27	24.07	1
9.41	23.38	1
12.31	16.92	1
14.9	15.31	1
16.99	11.51	1
18.74	3.19	1
20.98	1.5	1
23.865	0.74	1
26.122	1.04	1
27.368	4.42	1
30.704	2.08	1
33.205	2.39	1
33.775	24.182	1
36.03	13.569	1
40.915	9.851	1
43.393	7.588	1
46.174	0.933	1
46.744	5.05	1
48.654	0.6	1
49.584	0.77	1
50.821	0.53	1
67.738	0.0	1
3.19	13.63	1-1
4.71	10.63	1-1
9.42	6.94	1-1
12.86	3.27	1-1
14.75	1.04	1-1
16.96	0.71	1-1
18.41	1.75	1-1
20.48	1.15	1-1
24.173	0.5	1-1
25.823	1.16	1-1
28.243	0.36	1-1
66.204	0.0	1-1
2.37	4.31	1-2
4.27	2.79	1-2
5.98	2.7	1-2
8.68	0.86	1-2
11.47	2.1	1-2
24.276	1.05	1-2
26.578	0.64	1-2
27.519	0.42	1-2
44.291	0.0	1-2
1.77	11.79	1-3
5.75	4.94	1-3
10.59	1.66	1-3
12.87	0.56	1-3
43.684	0.0	1-3
8.174	0.634	1-4
12.192	0.816	1-4
14.11	0.609	1-4
43.357	0.0	1-4
6.514	0.403	1-6
39.753	0.0	1-6
2.563	2.989	1-7
7.566	1.524	1-7
10.699	0.956	1-7
12.824	0.545	1-7
32.08	0.0	1-7
2.281	0.463	1-8
4.053	0.702	1-8
7.907	0.464	1-8
29.15	0.0	1-8
3.14	0.24	1-9
8.827	0.376	1-9
23.951	0.0	1-9
