dist Col1,bn Col1,dist Col2,nb Col2,dist Col3,nb col3,dist Col4,nb col4,dist colesk11,nb colesk11,dist colesk2,nb colesk2,dist colirx1,nb irx1,dist 1,nb 1,dist 2,nb 2,dist 4,nb 4,dist 5,nb 5,dist 7,nb 7,dist 8,nb 8,dist II 1,nb dist II 1,dist II 4,nb II 4,dist II 7,nb II 7,dist II col2,nb II Col2,dist II Col4,nb II col4,dist II col22,nb II col22,dist II Col23,nb II Col23,dist II colesk1,nb II colesk1,dist II colirx,nb II colirx
93.16,40,32.39,22,37.34,18,32.48,11,95.27,41,68.01,25,115.87,56,70.71,34,70.73,21,69.62,23,49.86,8,46.21,10,45.92,7,60.22,13,54.57,15,23.84,7,50.17,26,41.78,24,29.69,8,42.85,16,49.88,12,74.97,33
90.86,39,31.44,21,37.08,17,30.63,10,93.05,40,65.82,24,111.63,55,70.03,33,67.95,20,69.3,22,47.04,7,44.5,9,44.28,6,57.43,12,54.01,14,23.34,6,48.39,25,41.12,23,27.2,7,42.05,15,47.58,11,73.96,32
88.08,38,30.06,20,35.37,16,30.53,9,92.89,39,63.99,23,109.27,54,69.66,32,67.26,19,67.94,21,44.4,6,42.95,8,43.82,5,56.98,11,53.78,13,22.85,5,47.31,24,38.68,22,26.07,6,40.49,14,46.38,10,70.3,31
86.26,37,26.66,19,34.27,15,29.54,8,91.05,38,62.28,22,106.18,53,68.56,31,66.44,18,66.23,20,41.16,5,41.35,7,39.2,4,55.7,10,51.91,12,21.99,4,46.38,23,36.33,21,24.42,5,38.21,13,44.89,9,69.63,30
82.77,36,26,18,33.2,14,28.54,7,89.59,37,58.61,21,103.76,52,67.68,30,65.1,17,64.44,19,40.34,4,40.11,6,36.66,3,52.78,9,49.25,11,19.96,3,44.1,22,35.64,20,22.39,4,37.15,12,41.66,8,68.38,29
81.62,35,25.65,17,33.04,13,27.87,6,87.92,36,57.27,20,101.63,51,67.09,29,64.23,16,61.91,18,36.87,3,38.97,5,33.96,2,51.23,8,48.75,10,19.1,2,43.11,21,34.79,19,21.35,3,35.01,11,41.19,7,66.45,28
79.8,34,23.51,16,31.24,12,27.07,5,87.54,35,55.16,19,100.34,50,66,28,63,15,61.42,17,32.98,2,36.97,4,30.71,1,47.91,7,47.55,9,18.17,1,41.79,20,34.47,18,20.05,2,33.52,10,38.09,6,65.01,27
78.51,33,22.62,15,27.71,11,26.4,4,86.17,34,53.68,18,98.45,49,65.84,27,61.5,14,59.44,16,31.22,1,36.67,3,,,46.79,6,44.85,8,,,40.34,19,33.73,17,18.29,1,31.21,9,37.35,5,64.8,26
76.39,32,22.3,14,27.28,10,24.64,3,82.74,33,53.37,17,97.24,48,64.72,26,59.67,13,57.39,15,,,35.97,2,,,46.01,5,43.09,7,,,40.21,18,30.9,16,,,30.43,8,36.58,4,62.87,25
74.32,31,19.04,13,25.92,9,18.01,2,82.13,32,49.99,16,95.46,47,64.34,25,57.65,12,57.09,14,,,33.05,1,,,45.01,4,41.05,6,,,40.01,17,30.51,15,,,29.04,7,34.49,3,61.54,24
72.49,30,18.82,12,24.91,8,17.25,1,80.62,31,48.69,15,93.69,46,61.89,24,55.62,11,56.92,13,,,,,,,44.22,3,40.74,5,,,38.23,16,29.41,14,,,27.93,6,31.76,2,61.09,23
69.91,29,18.17,11,22.99,7,,,80.46,30,47.39,14,92.12,45,60.97,23,53.8,10,55.05,12,,,,,,,42.73,2,37.83,4,,,37.26,15,28.93,13,,,27.7,5,29.3,1,58.82,22
66.12,28,17.28,10,21.78,6,,,78.13,29,45.77,13,90.44,44,59.54,22,51.94,9,52.03,11,,,,,,,40.91,1,36.16,3,,,36.29,14,26.57,12,,,26.41,4,,,55.93,21
63.75,27,16.23,9,18.31,5,,,77.33,28,44.57,12,87.36,43,59.38,21,50.63,8,51.61,10,,,,,,,,,33.68,2,,,35.42,13,25.69,11,,,25.24,3,,,54.9,20
60.86,26,15.45,8,16.81,4,,,73.69,27,42.76,11,84.66,42,58.14,20,48.89,7,50.28,9,,,,,,,,,31.38,1,,,34,12,25.34,10,,,23.69,2,,,52.58,19
60.58,25,14.66,7,14.8,3,,,71.54,26,40.36,10,81.2,41,55.79,19,48.42,6,47.23,8,,,,,,,,,,,,,32.42,11,24.43,9,,,22.21,1,,,50.87,18
