index,primary_length,k0,axfold,radfold,delta,nude_length,length,surface,Jv,i3,i4,i6,i8,seed
55,0.1,50,1.0,1.0,0.0015,0.021,1.3937,0.00113018418722,0.0164324465276,26,17,14,5,317999
56,0.1,50,1.0,1.0,0.0015,0.024,1.964,0.00153473335641,0.0219271451495,42,31,22,9,68447243
57,0.1,50,1.0,1.0,0.0015,0.027,1.4347,0.00118218885537,0.0170944570327,25,21,17,6,85170583
58,0.1,50,1.0,1.0,0.0015,0.03,1.476,0.0011814675457,0.0171032994169,31,21,12,9,99360862
59,0.1,50,1.0,1.0,0.0015,0.033,1.2118,0.00100817729492,0.0143968132548,20,31,14,4,34408747
60,0.1,50,1.0,1.0,0.0015,0.036,1.5774,0.00129140569565,0.0185099055352,30,26,16,8,41439708
61,0.1,50,1.0,1.0,0.0016,0.009,1.9096,0.00148790980286,0.0214840049634,39,31,17,7,34027760
62,0.1,50,1.0,1.0,0.0016,0.012,1.5958,0.00127484196255,0.0182724858587,29,27,14,6,51359743
63,0.1,50,1.0,1.0,0.0016,0.015,1.1505,0.000961432909512,0.0139318895946,19,16,12,7,79815977
64,0.1,50,1.0,1.0,0.0016,0.018,1.2619,0.0010366514341,0.0150431668806,25,20,12,4,99096960
65,0.1,50,1.0,1.0,0.0016,0.021,1.3096,0.00110040817205,0.0158223732565,26,22,16,8,64681221
66,0.1,50,1.0,1.0,0.0016,0.024,1.3577,0.00110221144623,0.0159044133515,27,21,13,7,51934089
67,0.1,50,1.0,1.0,0.0016,0.027,1.0281,0.000881552261427,0.0128097321503,19,17,12,2,42372572
68,0.1,50,1.0,1.0,0.0016,0.03,1.3471,0.00109518307515,0.0158875104009,28,21,11,5,62158075
69,0.1,50,1.0,1.0,0.0016,0.033,0.7376,0.00067578548244,0.0097654733916,10,12,10,5,64245753
70,0.1,50,1.0,1.0,0.0016,0.036,1.0688,0.000915216311666,0.0132677563039,17,18,11,4,12694822
71,0.1,50,1.0,1.0,0.0017,0.009,1.8646,0.00148508613938,0.0213250008685,34,29,20,6,95391300
72,0.1,50,1.0,1.0,0.0017,0.012,1.1,0.000921285868673,0.0133759518143,17,17,11,3,22625422
73,0.1,50,1.0,1.0,0.0017,0.015,1.5971,0.00126046854784,0.0181696324576,30,18,20,8,82251407
74,0.1,50,1.0,1.0,0.0017,0.018,1.0267,0.000840578353402,0.0122318033013,14,14,13,4,23540181
75,0.1,50,1.0,1.0,0.0017,0.021,1.063,0.000901194755335,0.0130614248477,22,13,9,5,9307046
76,0.1,50,1.0,1.0,0.0017,0.024,0.706,0.00063318422942,0.00922733903642,10,8,8,2,65028999
77,0.1,50,1.0,1.0,0.0017,0.027,1.0748,0.000914873249748,0.0131664654158,18,17,13,4,45654674
78,0.1,50,1.0,1.0,0.0017,0.03,1.1317,0.000950727618385,0.0137734956479,18,15,14,4,80188765
79,0.1,50,1.0,1.0,0.0017,0.033,1.1395,0.000960940307784,0.0138785335987,19,18,13,4,63517806
