LR length (mm),relative distance to tip (%),III order root length,relative distance to tip (%)
26.88,51.43,32.15,88.79
11.36,50.9,10.41,80.4
8.63,48.51,8.05,76.36
21.52,47.09,9.89,73.61
1.72,46.25,3.05,69.84
16.95,45.44,8.98,68.53
9.03,44.35,2.03,63.92
5.18,43.49,0.95,62.96
9.09,43.26,6.13,62.82
8.06,42.48,11.84,61.24
9.07,42.21,13.7,60.15
4.4,39.71,16.97,58.89
9.13,38.24,15.94,54.04
5.14,38.03,11.17,50.59
3.68,36.26,11.28,48.98
3.76,35.12,9.74,46.96
3.01,35.06,10.75,44.5
0.66,34.33,8.63,41.45
3.53,33.48,3.28,37.98
4.12,31.25,3.03,36.4
3.02,29.58,3.04,34.1
2.38,28.63,0.55,31.26
3.89,28.36,0.22,29.81
3.56,27.24,0.27,27.99
2.76,25.55,0.19,25.54
1.86,23.36,44.54,97.18
0.63,22.63,7.4,93.14
0.35,22.01,19.92,90.63
0.89,21.37,32.37,89.1
92.55,97.5,31.83,87.75
62.65,97.28,30.2,86.05
112.75,95.69,16.45,85.62
73.39,93.9,33.78,85.44
72.7,92.61,40.5,82.52
77.3,91.47,15.57,78.65
80.71,90.21,25.72,77.35
95.6,88.86,26.11,74.94
18.13,87.6,13.13,72.83
75.31,86.69,15.15,70.71
6.05,85.59,23.55,68.74
62.86,83.33,21.33,68.15
91.27,82.2,21.16,64.45
2.71,81.06,16.22,64.07
39.82,78.12,19.1,61.96
11.2,77.77,14.62,59.12
2.61,76.71,19.03,58.19
56.27,75.09,24.79,54.73
2.45,72.92,17.31,51.41
29.94,71.25,19.28,50.43
1.99,68.96,20.04,49.23
53.23,67.04,11.56,48.78
53.32,65.25,13.27,47.73
43.91,61.4,13.24,43.72
0.86,60,9.31,43.17
0.72,57.79,8.37,41.62
1.17,56.24,11.3,40.94
0.71,55.91,7.78,37.6
16.04,52.37,9.44,36.35
1.25,51.01,1.74,35.86
47.07,49.65,9.05,34.57
20.51,47.95,6,32.26
0.75,46.69,4.77,29.7
9.11,44.8,1.26,27.83
34.87,42.28,0.95,27.71
32.9,39.83,0.66,26.66
6.27,39.2,0.49,25.34
26.84,36.48,0.21,24.4
19.22,34.17,0.19,21.55
8.68,32.11,49.72,97.49
23.46,31.48,14.82,94.58
27.36,25.85,15.35,94.16
24.98,23.39,22.82,91.88
2.91,19.72,17.96,89.16
108.92,99,12.37,84.16
107.09,97.18,12.84,81.54
107.81,96.67,3.72,81.02
110.2,96.17,10.86,79.61
77.59,95.73,6.67,78.16
119.98,95.35,5.72,77.09
133.49,94.82,0.54,74.57
9.26,93.54,7.32,74.28
120.07,92.12,7.18,72.72
1.57,90.18,3.81,70.78
21.49,89.25,8.63,68.72
1.86,88.66,5.2,66.04
0.5,85.72,6.07,65.49
0.91,84.88,3.46,63.29
2.46,83.4,3.17,61.09
0.64,82.14,1.41,60.47
76.19,80.95,2.82,60.21
45.69,80.02,2.95,58.12
8.35,76.39,1.87,55.14
66.82,74.89,1.49,54.58
56.55,72.15,1.08,53.24
65.62,70.62,0.55,50.21
14.7,68.62,0.42,48.24
21.4,67.06,0.18,45.96
0.44,65.68,0.11,45.61
6.26,64.85,0.17,42.35
0.46,63.63,0.1,40.48
29.98,62.84,0.19,37.71
0.66,61.69,0.15,35.13
6.87,60.55,30.99,97.55
6.87,59.54,19.98,93.25
10.98,58.45,3.34,91.71
21.7,56.46,6.96,90.78
12.94,54.71,13,89.3
12.2,52.48,23.6,86.62
9.78,50.77,12.12,79.64
3.88,49.6,9.22,75.94
5.6,48.97,6.96,73.9
11.48,48.19,11.02,71.17
11.63,47.38,8.2,69.94
6.96,45.57,0.07,66.6
6.19,44.28,8.22,62.92
4.88,44.08,2.42,57.11
1.64,43.2,5.51,55.72
4.57,43.09,3.45,53.48
2.3,41.81,4.48,50.98
6.9,41.01,1.51,49.64
0.21,39.89,4.25,46.03
10.57,39.66,0.34,42.59
4.21,38.15,0.88,41.69
10.74,36.66,1.92,40.82
7.39,35.25,1.26,39.28
2.33,35.16,1.37,35.66
2.9,34.34,0.29,34.12
4.08,33.94,0.26,32.46
7.22,33.14,,
2.2,32.61,,
3.51,31.43,,
3.53,30.47,,
3.1,30.35,,
1.58,29.35,,
2.16,29.12,,
3.61,28.46,,
2.52,27.87,,
2.39,26.52,,
1.78,25.45,,
2.34,24.97,,
1.73,24.13,,
0.19,23.62,,
1.98,23.47,,
0.12,22.95,,
0.2,21.97,,
0.73,20.18,,
0.64,19.04,,
0.45,17.89,,
103.5,91.36,,
69.6,89.95,,
88.85,89.18,,
48.55,87.88,,
67.71,87.66,,
60.26,87.41,,
38.24,86.62,,
23.35,85.81,,
1.32,84.03,,
48.23,82.9,,
0.93,82,,
53.26,81.12,,
42.98,80.06,,
0.94,79.87,,
50,77.5,,
0.41,76.39,,
39.95,74.42,,
3.31,73.01,,
0.26,71.69,,
0.31,71.01,,
4.16,70.33,,
0.75,69.95,,
1.73,68.85,,
0.42,67.97,,
4.64,67.37,,
0.31,66.28,,
4.95,66.12,,
