1,200219,2,200619-1,3,200619-2,4,200702-1,5,200703-2,6,200703-3,7,10h45,8,160316-2,9,9h06,10,0724-Col-1,,x K median,mediancurve from cut and flow measurements,average,SE,,median -t*SE,median + t*SE,,dist. From tip (m),K lowess from Poiseuille's law on xylem,,
0,0,0,0,0,0.07,0,0,0,0.23,0,0.08,0,0.06,0,0,0,0.14,0,0,,0,0.03,0.06,0.02,0.01,0.01,0.08,,0,0.03,-0.01,0.06
0.02,0,0.02,0.06,0.02,0,0.02,0.42,0.02,0.36,0.02,0.02,0.02,0.27,0.02,1.68,0.02,0.33,0.02,1.2,,0.02,0.3,0.43,0.18,0.07,-0.03,0.63,,0.02,0.12,-0.01,0.26
0.04,0.07,0.04,0.88,0.04,0.14,0.04,0.41,0.04,0.37,0.04,0.68,0.04,0.1,0.04,0.93,0.04,0.31,0.04,0.45,,0.04,0.39,0.43,0.1,0.42,0.21,0.57,,0.04,1.77,1.03,2.51
0.06,0.15,0.06,0.28,0.06,0.43,0.06,0.31,0.06,0.37,0.06,0.81,0.06,0.79,0.06,0.33,0.06,0.15,0.06,0.45,,0.06,0.35,0.41,0.07,0.56,0.22,0.49,,0.06,2.18,1.75,2.6
0.08,0.24,0.08,0.01,0.08,0.45,0.08,0.35,0.08,0.45,0.08,0.32,0.08,1.27,0.08,0.48,0.08,0.01,0.08,0.83,,0.08,0.4,0.44,0.12,0.44,0.18,0.62,,0.08,1.83,1.57,2.1
0.1,0.45,0.1,0.34,0.1,0.79,0.1,0.78,0.1,2.52,0.1,0.13,0.1,0.67,0.1,0.79,0.1,0.16,0.1,2.81,,0.1,0.72,0.94,0.3,0.72,0.18,1.27,,0.1,3.05,2.05,4.04
0.12,0.68,0.12,1.24,0.12,1.2,0.12,0.4,0.12,3.5,0.12,0.48,0.12,1.15,0.12,0.16,0.12,0.29,0.12,2.18,,0.12,0.92,1.13,0.33,0.95,0.32,1.51,,0.12,4.19,2.99,5.39
0.15,0.04,0.15,0.89,0.15,1.09,0.15,0.48,0.15,2.75,0.15,0,0.15,0.53,0.15,0.84,,,0.15,1.25,,0.15,0.84,0.87,0.28,0.86,0.33,1.35,,0.15,3.45,0.71,6.18
0.2,0.37,,,0.2,0.44,,,0.2,1.28,,,,,0.2,729.8,,,0.2,0,,0.2,0.44,146,146,1.16,-311,311,,0.2,2.6,2.04,3.16
