index,primary_length,k0,axfold,radfold,delta,nude_length,length,surface,Jv,i3,i4,i6,i8,seed
1,0.1,50,1.0,1.0,0.001,0.009,2.0703,0.0016302453129,0.0233952893168,40,28,15,7,53684983
2,0.1,50,1.0,1.0,0.001,0.012,1.9418,0.00151955946389,0.0218455699603,38,22,20,6,98649225
3,0.1,50,1.0,1.0,0.001,0.015,1.7516,0.00144168440856,0.0204188652243,30,26,17,8,60316488
4,0.1,50,1.0,1.0,0.001,0.018,3.0654,0.0023252887583,0.03289688449,57,49,28,10,45535538
5,0.1,50,1.0,1.0,0.001,0.021,2.2688,0.00176616820401,0.0250257542848,39,40,25,7,53052161
6,0.1,50,1.0,1.0,0.001,0.024,1.8789,0.00151458066785,0.0218013658452,42,23,13,5,63258110
7,0.1,50,1.0,1.0,0.001,0.027,1.8592,0.00150859907544,0.0216418786411,36,20,18,10,78323332
8,0.1,50,1.0,1.0,0.001,0.03,2.9361,0.00219081640335,0.0313483394892,70,40,18,10,37005036
9,0.1,50,1.0,1.0,0.001,0.033,2.3001,0.0017724576725,0.0255468285876,41,29,16,6,45079713
10,0.1,50,1.0,1.0,0.001,0.036,1.9075,0.00152488132184,0.0217430990541,36,29,20,5,93253157
11,0.1,50,1.0,1.0,0.0011,0.009,2.1112,0.0016762771851,0.0239187080507,42,32,19,11,17732711
12,0.1,50,1.0,1.0,0.0011,0.012,1.9052,0.00147501419334,0.0212555906959,28,35,15,5,94339413
13,0.1,50,1.0,1.0,0.0011,0.015,2.524,0.00195397261284,0.0277840575565,47,40,22,9,99755125
14,0.1,50,1.0,1.0,0.0011,0.018,1.673,0.0013708817066,0.0195547954531,41,25,15,6,53163900
15,0.1,50,1.0,1.0,0.0011,0.021,1.9483,0.00153786489596,0.0221130178037,41,32,18,7,46019828
16,0.1,50,1.0,1.0,0.0011,0.024,1.8685,0.00148936121867,0.0213759457619,30,29,24,6,52113307
17,0.1,50,1.0,1.0,0.0011,0.027,2.5832,0.00199950308685,0.0286076295125,50,38,22,9,1862324
18,0.1,50,1.0,1.0,0.0011,0.03,1.8984,0.00148663431624,0.0214436758217,39,29,18,4,30009921
19,0.1,50,1.0,1.0,0.0011,0.033,2.8945,0.00221063570609,0.0311652501674,58,48,32,11,1994718
20,0.1,50,1.0,1.0,0.0011,0.036,1.9426,0.00155591523071,0.02225765211,36,29,18,5,80785934
21,0.1,50,1.0,1.0,0.0012,0.009,1.6814,0.00134512567339,0.0193696979951,36,22,13,7,12508407
22,0.1,50,1.0,1.0,0.0012,0.012,1.8777,0.00149217608568,0.0213987285263,36,35,16,6,78511378
23,0.1,50,1.0,1.0,0.0012,0.015,1.8136,0.00142819063979,0.0206576909226,38,26,13,7,19649065
24,0.1,50,1.0,1.0,0.0012,0.018,1.6395,0.00132009094985,0.0190899275123,30,18,20,5,5136992
25,0.1,50,1.0,1.0,0.0012,0.021,2.3404,0.00182434798668,0.0260963144116,51,36,20,9,42816098
26,0.1,50,1.0,1.0,0.0012,0.024,1.1906,0.00100810692325,0.014595177348,18,20,12,4,89473800
27,0.1,50,1.0,1.0,0.0012,0.027,2.1076,0.00165738239024,0.0236735154918,39,39,19,7,61320531
28,0.1,50,1.0,1.0,0.0012,0.03,1.5835,0.00125874444179,0.0181312656596,28,24,12,6,27540553
29,0.1,50,1.0,1.0,0.0012,0.033,1.6958,0.00134977020397,0.0195089259906,35,19,15,5,12860293
30,0.1,50,1.0,1.0,0.0012,0.036,1.5056,0.00124875166388,0.0179257408659,30,22,13,4,66547057
31,0.1,50,1.0,1.0,0.0013,0.009,1.7598,0.00138696163444,0.0198915473908,41,28,17,5,179035
32,0.1,50,1.0,1.0,0.0013,0.012,1.8725,0.00145970835393,0.0209375496315,37,28,20,7,88759684
33,0.1,50,1.0,1.0,0.0013,0.015,1.5239,0.00124170569987,0.0177762230586,29,31,18,4,67378167
34,0.1,50,1.0,1.0,0.0013,0.018,1.2293,0.00102262108131,0.0148426059544,27,11,9,5,410847
35,0.1,50,1.0,1.0,0.0013,0.021,1.5953,0.00129654282796,0.0186535314023,30,26,16,4,79380301
36,0.1,50,1.0,1.0,0.0013,0.024,1.3827,0.00114209459329,0.016362664054,27,21,14,5,10737565
37,0.1,50,1.0,1.0,0.0013,0.027,1.5174,0.0012227933121,0.0176935135127,23,23,11,5,86944105
38,0.1,50,1.0,1.0,0.0013,0.03,1.4621,0.00120732033996,0.0173536784946,27,18,15,7,40480052
39,0.1,50,1.0,1.0,0.0013,0.033,2.3248,0.00177470956612,0.0255100308227,48,36,22,8,49904895
40,0.1,50,1.0,1.0,0.0013,0.036,1.5643,0.00123633985962,0.0178850932142,23,27,18,6,228134
41,0.1,50,1.0,1.0,0.0014,0.009,1.3305,0.00110090077378,0.0158551970689,28,19,13,4,18631000
42,0.1,50,1.0,1.0,0.0014,0.012,1.3999,0.00114830489364,0.016619989491,30,23,12,4,18264305
43,0.1,50,1.0,1.0,0.0014,0.015,1.8326,0.00145334851376,0.0209801975364,41,19,17,6,43901879
44,0.1,50,1.0,1.0,0.0014,0.018,1.8349,0.00144302147039,0.0207665474972,33,25,15,10,5364389
45,0.1,50,1.0,1.0,0.0014,0.021,1.5868,0.00124093161144,0.0179811091094,34,26,12,6,69085847
46,0.1,50,1.0,1.0,0.0014,0.024,1.6168,0.00127914343121,0.0183787260242,29,23,16,5,62688541
47,0.1,50,1.0,1.0,0.0014,0.027,1.5883,0.0012680862817,0.0181530396479,30,27,17,8,1262666
48,0.1,50,1.0,1.0,0.0014,0.03,1.5282,0.00123171292196,0.0177597561634,23,21,20,7,4335060
49,0.1,50,1.0,1.0,0.0014,0.033,1.9188,0.00148228006883,0.0213960302145,42,25,23,7,17222484
50,0.1,50,1.0,1.0,0.0014,0.036,1.8764,0.00149211451047,0.0211133984744,27,30,25,6,17779323
51,0.1,50,1.0,1.0,0.0015,0.009,1.263,0.00105817637032,0.0152720631936,25,19,16,5,19897894
52,0.1,50,1.0,1.0,0.0015,0.012,1.2369,0.00103841072598,0.0148484025059,21,23,19,4,70591877
53,0.1,50,1.0,1.0,0.0015,0.015,1.3224,0.00107342943098,0.0155674452345,25,21,10,6,29543558
54,0.1,50,1.0,1.0,0.0015,0.018,1.4548,0.00119137235901,0.0171852619993,30,20,12,6,31852454
55,0.1,50,1.0,1.0,0.0015,0.021,1.0698,0.000880549465052,0.0128367100537,17,16,6,4,30855209
56,0.1,50,1.0,1.0,0.0015,0.024,1.5317,0.00122178171926,0.0176088837415,34,22,10,7,76923100
57,0.1,50,1.0,1.0,0.0015,0.027,1.7194,0.00136343110547,0.0195737698686,33,22,17,10,32285414
