index,primary_length,k0,axfold,radfold,delta,nude_length,length,surface,Jv,i3,i4,i6,i8,seed
55,0.12,50,1.0,1.0,0.0014,0.009,1.5585,0.00127461451124,0.0184470365734,26,18,16,8,36176998
56,0.12,50,1.0,1.0,0.0014,0.014,1.7347,0.00137635436101,0.0198818417932,37,20,16,9,66078915
57,0.12,50,1.0,1.0,0.0014,0.019,2.3393,0.0018480732944,0.026473356309,43,34,23,12,58718288
58,0.12,50,1.0,1.0,0.0014,0.024,2.0126,0.00160814106699,0.0230171484858,36,28,16,15,52270397
59,0.12,50,1.0,1.0,0.0014,0.029,2.0601,0.00163881432102,0.0232194446157,36,34,24,12,86479876
60,0.12,50,1.0,1.0,0.0014,0.034,1.8902,0.00147833171518,0.0213554017675,23,27,24,9,33363504
61,0.12,50,1.0,1.0,0.0018,0.009,1.1149,0.000956710467435,0.013865772637,18,16,14,5,93319039
62,0.12,50,1.0,1.0,0.0018,0.014,0.8678,0.00077405198737,0.0112339986852,15,12,9,6,26283709
63,0.12,50,1.0,1.0,0.0018,0.019,1.1454,0.000974118660647,0.0140343907967,20,15,13,9,48189100
64,0.12,50,1.0,1.0,0.0018,0.024,1.7343,0.00135721590422,0.0196600420033,24,29,20,8,71252786
65,0.12,50,1.0,1.0,0.0018,0.029,1.1294,0.00096743335148,0.0140339763776,16,18,9,5,60012125
66,0.12,50,1.0,1.0,0.0018,0.034,1.3289,0.0010890883854,0.0157516595405,20,19,18,7,70903778
67,0.12,50,1.0,1.0,0.0022,0.009,1.0627,0.000920688966069,0.0133414317006,17,18,13,6,97256122
68,0.12,50,1.0,1.0,0.0022,0.014,1.2498,0.00102821688614,0.014930216934,20,19,14,9,2267049
69,0.12,50,1.0,1.0,0.0022,0.019,0.7706,0.000672479270331,0.00983861814232,13,9,6,5,23344270
70,0.12,50,1.0,1.0,0.0022,0.024,1.2931,0.00107630712985,0.0155842620119,18,18,13,11,55844300
71,0.12,50,1.0,1.0,0.0022,0.029,1.077,0.000906746577872,0.0130723873355,17,16,16,5,21345610
72,0.12,50,1.0,1.0,0.0022,0.034,1.2903,0.00106537313077,0.0153858353742,22,19,12,8,13848713
73,0.13,50,1.0,1.0,0.001,0.009,3.8711,0.00294339761555,0.0413368690753,62,62,39,22,83075536
74,0.13,50,1.0,1.0,0.001,0.014,2.4039,0.00191077948377,0.0274532829962,49,27,21,7,31228785
75,0.13,50,1.0,1.0,0.001,0.019,3.231,0.00249100274423,0.0351638014715,58,49,32,15,15899441
76,0.13,50,1.0,1.0,0.001,0.024,3.7401,0.00284291829842,0.040197267916,72,47,34,17,9082026
77,0.13,50,1.0,1.0,0.001,0.029,3.8069,0.00288374706486,0.0405818153819,79,56,38,19,44504351
78,0.13,50,1.0,1.0,0.001,0.034,3.0352,0.00232363690889,0.0329566506675,59,46,25,15,40006821
79,0.13,50,1.0,1.0,0.0014,0.009,2.3034,0.00179278729556,0.0257708845101,38,32,26,11,70622461
80,0.13,50,1.0,1.0,0.0014,0.014,2.4177,0.00186468779565,0.0267172650292,48,39,19,14,32814586
81,0.13,50,1.0,1.0,0.0014,0.019,2.8184,0.00214558865321,0.0305829418334,49,46,32,18,5185734
82,0.13,50,1.0,1.0,0.0014,0.024,2.0904,0.00173402342798,0.0246967753083,34,24,24,13,18824889
83,0.13,50,1.0,1.0,0.0014,0.029,1.9842,0.00156806062791,0.0224267756654,35,31,19,11,34659054
84,0.13,50,1.0,1.0,0.0014,0.034,2.6314,0.00207859833677,0.0295326543213,48,42,32,11,37282561
85,0.13,50,1.0,1.0,0.0018,0.009,1.6914,0.00135992760134,0.0194497174544,29,22,22,12,49720851
86,0.13,50,1.0,1.0,0.0018,0.014,0.9153,0.000823167646916,0.0119332904881,11,11,14,6,92912465
