1,0.14,50,1.0,1.0,0.001,0.009,3.8991,0.00297244415291,0.0411399659557,61,56,41,25,33109704
2,0.14,50,1.0,1.0,0.001,0.012,4.5013,0.00337779643884,0.0472482596041,82,69,45,20,60401364
3,0.14,50,1.0,1.0,0.001,0.015,4.1683,0.00318512758794,0.0440273334659,59,68,47,29,39970024
4,0.14,50,1.0,1.0,0.001,0.018,3.9087,0.00291309971901,0.0412303705073,73,57,38,18,56005014
5,0.14,50,1.0,1.0,0.001,0.021,3.0343,0.00244289993416,0.0338884094819,42,47,37,19,54643775
6,0.14,50,1.0,1.0,0.001,0.024,3.0672,0.0024298811742,0.0345177478421,59,35,29,10,11061399
7,0.14,50,1.0,1.0,0.001,0.027,3.4979,0.00270358300937,0.0376210172116,55,55,39,16,19417473
8,0.14,50,1.0,1.0,0.001,0.03,4.1104,0.00306476299462,0.042669824173,76,58,38,22,23767251
9,0.14,50,1.0,1.0,0.001,0.033,4.5278,0.00336229883662,0.0474424518572,74,81,50,28,12484450
10,0.14,50,1.0,1.0,0.001,0.036,2.8511,0.00226668046239,0.032214062596,56,36,21,14,14646902
11,0.14,50,1.0,1.0,0.0011,0.009,2.9248,0.00226788557734,0.0319439583709,41,53,32,14,72047353
12,0.14,50,1.0,1.0,0.0011,0.012,2.5598,0.00205311122389,0.0290603630725,40,41,24,11,85327244
13,0.14,50,1.0,1.0,0.0011,0.015,2.6659,0.00206484570077,0.0295400800592,47,36,24,12,95969378
14,0.14,50,1.0,1.0,0.0011,0.018,3.0313,0.00238426009666,0.0337307564858,48,47,29,15,86515297
15,0.14,50,1.0,1.0,0.0011,0.021,4.0068,0.00301176960443,0.04224284503,64,64,49,21,37380173
16,0.14,50,1.0,1.0,0.0011,0.024,2.5054,0.00198090108843,0.0281533000491,52,32,24,14,59708068
17,0.14,50,1.0,1.0,0.0011,0.027,2.902,0.00226181602033,0.03212303517,50,42,29,14,28744726
18,0.14,50,1.0,1.0,0.0011,0.03,3.4468,0.00261410102581,0.0369990317472,61,49,39,18,34177275
19,0.14,50,1.0,1.0,0.0011,0.033,3.5962,0.00276316142908,0.0387779609401,73,51,36,19,46709073
20,0.14,50,1.0,1.0,0.0011,0.036,3.2906,0.00253448515116,0.0355581361644,55,57,34,17,87336982
21,0.14,50,1.0,1.0,0.0012,0.009,2.7708,0.00214688148142,0.0303847967663,37,38,34,17,4684905
22,0.14,50,1.0,1.0,0.0012,0.012,3.3904,0.00260168482333,0.036188276374,55,60,39,14,28784411
23,0.14,50,1.0,1.0,0.0012,0.015,3.3,0.00250970640459,0.0353342423503,47,53,38,14,29379214
