index;primary_length;k0;axfold;radfold;delta;length;surface;Jv;i3;i4;i6;i8;seed
147;0.12;50;3;1;0.0019;0.8963;0.000775189;0.011470742;15;8;10;7;77902023
148;0.12;50;3;2;0.0019;3.169;0.002154359;0.062612197;42;55;39;17;17015253
149;0.12;50;3;4;0.0019;1.8961;0.001490723;0.083543242;29;28;25;13;84961394
150;0.12;50;3;8;0.0019;1.4281;0.001154604;0.125482539;19;22;18;9;53290942
151;0.12;50;4;0.25;0.0019;1.6519;0.001295592;0.004826374;34;28;20;9;20116261
152;0.12;50;4;0.5;0.0019;1.9625;0.001549902;0.01150002;34;27;23;16;42780766
153;0.12;50;4;1;0.0019;1.5543;0.001260063;0.018636432;30;24;20;7;60318712
154;0.12;50;4;2;0.0019;1.8503;0.001375419;0.040332348;31;31;24;9;83340476
155;0.12;50;4;4;0.0019;1.6981;0.001361085;0.078230188;36;24;22;7;80883811
156;0.12;50;4;8;0.0019;1.52;0.001200984;0.133630216;25;24;19;8;32153147
157;0.12;50;5;0.25;0.0019;1.6523;0.001324218;0.004934888;32;28;20;8;5550140
158;0.12;50;5;0.5;0.0019;2.0621;0.001477042;0.010984447;38;32;31;11;9785486
159;0.12;50;5;1;0.0019;1.4145;0.00114015;0.016891532;18;24;17;10;11019551
160;0.12;50;5;2;0.0019;1.3589;0.00110493;0.032532732;26;22;19;4;88728656
161;0.12;50;5;4;0.0019;1.6027;0.001264463;0.073336938;28;21;23;6;54634876
162;0.12;50;5;8;0.0019;1.8559;0.001395999;0.157187107;26;33;20;13;62444479
163;0.12;50;0.0625;0.25;0.002;1.5301;0.001233939;0.003986655;27;21;20;9;16105739
164;0.12;50;0.0625;0.5;0.002;1.5026;0.001189703;0.007050665;29;28;15;9;81204479
165;0.12;50;0.0625;1;0.002;1.273;0.001042848;0.009927453;19;19;17;8;31067174
166;0.12;50;0.0625;2;0.002;1.5465;0.001280067;0.017820677;30;31;20;7;39367519
167;0.12;50;0.0625;4;0.002;2.0488;0.00149624;0.030265257;41;40;24;12;85349167
168;0.12;50;0.0625;8;0.002;1.7636;0.001388254;0.028980047;28;33;26;11;30760242
169;0.12;50;0.125;0.25;0.002;1.1521;0.000968351;0.003354924;21;15;13;8;48410034
170;0.12;50;0.125;0.5;0.002;1.1185;0.000938811;0.006087189;17;20;16;7;12305467
171;0.12;50;0.125;1;0.002;2.4021;0.001765919;0.018679704;32;37;31;21;80336587
172;0.12;50;0.125;2;0.002;2.0327;0.001588977;0.028598446;30;36;31;14;24571716
173;0.12;50;0.125;4;0.002;1.1585;0.000982198;0.029741747;24;19;10;6;37730848
174;0.12;50;0.125;8;0.002;2.1587;0.001604429;0.060225062;40;37;31;15;74420461
175;0.12;50;0.25;0.25;0.002;1.708;0.001349424;0.004839185;30;27;24;11;45078487
176;0.12;50;0.25;0.5;0.002;1.2295;0.001014028;0.007115428;20;20;13;5;71328323
177;0.12;50;0.25;1;0.002;1.0983;0.000927283;0.012046363;17;14;12;9;52511255
178;0.12;50;0.25;2;0.002;1.3758;0.001108435;0.026475628;26;27;14;10;54922850
179;0.12;50;0.25;4;0.002;1.4208;0.001116478;0.044904846;24;21;15;8;86542209
180;0.12;50;0.25;8;0.002;1.6494;0.001291124;0.076445625;25;29;21;8;2883634
181;0.12;50;0.5;0.25;0.002;1.3847;0.001120273;0.004102013;29;27;14;7;2913816
182;0.12;50;0.5;0.5;0.002;1.1431;0.000937401;0.006792608;19;14;13;7;92622136
183;0.12;50;0.5;1;0.002;1.7691;0.001320698;0.018527723;25;31;27;13;27271899
184;0.12;50;0.5;2;0.002;2.0523;0.001571368;0.040323623;34;39;25;12;4892271
185;0.12;50;0.5;4;0.002;1.4899;0.001136406;0.055879206;28;24;18;8;56231789
186;0.12;50;0.5;8;0.002;1.1665;0.000972534;0.078334212;19;17;13;7;84568455
187;0.12;50;1;0.25;0.002;2.2813;0.001655598;0.006113599;28;38;37;17;43730121
188;0.12;50;1;0.5;0.002;1.1086;0.000943107;0.006938684;26;17;11;5;70567371
189;0.12;50;1;1;0.002;2.1593;0.001665021;0.023657604;34;36;23;18;42739236
190;0.12;50;1;2;0.002;1.5372;0.001194404;0.033126731;27;27;19;7;8195644
191;0.12;50;1;4;0.002;2.1485;0.001564329;0.082050683;35;32;28;14;796080
192;0.12;50;1;8;0.002;1.6497;0.001305641;0.118907657;32;25;18;12;32385320
193;0.12;50;2;0.25;0.002;1.443;0.001171619;0.004354431;29;22;16;10;90035641
194;0.12;50;2;0.5;0.002;1.338;0.00109205;0.008091188;27;21;15;6;4405053
195;0.12;50;2;1;0.002;2.3607;0.001654325;0.024158249;39;40;37;15;68063272
196;0.12;50;2;2;0.002;0.9774;0.000840802;0.02436557;15;13;11;6;54454466
197;0.12;50;2;4;0.002;1.6816;0.001326426;0.073897566;25;29;23;11;47421166
198;0.12;50;2;8;0.002;1.3883;0.001123292;0.115297627;20;25;17;7;26385441
199;0.12;50;3;0.25;0.002;1.8189;0.001433707;0.005336244;29;32;21;11;15298017
200;0.12;50;3;0.5;0.002;1.7349;0.001359617;0.010086026;28;30;21;12;51765696
201;0.12;50;3;1;0.002;1.321;0.001073212;0.015864855;27;18;13;3;15809929
202;0.12;50;3;2;0.002;1.1335;0.000939753;0.027461429;20;22;11;8;24017495
203;0.12;50;3;4;0.002;1.4627;0.001184592;0.0671963;24;26;16;9;76194432
204;0.12;50;3;8;0.002;1.6893;0.001340269;0.143923481;28;26;22;13;497825
205;0.12;50;4;0.25;0.002;1.9531;0.001499926;0.005586436;39;41;24;14;79806107
206;0.12;50;4;0.5;0.002;2.0464;0.001482068;0.011019657;29;40;27;11;43054615
207;0.12;50;4;1;0.002;1.5259;0.001156432;0.017150705;26;27;17;6;97308560
208;0.12;50;4;2;0.002;1.2614;0.001025326;0.030182153;31;19;11;5;82181229
209;0.12;50;4;4;0.002;1.4834;0.001169085;0.067098299;18;27;20;11;19317654
210;0.12;50;4;8;0.002;1.0323;0.000882453;0.09852239;19;17;11;8;70206785
211;0.12;50;5;0.25;0.002;1.1341;0.000966279;0.003601295;19;18;12;6;5838348
212;0.12;50;5;0.5;0.002;2.3616;0.001649685;0.012274536;34;41;33;11;31579831
213;0.12;50;5;1;0.002;1.7027;0.001319784;0.019554159;23;27;21;16;59283820
214;0.12;50;5;2;0.002;1.7375;0.001282724;0.037747162;24;34;17;12;98781662
215;0.12;50;5;4;0.002;1.4408;0.001107351;0.064063911;23;18;15;9;42107897
216;0.12;50;5;8;0.002;2.4764;0.001789954;0.200233262;40;38;34;16;76824999
217;0.13;50;0.0625;0.25;0.0017;2.4633;0.00184419;0.005818328;36;38;34;16;14001384
218;0.13;50;0.0625;0.5;0.0017;2.933;0.002019996;0.011124721;45;51;43;16;49368611
219;0.13;50;0.0625;1;0.0017;1.9104;0.001450924;0.013393559;32;29;20;8;75562723
220;0.13;50;0.0625;2;0.0017;2.169;0.001707024;0.023399468;41;33;22;12;12191052
221;0.13;50;0.0625;4;0.0017;2.8629;0.002076783;0.039269812;50;37;27;17;43412518
222;0.13;50;0.0625;8;0.0017;1.7518;0.0013922;0.036971217;31;25;17;7;42645721
223;0.13;50;0.125;0.25;0.0017;1.6677;0.001318641;0.004572151;27;28;22;10;27261586
224;0.13;50;0.125;0.5;0.0017;2.8787;0.002051222;0.013215699;52;50;38;17;41443812
225;0.13;50;0.125;1;0.0017;1.7391;0.001365863;0.016110683;37;28;19;7;27107572
226;0.13;50;0.125;2;0.0017;1.5309;0.001222632;0.025498774;28;23;10;7;68126453
227;0.13;50;0.125;4;0.0017;1.581;0.00120675;0.036890174;34;27;20;4;85470108
228;0.13;50;0.125;8;0.0017;3.4955;0.002427824;0.081049246;58;55;45;23;77134928
229;0.13;50;0.25;0.25;0.0017;2.1448;0.001592976;0.005735227;36;35;28;11;55131563
230;0.13;50;0.25;0.5;0.0017;2.1718;0.001651802;0.011202499;29;35;30;16;47756678
231;0.13;50;0.25;1;0.0017;2.1661;0.001597049;0.020603111;36;36;29;12;27668372
232;0.13;50;0.25;2;0.0017;3.7199;0.002592493;0.055489114;52;58;47;25;15236427
233;0.13;50;0.25;4;0.0017;2.9353;0.002145608;0.07590209;49;52;32;15;92315090
234;0.13;50;0.25;8;0.0017;2.937;0.002046914;0.105391003;54;42;39;21;37190977
235;0.13;50;0.5;0.25;0.0017;1.8521;0.001476745;0.005385593;34;30;20;11;29144591
236;0.13;50;0.5;0.5;0.0017;1.7738;0.001401738;0.009994471;25;29;25;10;99447356
237;0.13;50;0.5;1;0.0017;1.602;0.001270214;0.017433574;29;25;18;12;60044219
238;0.13;50;0.5;2;0.0017;1.7789;0.001386261;0.036396894;28;27;19;7;91730513
239;0.13;50;0.5;4;0.0017;2.1339;0.001634667;0.076393673;36;37;23;11;41371978
240;0.13;50;0.5;8;0.0017;1.3736;0.001136834;0.086583449;22;20;15;7;66435852
241;0.13;50;1;0.25;0.0017;2.7457;0.002030016;0.007476091;41;39;38;20;6283990
242;0.13;50;1;0.5;0.0017;3.0464;0.002112654;0.015434102;51;44;42;17;76098408
243;0.13;50;1;1;0.0017;2.0899;0.001614718;0.023078068;31;38;28;13;64076270
244;0.13;50;1;2;0.0017;1.9023;0.001520127;0.042098023;34;31;23;10;3826771
245;0.13;50;1;4;0.0017;2.7931;0.002027728;0.100893979;36;50;41;19;94437914
246;0.13;50;1;8;0.0017;1.373;0.001136084;0.102412426;21;17;20;5;46105563
247;0.13;50;2;0.25;0.0017;1.8393;0.001417677;0.005261951;31;30;25;12;8464598
248;0.13;50;2;0.5;0.0017;1.5946;0.001282449;0.009447121;18;26;23;13;37849381
249;0.13;50;2;1;0.0017;1.8054;0.001397923;0.020461942;26;27;26;10;516940
250;0.13;50;2;2;0.0017;2.4858;0.001896806;0.05417399;44;34;30;14;73181692
251;0.13;50;2;4;0.0017;2.8706;0.002099914;0.114536249;41;48;31;20;33854327
252;0.13;50;2;8;0.0017;2.6669;0.001980787;0.202625037;41;36;36;20;84969033
253;0.13;50;3;0.25;0.0017;3.4042;0.002338399;0.008689816;53;50;42;21;48930938
254;0.13;50;3;0.5;0.0017;2.6614;0.001943954;0.014396801;40;38;41;16;86061487
255;0.13;50;3;1;0.0017;3.4042;0.002208555;0.032574361;52;53;44;24;34077270
256;0.13;50;3;2;0.0017;2.3185;0.00178712;0.051491629;32;31;35;19;73093357
257;0.13;50;3;4;0.0017;1.6811;0.001346162;0.075964638;22;27;20;14;61941184
258;0.13;50;3;8;0.0017;3.5887;0.002505987;0.265584535;50;51;46;26;9571710
259;0.13;50;4;0.25;0.0017;2.2621;0.00167474;0.006231919;30;35;36;17;18394062
260;0.13;50;4;0.5;0.0017;1.7248;0.001362074;0.010123037;27;25;18;11;34949357
261;0.13;50;4;1;0.0017;2.7652;0.001940896;0.028654616;44;45;35;15;62941441
262;0.13;50;4;2;0.0017;1.328;0.001070755;0.031462689;25;18;15;5;1949982
263;0.13;50;4;4;0.0017;1.9107;0.001506951;0.085876061;32;33;23;11;67989486
264;0.13;50;4;8;0.0017;1.4327;0.001185812;0.131086118;20;20;16;7;9907928
265;0.13;50;5;0.25;0.0017;1.7511;0.001347353;0.005020849;28;29;15;10;7419342
266;0.13;50;5;0.5;0.0017;2.1203;0.001625158;0.012087106;35;34;24;12;13210622
267;0.13;50;5;1;0.0017;1.6517;0.001342821;0.019839331;20;17;28;12;70318692
268;0.13;50;5;2;0.0017;2.3208;0.001800905;0.052691592;37;38;34;11;56622772
269;0.13;50;5;4;0.0017;1.6498;0.001314943;0.076337292;31;27;15;11;31914755
270;0.13;50;5;8;0.0017;2.7194;0.001983084;0.220487384;45;43;34;19;37232112
271;0.13;50;0.0625;0.25;0.0018;1.9341;0.001440884;0.004708201;39;31;18;12;31137892
272;0.13;50;0.0625;0.5;0.0018;1.4838;0.001199797;0.007060256;25;25;14;10;98219254
273;0.13;50;0.0625;1;0.0018;1.45;0.001153345;0.011966072;26;22;14;6;60848131
274;0.13;50;0.0625;2;0.0018;3.0287;0.002142858;0.027911184;47;48;33;22;8543807
275;0.13;50;0.0625;4;0.0018;2.0642;0.001594774;0.030664244;30;34;29;12;97456546
276;0.13;50;0.0625;8;0.0018;2.0369;0.001557013;0.040199793;32;30;29;9;99670131
277;0.13;50;0.125;0.25;0.0018;1.3046;0.001083907;0.003789058;25;13;12;8;67431144
278;0.13;50;0.125;0.5;0.0018;3.1508;0.002174087;0.014033101;55;53;40;17;52183459
279;0.13;50;0.125;1;0.0018;3.8272;0.002545054;0.027587977;65;63;49;25;43824971
280;0.13;50;0.125;2;0.0018;1.7453;0.0013891;0.025234115;25;39;22;7;94119273
281;0.13;50;0.125;4;0.0018;1.9598;0.001498883;0.04384096;31;24;26;11;29387573
282;0.13;50;0.125;8;0.0018;1.8593;0.001457976;0.05670563;29;36;21;8;2247918
283;0.13;50;0.25;0.25;0.0018;2.292;0.00172623;0.006159606;35;34;27;14;48787715
284;0.13;50;0.25;0.5;0.0018;1.5993;0.00130623;0.008982563;23;28;18;8;26109167
285;0.13;50;0.25;1;0.0018;2.5018;0.00189088;0.022724078;32;38;39;22;76408544
286;0.13;50;0.25;2;0.0018;1.8382;0.001486302;0.032068379;31;38;20;9;92990838
287;0.13;50;0.25;4;0.0018;2.8831;0.002084428;0.077239968;49;46;35;19;5247443
288;0.13;50;0.25;8;0.0018;1.7737;0.001410411;0.080833804;37;29;21;8;62421824
289;0.13;50;0.5;0.25;0.0018;1.4314;0.001177588;0.004317431;22;23;15;8;59696842
290;0.13;50;0.5;0.5;0.0018;1.7771;0.001401316;0.010066459;31;27;21;6;91177462
