index,primary_length,axfold,radfold,delta,length,surface,Jv,i0,seed
1,0.12,1.0,1.0,0.0017,2.76,0.00239485266744,0.0255124300148,45,28306123
2,0.12,1.0,1.0,0.0018,2.1492,0.00195032162979,0.020578849837,25,11529845
3,0.12,1.0,1.0,0.0019,1.4488,0.0013609238632,0.0146654252495,25,82497399
4,0.12,1.0,1.0,0.002,1.3666,0.00129918578703,0.01388751973,25,21846792
5,0.13,1.0,1.0,0.0017,2.6956,0.00236019924171,0.025008879971,35,68222057
6,0.13,1.0,1.0,0.0018,1.3526,0.00130156636028,0.0139445291262,16,55401528
7,0.13,1.0,1.0,0.0019,1.8573,0.00170207850751,0.0182581722037,34,64339311
8,0.13,1.0,1.0,0.002,2.3037,0.00202961402093,0.0217676824469,39,59550301
9,0.14,1.0,1.0,0.0017,2.697,0.00241461946789,0.0257619102043,41,24883155
10,0.14,1.0,1.0,0.0018,1.7779,0.00166686773811,0.0177474631638,26,43337729
11,0.14,1.0,1.0,0.0019,2.1623,0.00195261454004,0.0208245026431,35,7505801
12,0.14,1.0,1.0,0.002,1.4615,0.00139231365169,0.0149415770122,27,7194740
13,0.15,1.0,1.0,0.0017,4.9876,0.00421488596564,0.0435293432885,85,54105761
14,0.15,1.0,1.0,0.0018,2.2486,0.00201430576878,0.0214486432261,38,28236431
15,0.15,1.0,1.0,0.0019,2.3042,0.00213542145407,0.0225615255224,32,40051717
16,0.15,1.0,1.0,0.002,2.2621,0.0021070234671,0.0222395862611,38,83224906
17,0.12,1.0,1.0,0.0017,1.4024,0.0013255530485,0.0141759573629,25,79041648
18,0.12,1.0,1.0,0.0018,2.4691,0.00223298414172,0.0237393754501,33,20134746
19,0.12,1.0,1.0,0.0019,2.1712,0.00199377432982,0.0212543840594,29,78336715
20,0.12,1.0,1.0,0.002,1.7546,0.0016459605144,0.0174745022252,32,9480649
21,0.13,1.0,1.0,0.0017,1.789,0.00168506384276,0.0179553645562,26,28632566
22,0.13,1.0,1.0,0.0018,4.0099,0.00350799504655,0.0367208462105,59,78250007
23,0.13,1.0,1.0,0.0019,1.2414,0.00118902395567,0.0128171114085,20,40835439
24,0.13,1.0,1.0,0.002,1.1255,0.0011120855976,0.0118856329021,16,36532710
25,0.14,1.0,1.0,0.0017,1.9199,0.00177899595513,0.0190835965242,32,36238008
26,0.14,1.0,1.0,0.0018,3.1828,0.00266709293317,0.0281920549289,51,97642148
27,0.14,1.0,1.0,0.0019,1.4247,0.00136827066612,0.0146982368819,24,2371525
28,0.14,1.0,1.0,0.002,1.8972,0.00169487325219,0.0181077668176,28,17023438
29,0.15,1.0,1.0,0.0017,2.7533,0.00247382154994,0.026023656346,40,66465802
30,0.15,1.0,1.0,0.0018,2.6166,0.0023926399809,0.02493015621,34,84160362
31,0.15,1.0,1.0,0.0019,1.6113,0.00154222040002,0.0162893864099,17,84644017
32,0.15,1.0,1.0,0.002,1.7768,0.00167725922183,0.0179007900914,31,1542636
33,0.12,1.0,1.0,0.0017,2.0268,0.0018499056723,0.0197394072605,39,41310748
34,0.12,1.0,1.0,0.0018,1.5813,0.00147482062096,0.015834424326,24,47866990
35,0.12,1.0,1.0,0.0019,2.1844,0.00196769820601,0.0210257822306,31,34583411
36,0.12,1.0,1.0,0.002,1.4079,0.0013287619969,0.0143108756936,19,4135760
37,0.13,1.0,1.0,0.0017,2.6493,0.00243633978604,0.0253465969186,45,33044698
38,0.13,1.0,1.0,0.0018,1.7614,0.00166309983754,0.0177040175445,27,22181748
39,0.13,1.0,1.0,0.0019,3.1062,0.00268236238037,0.0285403968648,51,47218374
40,0.13,1.0,1.0,0.002,1.3195,0.00127079986377,0.0136143521967,23,91299955
41,0.14,1.0,1.0,0.0017,2.5208,0.00229014685262,0.0243547000809,34,87482102
42,0.14,1.0,1.0,0.0018,1.2568,0.00123909239744,0.0132411430404,21,83931628
43,0.14,1.0,1.0,0.0019,1.3439,0.00129659208813,0.0138760795767,16,79640888
44,0.14,1.0,1.0,0.002,1.5786,0.00145563207463,0.0156626976959,21,31362956
45,0.15,1.0,1.0,0.0017,2.3633,0.00216386367467,0.0230851604998,37,12577698
46,0.15,1.0,1.0,0.0018,1.711,0.00162764759276,0.0172791159749,20,12817326
47,0.15,1.0,1.0,0.0019,2.9415,0.00260587419997,0.0273866487313,42,86463512
48,0.15,1.0,1.0,0.002,2.6472,0.00233766321531,0.0247443983287,44,57922437
