index,primary_length,axfold,radfold,length,surface,Jv,i0,seed
675,0.115,1.0,1.0,1.2076,0.00116720672567,0.146208958348,19,93741682
676,0.12,1.0,1.0,1.512,0.00142484949317,0.170825675627,31,44245296
677,0.125,1.0,1.0,0.825,0.000823177700012,0.107475400914,13,9408292
678,0.13,1.0,1.0,2.0557,0.00188096089373,0.218868572421,30,61186460
679,0.135,1.0,1.0,1.707,0.00161364463466,0.195833395134,26,19331970
680,0.14,1.0,1.0,1.7519,0.0016269513153,0.19705956754,26,85778299
681,0.145,1.0,1.0,2.2573,0.00212497226558,0.224783261024,37,8374968
682,0.15,1.0,1.0,1.2683,0.00123391203682,0.145714671017,25,40458555
683,0.1,1.0,1.0,0.9889,0.000946020507281,0.121472325285,16,74329973
684,0.105,1.0,1.0,0.687,0.00069705155143,0.0892585535907,9,94212421
685,0.11,1.0,1.0,1.8522,0.00169352855,0.202281829866,34,76114730
686,0.115,1.0,1.0,1.3263,0.0012582998436,0.154110494228,19,11801327
687,0.12,1.0,1.0,2.1259,0.00196304402446,0.22456380726,28,12198710
688,0.125,1.0,1.0,1.41,0.00133776756074,0.166858923036,26,6480173
689,0.13,1.0,1.0,1.7741,0.00162760999418,0.195544269563,29,95766796
690,0.135,1.0,1.0,2.0556,0.00186428602364,0.223338650295,32,61513523
691,0.14,1.0,1.0,1.5216,0.00146134223343,0.16833902618,24,22414755
692,0.145,1.0,1.0,1.3007,0.00126175710348,0.153271125318,20,98763081
693,0.15,1.0,1.0,2.6173,0.00235324551487,0.262952218467,47,79321440
694,0.1,1.0,1.0,1.6248,0.00148535385334,0.174756899418,29,717145
695,0.105,1.0,1.0,1.2154,0.00113839455112,0.14002033068,18,90830183
696,0.11,1.0,1.0,1.2939,0.00122193377235,0.147983569109,17,21350584
697,0.115,1.0,1.0,1.7817,0.00162813235308,0.186121504749,28,76894182
698,0.12,1.0,1.0,1.5645,0.00147792180017,0.174554022299,25,26083947
699,0.125,1.0,1.0,1.4443,0.00135901578549,0.149120352112,25,18905218
700,0.13,1.0,1.0,2.2046,0.00203445398371,0.236799344127,33,11049104
701,0.135,1.0,1.0,2.4205,0.00207995791754,0.23134015486,41,94794332
702,0.14,1.0,1.0,1.4918,0.00140071401911,0.165428291654,20,34608020
703,0.145,1.0,1.0,1.3585,0.00130841151368,0.159127754437,21,79387273
704,0.15,1.0,1.0,2.058,0.00193168540058,0.201803109195,33,14407681
705,0.1,1.0,1.0,1.226,0.00116563241076,0.145514046816,22,89399169
706,0.105,1.0,1.0,0.9237,0.000908564680373,0.114208756213,17,67800635
707,0.11,1.0,1.0,1.0549,0.000999712085022,0.126905664537,13,51651641
708,0.115,1.0,1.0,1.1418,0.00109701600596,0.136855853167,17,66346014
709,0.12,1.0,1.0,1.4202,0.00133564233614,0.159446559603,23,52371390
710,0.125,1.0,1.0,1.3845,0.0013059032661,0.166769291283,19,81223269
711,0.13,1.0,1.0,1.8684,0.00174672149416,0.193403842373,33,36273605
712,0.135,1.0,1.0,1.5736,0.00149442295275,0.18131684874,25,41730955
713,0.14,1.0,1.0,1.0963,0.00106298627434,0.133849268585,19,68298475
714,0.145,1.0,1.0,1.3283,0.00128340745208,0.160652988788,21,81063994
715,0.15,1.0,1.0,3.8996,0.00331051020951,0.357344868438,63,67976863
716,0.1,1.0,1.0,0.9732,0.000933003757943,0.11856957358,16,20483838
717,0.105,1.0,1.0,1.333,0.00126680878447,0.155779069757,24,97829800
718,0.11,1.0,1.0,1.5051,0.00140018321562,0.169157086443,27,22150617
719,0.115,1.0,1.0,1.6779,0.00154146661884,0.183911835541,29,68477058
720,0.12,1.0,1.0,1.3959,0.00130769070666,0.159094205459,23,34506374
721,0.125,1.0,1.0,1.6522,0.00153557630855,0.186147322562,26,71281395
722,0.13,1.0,1.0,1.2393,0.0012009670343,0.147682362779,19,30663630
723,0.135,1.0,1.0,1.7088,0.00158411989664,0.187247292617,34,76521713
724,0.14,1.0,1.0,2.1329,0.00192066660364,0.223014825911,39,89731737
725,0.145,1.0,1.0,1.4958,0.00143262435694,0.169622796213,27,67140143
726,0.15,1.0,1.0,2.2912,0.00210208216912,0.224710616887,40,60159294
727,0.1,1.0,1.0,1.367,0.00124752252203,0.157140295963,21,26702323
728,0.105,1.0,1.0,1.5315,0.00139655163504,0.15697834045,25,57640796
729,0.11,1.0,1.0,1.5042,0.00138507944345,0.17261141494,23,42591494
730,0.115,1.0,1.0,1.372,0.00129412103701,0.162001636706,22,74935314
731,0.12,1.0,1.0,1.4226,0.00134575977245,0.163043531276,21,98409642
732,0.125,1.0,1.0,1.8205,0.00166702657703,0.201254489209,27,64937050
733,0.13,1.0,1.0,1.5958,0.0015026483963,0.164932512075,26,52260362
734,0.135,1.0,1.0,1.5812,0.0014891671939,0.184587959319,26,25099907
735,0.14,1.0,1.0,2.8499,0.00237635818689,0.258796155837,43,75312784
736,0.145,1.0,1.0,2.6477,0.00229984708542,0.26462583559,43,85590774
737,0.15,1.0,1.0,4.3061,0.00358245209934,0.340473762179,87,46968571
738,0.1,1.0,1.0,1.4083,0.00129736818718,0.15856136934,21,49966392
739,0.105,1.0,1.0,1.2243,0.001156510231,0.143656318307,22,33238199
740,0.11,1.0,1.0,1.2219,0.0011688976565,0.138925156151,19,6952536
741,0.115,1.0,1.0,0.7895,0.000781565923015,0.100621825288,8,31476267
742,0.12,1.0,1.0,1.2337,0.00113641328687,0.144288531207,20,25232490
743,0.125,1.0,1.0,1.4758,0.00137506454873,0.170070800244,24,57776647
744,0.13,1.0,1.0,1.4484,0.00137931700854,0.163778478324,22,74891307
745,0.135,1.0,1.0,2.8099,0.00239644226306,0.278460559627,48,52722393
746,0.14,1.0,1.0,3.1532,0.00275033578911,0.296564474795,45,7006977
747,0.145,1.0,1.0,1.8665,0.00176606867836,0.205119551481,30,76250946
748,0.15,1.0,1.0,1.9644,0.00176863543495,0.206949664341,34,92565879
749,0.1,1.0,1.0,1.0537,0.00100340358205,0.129361593706,16,1704134
750,0.105,1.0,1.0,1.4319,0.00137312631172,0.160712743131,28,30911617
