position;LR_length
69.244796125;0.39525755
69.14287738;0.67009605
67.85215175;1.05042825
67.85215175;1.63857045
67.516075;1.82404
65.3336465;2.089054
65.3336465;0.87017445
65.2235185;0.44708085
65.0334165;0.105343945
64.91027;1.71598365
64.91027;3.58238365
64.5345955;0.47787732
64.391635;2.94483565
64.111702;0.413440315
63.539975;2.7289565
63.415245;2.9457872
63.283649;0.097931975
63.170464;2.2252365
63.0468325;3.37805225
62.571544;1.7865386
62.190919;0.6325333
61.6093505;2.23460485
61.5027985;3.5724218
61.381614;0.10634795
61.129102;0.40933728
60.670041;1.175101
60.3051065;3.65442325
59.9340925;9.000515
59.6994515;3.357479
59.4711065;3.6454673
59.1533645;4.497121
59.0561065;1.23895465
57.927435;0.0773563
57.927435;1.70499765
56.6992495;1.2565938
56.5923625;0.8016535
56.12877;3.8503875
55.772034;0.80704095
55.772034;0.34449195
55.772034;1.8751968
55.444052;0.4321372
55.213396;0.4281488
55.213396;0.73587395
54.396331;0.161676185
54.2780485;3.1438458
53.9203875;0.274893225
53.80244;6.506997
53.5655765;3.672488
52.97665;1.667569
52.750802;3.06667
52.632625;1.57342745
52.514395;4.655166
52.395614;2.705641
52.277105;0.036858425
52.0630885;3.99599625
51.9545625;0.3034196
51.4760925;0.99901805
51.2525415;1.00608
51.128765;6.2091345
50.7841465;1.6754743
50.7841465;0.55929385
50.4183075;1.7150105
50.19056;1.4445902
50.080478;0.5502973
50.080478;0.50809975
49.9629985;0.8206036
49.8417615;0.90083975
49.7233575;0.08282852
49.603495;2.07594
49.493145;1.7590618
49.37217;1.592393
49.245946;0.13704343
49.245946;2.9250235
49.12466;4.7596715
49.12466;1.1030725
48.878034;2.9964635
48.7462225;1.0486337
48.505315;1.7059618
48.260072;2.232701
48.260072;0.370528875
48.019775;0.95885205
47.905495;0.95327475
47.791322;0.75899495
47.791322;1.26575815
47.55108;0.44097638
47.55108;2.335387
47.3140175;0.9564672
47.3140175;1.1331749
47.197205;0.1376307
47.197205;1.6873896
47.069419;2.6277005
46.956622;1.83897565
46.8340485;2.02829125
46.711959;2.43244625
46.459855;1.7816086
46.321126;0.52511645
46.205725;0.74737165
46.07156;3.39459585
46.07156;0.69873015
45.93994;1.77503215
45.93994;0.6550176
45.8164;2.129557
45.8164;2.540502
45.69392;1.60252585
45.4477875;1.90032435
45.4477875;3.3158785
45.187152;0.71485335
44.930047;1.6935482
44.799508;1.74715135
44.674756;0.2867241
44.561763;2.3282447
44.561763;1.3901235
44.439174;2.43167
44.1842035;1.03183425
44.05176;2.23538635
43.8088485;1.5332594
43.8088485;1.68202375
43.677268;2.812673
43.546325;1.4130435
43.302465;2.8113053
43.041675;3.83171225
42.9152175;1.93070865
42.65407;1.27430115
42.528255;1.1228559
42.391639;0.2417568
42.26223;0.31257698
41.879287;2.032598
41.628028;0.5791884
41.2547425;1.6518941
41.128587;3.52882885
40.8716135;0.3999898
40.62165;4.081943
40.243846;2.26014185
40.120757;0.44398845
39.98405;0.259916575
39.98405;0.214167565
39.843028;1.9193555
39.843028;1.49763725
39.704815;0.4493577
39.5594665;2.9247525
39.424676;2.0952035
39.290559;0.6082894
38.9028615;1.5884304
38.7738885;0.5732428
38.64331;0.93278315
38.64331;1.10584725
38.380455;1.69869385
38.1308985;0.8812867
37.8759585;0.66832005
37.638362;0.42568805
37.638362;1.3827336
37.510583;1.8247601
37.393515;1.349869
37.393515;0.484047175
37.27492;0.4128822
37.1602525;0.8280145
37.04654;1.2562185
37.04654;1.11029625
36.931935;1.2511772
36.931935;0.06198922
36.54601;0.53460525
36.410985;3.2403202
36.28495;1.5897739
36.023255;0.7751081
36.023255;0.3681858
36.023255;1.7777165
35.892972;1.43129195
35.764105;0.38952282
35.63512;0.4368882
35.49878;0.49171978
35.37314;0.59268675
35.238375;2.64658
35.106023;0.816537
34.979075;2.5099355
34.7202275;0.741602
34.7202275;1.5311886
34.4565975;0.87033875
34.166365;1.28402255
34.166365;1.137466
34.03739;1.58421995
33.90628;1.36294865
33.78204;1.7209158
33.5098275;3.249268
33.380625;1.29453075
33.380625;1.0035945
33.0019275;2.254012
32.76353;0.87845375
32.244425;0.58326415
32.244425;0.853823
32.11869;0.9990358
31.98247;0.5597385
31.86217;1.3837123
31.595437;0.6072938
31.460475;0.6998008
31.334145;1.47288775
31.218165;1.4408163
31.09393;1.3183377
30.84394;0.3060293
30.628235;2.2916135
30.255685;1.45374395
30.255685;1.3637122
29.992257;0.4288794
29.992257;0.91565565
29.751575;1.75096665
29.625055;0.9921772
29.4952;0.41531265
29.360143;1.08855595
29.08991;0.9837677
29.08991;0.90455715
28.9569;0.82877755
28.822165;0.36811647
28.69586;0.69009495
28.437833;1.13482285
28.437833;1.25372185
28.298085;0.5844471
28.298085;1.15653335
28.02404;1.0241235
28.02404;1.04837275
27.88465;0.50482125
27.750802;0.33505615
27.609825;0.400602875
27.47075;0.78180035
27.47075;1.15306735
27.204345;1.0756835
27.204345;0.6175047
26.923865;0.8909433
26.7902;0.9659055
26.660055;1.1343572
26.5227025;0.30016953
26.5227025;0.34819565
26.3919725;0.3090857
26.253755;0.3773633
26.119805;0.50125165
25.84241;0.7463594
25.709447;0.57743865
25.709447;0.5296824
25.584925;0.4090208
25.447605;1.125056
25.30739;0.53915475
25.173525;0.87143495
25.173525;0.5694135
25.04235;0.443603935
24.78207;0.7572664
24.376065;0.4928962
24.376065;0.236376165
24.101015;0.4163667
23.822795;0.0701431
23.689535;0.4697146
23.689535;0.33825725
23.44294;0.5712217
23.44294;0.58510445
23.3065425;0.56781255
23.0263375;0.60073645
22.88711;0.1695226
22.88711;0.5958829
22.739667;0.268339575
22.474495;0.09588761
22.474495;0.27620128
22.3425;0.436193315
22.063475;0.355695
21.92789;0.46681252
21.64854;0.37270367
21.37967;0.43956828
21.1132175;0.42890075
20.99362;0.38215015
20.843715;0.444654585
20.70076;0.28416547
20.4267;0.171297385
20.4267;0.2954077
20.271565;0.312586935
20.271565;0.3372881
19.9750225;0.056059685
19.818865;0.299502285
19.655575;0.2418262
19.655575;0.122471905
19.31877;0.212618365
19.31877;0.2430973
19.217545;0.2862401
18.909795;0.243031965
18.909795;0.1927008
18.568725;0.14087704
18.4231425;0.094268405
18.1121075;0.1686934
17.95721;0.113448135
17.95721;0.058236535
17.810885;0.219887035
17.65908;0.15036747
17.503895;0.170529215
16.97788;0.088936975
16.97788;0.071323715
16.562852;0.0847493
16.30913;0.076748595
16.160565;0.06495788
15.151452;0.0522363225
