distance_from_base_(mm)	lateral_root_length_(mm)	order
1.183	82.873	1
2.172	64.94	1
3.284	59.419	1
4.358	58.089	1
5.757	60.004	1
6.877	52.363	1
8.176	49.308	1
8.963	50.719	1
10.0	45.7	1
11.122	41.494	1
12.048	41.442	1
12.705	38.526	1
13.088	40.534	1
13.583	33.832	1
16.101	31.249	1
17.625	27.425	1
20.183	22.818	1
22.742	3.931	1
24.274	15.607	1
25.2	14.92	1
29.629	0.635	1
34.57	2.612	1
37.844	0.677	1
39.398	1.52	1
43.477	2.12	1
44.583	1.84	1
47.726	0.79	1
48.862	0.78	1
55.82	0.64	1
62.56	0.26	1
91.252	0.0	1
7.65	10.42	1-1
16.8	4.99	1-1
21.26	6.84	1-1
27.6	2.1	1-1
31.16	1.48	1-1
33.63	2.83	1-1
36.583	1.04	1-1
39.012	2.1	1-1
41.825	0.31	1-1
82.682	0.0	1-1
6.25	2.27	1-2
10.52	4.71	1-2
14.71	3.15	1-2
64.973	0.0	1-2
6.51	3.62	1-3
13.001	3.371	1-3
22.508	2.038	1-3
59.244	0.0	1-3
11.202	0.745	1-4
15.396	0.923	1-4
18.986	1.552	1-4
57.904	0.0	1-4
6.514	2.308	1-5
14.135	1.647	1-5
17.849	0.827	1-5
20.234	0.639	1-5
59.822	0.0	1-5
2.932	0.896	1-17
5.879	0.356	1-17
14.629	1.14	1-17
22.409	0.0	1-17
3.638	0.569	1-19
7.642	0.825	1-19
15.283	0.0	1-19
