distance_from_base_(mm)	lateral_root_length_(mm)	order
3.99	11.09	1
5.36	64.44	1
7.28	49.74	1
9.52	59.53	1
10.64	40.43	1
11.59	49.58	1
12.33	62.08	1
12.66	51.01	1
12.99	43.44	1
13.5	73.26	1
13.51	50.23	1
13.52	50.8	1
13.53	7.06	1
13.54	33.63	1
13.55	13.0	1
13.56	19.06	1
13.77	1.7	1
14.73	43.38	1
15.21	38.2	1
16.32	6.52	1
16.89	25.45	1
18.56	41.69	1
22.88	0.55	1
23.82	0.54	1
24.27	0.31	1
25.81	1.46	1
28.64	0.77	1
28.92	0.71	1
30.12	0.62	1
31.74	0.63	1
32.2	0.56	1
36.78	0.44	1
39.3	0.38	1
41.97	0.28	1
45.19	0.06	1
75.61	0.0	1
14.87	13.19	1-2
15.98	5.67	1-2
19.0	1.64	1-2
19.63	9.44	1-2
20.07	6.38	1-2
20.24	6.52	1-2
23.85	3.3	1-2
26.86	3.62	1-2
28.12	1.25	1-2
29.65	0.2	1-2
30.43	1.42	1-2
32.43	0.35	1-2
34.03	0.42	1-2
36.73	0.33	1-2
41.43	0.25	1-2
64.44	0.0	1-2
1.85	14.04	1-3
3.45	16.33	1-3
6.49	5.81	1-3
8.07	5.75	1-3
9.75	3.35	1-3
12.19	1.57	1-3
12.52	1.71	1-3
14.28	0.74	1-3
15.64	0.21	1-3
17.07	0.16	1-3
19.56	0.13	1-3
49.74	0.0	1-3
1.19	19.52	1-4
8.2	2.45	1-4
13.1	2.76	1-4
17.48	1.56	1-4
19.35	1.84	1-4
20.61	1.22	1-4
22.71	0.72	1-4
23.49	0.23	1-4
26.07	0.44	1-4
59.53	0.0	1-4
3.13	0.78	1-5
4.99	1.8	1-5
10.75	1.1	1-5
13.74	0.12	1-5
15.3	0.14	1-5
16.72	0.3	1-5
18.64	0.07	1-5
20.23	0.1	1-5
40.43	0.0	1-5
6.92	3.93	1-6
8.48	1.69	1-6
10.24	0.86	1-6
11.21	0.9	1-6
14.87	0.46	1-6
15.17	1.16	1-6
16.94	1.7	1-6
19.82	0.21	1-6
21.07	0.25	1-6
22.52	0.21	1-6
25.18	0.25	1-6
49.58	0.0	1-6
47.29	1.01	1-7
47.29	0.47	1-7
47.29	1.07	1-7
47.29	0.75	1-7
47.29	0.42	1-7
47.29	0.26	1-7
62.08	0.0	1-7
47.29	0.6	1-8
47.29	0.25	1-8
51.01	0.0	1-8
6.57	0.39	1-9
7.67	0.31	1-9
11.12	0.25	1-9
13.33	0.09	1-9
14.89	0.17	1-9
43.44	0.0	1-9
13.51	7.39	1-10
20.75	4.63	1-10
23.27	1.05	1-10
25.92	0.43	1-10
27.5	0.28	1-10
28.36	1.12	1-10
30.68	1.52	1-10
31.2	0.83	1-10
34.05	0.43	1-10
35.78	0.2	1-10
38.78	0.28	1-10
41.71	0.27	1-10
46.23	0.13	1-10
47.4	0.11	1-10
73.26	0.0	1-10
0.8	3.85	1-11
1.23	0.92	1-11
1.98	1.06	1-11
3.09	1.12	1-11
3.74	0.63	1-11
4.87	0.85	1-11
8.27	0.53	1-11
11.58	0.25	1-11
12.89	0.27	1-11
14.36	0.12	1-11
15.74	0.06	1-11
50.23	0.0	1-11
2.54	0.99	1-12
4.91	1.76	1-12
6.49	0.32	1-12
8.9	1.75	1-12
15.05	0.22	1-12
17.36	0.25	1-12
20.21	0.2	1-12
34.81	0.16	1-12
50.8	0.0	1-12
5.55	0.32	1-18
2.44	0.21	1-18
2.1	0.15	1-18
1.2	0.13	1-18
4.39	0.28	1-18
43.38	0.0	1-18
6.62	0.26	1-19
38.2	0.0	1-19
