distance_from_base_(mm)	lateral_root_length_(mm)	order
4.84	37.29	1
5.28	35.85	1
6.14	35.46	1
6.58	35.96	1
7.02	12.18	1
7.44	103.041	1
7.96	94.87	1
8.56	30.06	1
10.6	78.74	1
12.79	74.16	1
15.48	70.515	1
16.23	67.989	1
18.4	65.141	1
19.21	63.457	1
21.54	56.804	1
23.79	54.906	1
25.69	51.176	1
27.13	47.807	1
30.26	41.954	1
31.29	4.02	1
32.65	32.025	1
35.97	28.153	1
36.9	26.24	1
39.64	2.31	1
42.03	15.702	1
44.03	11.523	1
45.965	14.63	1
47.254	20.3	1
48.927	0.99	1
50.948	4.41	1
52.354	1.38	1
54.766	14.33	1
58.211	8.72	1
62.463	5.95	1
62.935	6.26	1
66.583	2.45	1
69.269	18.89	1
71.249	6.565	1
73.287	6.389	1
75.019	9.363	1
77.104	2.434	1
79.418	2.252	1
80.708	5.36	1
82.588	5.93	1
83.738	4.86	1
87.286	2.6	1
88.514	4.09	1
90.077	3.82	1
92.574	0.95	1
93.368	1.73	1
94.959	3.4	1
97.891	1.86	1
133.853	0.0	1
3.118	1.186	1-1
4.9	0.816	1-1
7.205	2.175	1-1
9.602	1.077	1-1
14.063	4.685	1-1
17.685	2.515	1-1
21.107	2.696	1-1
25.211	2.615	1-1
30.981	2.847	1-1
34.911	0.972	1-1
37.145	0.0	1-1
1.52	3.76	1-2
4.64	1.37	1-2
6.34	2.91	1-2
35.86	0.0	1-2
5.342	1.992	1-4
7.265	0.551	1-4
7.774	2.18	1-4
12.457	1.94	1-4
13.258	0.949	1-4
15.102	1.708	1-4
25.415	2.941	1-4
26.794	1.996	1-4
29.005	1.988	1-4
34.063	1.015	1-4
35.817	0.0	1-4
6.655	0.723	1-6
11.789	0.756	1-6
102.99	0.0	1-6
9.54	1.29	1-9
21.956	0.927	1-9
25.346	0.609	1-9
28.438	0.493	1-9
78.718	0.0	1-9
9.08	1.05	1-10
18.225	2.061	1-10
74.285	0.0	1-10
9.099	0.871	1-11
22.995	0.257	1-11
29.403	0.449	1-11
70.303	0.0	1-11
4.434	3.134	1-16
10.23	1.8	1-16
13.861	0.807	1-16
17.344	1.529	1-16
54.432	0.0	1-16
