,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
6939,21117136,0.16,0.011641012542700002,327.6558,0.000372542811729,1.2624,1.0,1.0,0.00275,0.015,-0.00275281312187,5,15,16,13,17,10
6940,45294879,0.16,0.011814903231500001,327.6558,0.00035188432675699994,1.1575,1.0,1.0,0.00275,0.02,-0.0025737732660700004,6,15,15,18,13,6
6941,38999963,0.16,0.0132054670673,327.6558,0.000449396378212,1.5706,1.0,1.0,0.00275,0.025,-0.0015632583651400001,7,13,18,22,18,15
6942,54828200,0.16,0.00884120662565,327.6558,0.000270023155832,0.8485,1.0,1.0,0.00275,0.03,-0.0054327727179999995,5,8,11,13,9,6
6943,28977331,0.16,0.009775637302599999,327.6558,0.0003619395595319999,1.1793,1.0,1.0,0.00275,0.035,-0.00127422951619,5,11,14,16,13,9
7224,90900304,0.16,0.0129796196172,327.6558,0.0007845395032939999,2.8177,1.0,1.0,0.001,0.005,-0.00486868062014,8,18,39,52,29,15
7225,30606616,0.16,0.022202508060499997,327.6558,0.001410439259,5.4971,1.0,1.0,0.001,0.01,-0.00126576543359,23,55,86,90,65,28
7226,2296798,0.16,0.028047432990700002,327.6558,0.00152689646504,6.0292,1.0,1.0,0.001,0.015,-0.000995835802055,27,68,89,102,72,39
7227,96108712,0.16,0.017168453054500002,327.6558,0.0008364443316299999,3.0735,1.0,1.0,0.001,0.02,-0.00532495688612,16,27,36,46,42,23
7228,55526004,0.16,0.0215000330329,327.6558,0.0011553867095,4.3871,1.0,1.0,0.001,0.025,-0.00217559434528,18,48,67,81,46,19
7229,20269559,0.16,0.0175181579144,327.6558,0.00100486547821,3.8101,1.0,1.0,0.001,0.03,-0.0038248196473,11,41,58,58,39,23
7230,39446035,0.16,0.017945973954,327.6558,0.0011156913228699999,4.2669,1.0,1.0,0.001,0.035,-0.0030492088569600002,14,40,60,66,46,33
7231,13871419,0.16,0.0187987171923,327.6558,0.00102786905529,3.8745,1.0,1.0,0.00125,0.005,-0.0014615890254100002,13,42,55,65,42,27
7232,87487918,0.16,0.0205958739459,327.6558,0.00115064049185,4.4034,1.0,1.0,0.00125,0.01,-0.000778499053132,16,48,78,71,46,28
7233,22445921,0.16,0.0165085808282,327.6558,0.00065179472899,2.3107,1.0,1.0,0.00125,0.015,-0.00490061603168,12,28,38,43,20,12
7234,80123927,0.16,0.022747139503200002,327.6558,0.0011871727596400002,4.6842,1.0,1.0,0.00125,0.02,-0.0020964051272,18,52,67,67,51,31
7235,22509299,0.16,0.0138616343289,327.6558,0.00066107195891,2.3357,1.0,1.0,0.00125,0.025,-0.004959660837800001,9,22,36,34,33,15
7236,93841628,0.16,0.023354441508400003,327.6558,0.00103722756449,4.0576,1.0,1.0,0.00125,0.03,-0.00378166829696,21,54,64,55,44,24
7237,63854063,0.16,0.0133581741068,327.6558,0.0006057466273250001,2.0834,1.0,1.0,0.00125,0.035,-0.00486819959799,11,19,35,30,25,7
7238,29340987,0.16,0.01635732034,327.6558,0.000778371513906,2.8927,1.0,1.0,0.0015,0.005,-0.0024320332260100003,10,30,42,46,34,15
7239,42036956,0.16,0.0129713806945,327.6558,0.000520418155986,1.8191,1.0,1.0,0.0015,0.01,-0.005313107180720001,9,20,23,22,18,18
7240,58155267,0.16,0.018335723537099998,327.6558,0.000750045375161,2.7681,1.0,1.0,0.0015,0.015,-0.00229127181818,17,29,33,39,33,20
7241,84115223,0.16,0.0160215193196,327.6558,0.000755558512126,2.7753,1.0,1.0,0.0015,0.02,-0.0024272817330300003,11,28,46,46,27,20
7242,76746749,0.16,0.0163031463555,327.6558,0.0007257810455399999,2.677,1.0,1.0,0.0015,0.025,-0.00278434572601,10,30,34,36,32,19
7243,25533172,0.16,0.0227803428566,327.6558,0.0010343661642,3.9835,1.0,1.0,0.0015,0.03,-0.00059962308954,15,41,64,64,50,24
7244,64639585,0.16,0.014378118977900001,327.6558,0.0006712081630940001,2.3862,1.0,1.0,0.0015,0.035,-0.00220343700979,9,18,32,38,34,17
7245,8868823,0.16,0.015046597843599999,327.6558,0.000617021049376,2.1814,1.0,1.0,0.00175,0.005,-0.00198060889725,11,23,32,38,19,16
7246,85940791,0.16,0.0160051562558,327.6558,0.000569594278625,2.0217,1.0,1.0,0.00175,0.01,-0.00358799474907,9,27,27,26,21,14
7247,18405126,0.16,0.0154155532873,327.6558,0.0006409965912339999,2.3152,1.0,1.0,0.00175,0.015,-0.0028942849084699998,9,25,27,31,29,14
7248,50778680,0.16,0.013975336104700002,327.6558,0.000520214649897,1.8328,1.0,1.0,0.00175,0.02,-0.00404697471055,8,19,26,24,15,16
7249,58102063,0.16,0.014653218058200001,327.6558,0.000642891260631,2.3027,1.0,1.0,0.00175,0.025,-0.00123338645811,8,23,40,35,26,15
7250,52942700,0.16,0.015048766336299998,327.6558,0.000638048985644,2.2656,1.0,1.0,0.00175,0.03,-0.0016892555778,9,21,27,42,24,13
7251,37877460,0.16,0.015598594512,327.6558,0.000467756568245,1.6364,1.0,1.0,0.00175,0.035,-0.006015883705909999,13,21,24,22,16,9
7252,67788540,0.16,0.00954035367661,327.6558,0.00033077942147,1.0483,1.0,1.0,0.002,0.005,-0.005088778749310001,6,9,12,16,13,4
7253,14344402,0.16,0.0107155011767,327.6558,0.000407514455662,1.3543,1.0,1.0,0.002,0.01,-0.00393098715638,4,13,23,20,15,8
7254,13933595,0.16,0.0114369986734,327.6558,0.00045780601333800003,1.5523,1.0,1.0,0.002,0.015,-0.00274700072689,6,13,22,20,18,15
7255,76414281,0.16,0.00998706280471,327.6558,0.00033919675349799994,1.0931,1.0,1.0,0.002,0.02,-0.00530727327332,5,12,16,16,10,8
7256,66313238,0.16,0.0140952361354,327.6558,0.000463643343816,1.5964,1.0,1.0,0.002,0.025,-0.0034366313874899996,9,19,25,24,15,10
7257,20074595,0.16,0.014372215195299999,327.6558,0.000456001551633,1.5764,1.0,1.0,0.002,0.03,-0.00424002941863,9,17,22,24,15,11
7258,34969962,0.16,0.0122816868262,327.6558,0.0004260947770930001,1.4058,1.0,1.0,0.002,0.035,-0.00263363768829,7,15,21,16,15,10
7259,52456111,0.16,0.0100858514991,327.6558,0.00038604317783899996,1.2919999999999998,1.0,1.0,0.00225,0.005,-0.00350321000968,4,12,14,20,21,9
7260,32526382,0.16,0.012518558221200002,327.6558,0.00043187976863699994,1.4416,1.0,1.0,0.00225,0.01,-0.00213442845772,8,17,17,21,13,9
7261,35080508,0.16,0.0075468736687600005,327.6558,0.000235079220746,0.6993,1.0,1.0,0.00225,0.015,-0.00718453297628,5,6,7,10,8,5
7262,22428938,0.16,0.012057814920299998,327.6558,0.0003662713759780001,1.1856,1.0,1.0,0.00225,0.02,-0.00389929302348,9,14,17,17,11,7
7263,30015997,0.16,0.0113267983996,327.6558,0.00037765663341800005,1.2461,1.0,1.0,0.00225,0.025,-0.0029026816853099996,8,13,16,14,14,10
7264,28232667,0.16,0.012930203541700002,327.6558,0.00047169430330900003,1.6248,1.0,1.0,0.00225,0.03,-0.00209582841461,8,16,17,25,18,8
7265,7112124,0.16,0.014471064467799999,327.6558,0.00045087880153699996,1.5862,1.0,1.0,0.00225,0.035,-0.00426186447238,8,17,22,19,16,10
7266,26615064,0.16,0.009959882905270001,327.6558,0.00036330652932699996,1.2126,1.0,1.0,0.0025,0.005,-0.00309394954997,4,11,12,18,13,8
7267,53262086,0.16,0.011471170460700002,327.6558,0.000392841081687,1.2995,1.0,1.0,0.0025,0.01,-0.0015381636750599998,8,12,18,20,17,8
7268,29820946,0.16,0.00907950170664,327.6558,0.000316275379338,0.9759,1.0,1.0,0.0025,0.015,-0.00254076144688,5,8,9,13,13,7
7269,52962209,0.16,0.008891381027580001,327.6558,0.000267381579065,0.8428,1.0,1.0,0.0025,0.02,-0.0062323829215,5,8,12,11,9,5
7270,42384285,0.16,0.011552043271500001,327.6558,0.000422491395452,1.4381,1.0,1.0,0.0025,0.025,-0.00152776478602,5,12,16,19,18,14
7271,34210099,0.16,0.0102237523015,327.6558,0.000343069218833,1.1308,1.0,1.0,0.0025,0.03,-0.00366836211847,5,9,12,18,13,8
7272,23507374,0.16,0.00995979903082,327.6558,0.000392902656903,1.3168,1.0,1.0,0.0025,0.035,-0.0016052926721700001,4,7,17,24,15,9
7273,91065501,0.16,0.008364533000010001,327.6558,0.00026981687885900004,0.8184,1.0,1.0,0.00275,0.005,-0.00404533118275,4,7,10,11,8,6
7274,63392181,0.16,0.00800463096945,327.6558,0.00026538962082799995,0.8177,1.0,1.0,0.00275,0.01,-0.00444281496657,3,7,10,9,12,7
7275,73892518,0.16,0.0120958526974,327.6558,0.0004651473184669999,1.6193,1.0,1.0,0.00275,0.015,0.00120059436205,5,13,20,19,20,14
7276,74915840,0.16,0.0106578284837,327.6558,0.00042114105096499995,1.4342,1.0,1.0,0.00275,0.02,-0.00026247302854799995,4,13,18,19,20,14
7277,87048172,0.16,0.0124154549447,327.6558,0.000419500071458,1.4448,1.0,1.0,0.00275,0.025,-0.00216256851184,5,16,19,20,19,8
7278,94102806,0.16,0.00762935075937,327.6558,0.000266488738433,0.8204,1.0,1.0,0.00275,0.03,-0.0049980186827500005,3,5,8,10,10,4
7279,86599813,0.16,0.011850084439100001,327.6558,0.00039923843875400004,1.3665,1.0,1.0,0.00275,0.035,-0.00202715651673,5,12,13,22,17,8
7560,56202400,0.16,0.0204724614645,327.6558,0.00101283885293,3.7443,1.0,1.0,0.001,0.005,-0.0026804626446799997,20,41,49,54,39,25
7561,67235178,0.16,0.0213109279704,327.6558,0.00103523468263,3.8756,1.0,1.0,0.001,0.01,-0.00325640393597,24,44,50,60,41,24
7562,37268717,0.16,0.0234082365302,327.6558,0.0013180028526000001,5.1978,1.0,1.0,0.001,0.015,-0.00321127176792,19,62,73,66,62,32
7563,13386592,0.16,0.0270302278056,327.6558,0.0014395587944000003,5.7213,1.0,1.0,0.001,0.02,-0.00245703174639,28,68,84,98,59,35
7564,97883339,0.16,0.0195480355487,327.6558,0.00115167865,4.3326,1.0,1.0,0.001,0.025,-0.00218418528602,24,34,44,63,61,34
7565,37941723,0.16,0.025491264301400002,327.6558,0.00133535936661,5.1779,1.0,1.0,0.001,0.03,-0.00145286413756,25,69,92,77,56,26
7566,32497754,0.16,0.021063074579699997,327.6558,0.000903440321782,3.3038,1.0,1.0,0.001,0.035,-0.00388715014468,19,40,60,43,36,20
7567,35571062,0.16,0.0195666447484,327.6558,0.0009470694410860001,3.5335,1.0,1.0,0.00125,0.005,-0.0026423217336799996,14,38,50,55,45,20
7568,38453429,0.16,0.023335202688700003,327.6558,0.00117066937024,4.4751,1.0,1.0,0.00125,0.01,-0.0008065630436689999,21,57,74,72,48,27
7569,61780367,0.16,0.0194906824289,327.6558,0.000902232216044,3.3347,1.0,1.0,0.00125,0.015,-0.0026259683720300003,18,37,40,44,41,23
7570,15974531,0.16,0.0156453634522,327.6558,0.000722813428004,2.572,1.0,1.0,0.00125,0.02,-0.00370020047086,9,31,39,50,23,14
7571,49669133,0.16,0.0205101569006,327.6558,0.000775912507655,2.8272,1.0,1.0,0.00125,0.025,-0.0040017488771999996,16,37,43,47,28,21
7572,51696070,0.16,0.0178271497531,327.6558,0.000840397152622,3.0662,1.0,1.0,0.00125,0.03,-0.0028314004199699997,13,34,49,45,36,13
7573,29392420,0.16,0.015857093794,327.6558,0.0009132554112140001,3.3619,1.0,1.0,0.00125,0.035,-0.0019783487793,8,30,42,56,38,28
7574,20963984,0.16,0.0140366270609,327.6558,0.000531203670823,1.8441,1.0,1.0,0.0015,0.005,-0.0046093405126599995,10,22,28,28,17,8
7575,90093896,0.16,0.0135909225678,327.6558,0.000611945404321,2.1663,1.0,1.0,0.0015,0.01,-0.00337196291997,9,22,31,39,23,11
7576,40305514,0.16,0.010690081373999998,327.6558,0.000450093717533,1.5145,1.0,1.0,0.0015,0.015,-0.0056996231575200005,6,13,16,19,17,13
7577,99496609,0.16,0.014009255844799999,327.6558,0.000591100962197,2.0616,1.0,1.0,0.0015,0.02,-0.0035589800384000004,8,24,34,29,21,12
7578,48967329,0.16,0.0150467065778,327.6558,0.0007111704782849999,2.5775,1.0,1.0,0.0015,0.025,-0.00153371825979,10,25,28,40,34,20
7579,4503935,0.16,0.0138386196914,327.6558,0.00058808316086,2.0741,1.0,1.0,0.0015,0.03,-0.00408825375898,11,16,26,35,24,16
7580,37868997,0.16,0.0127588236008,327.6558,0.000547511866783,1.9069999999999998,1.0,1.0,0.0015,0.035,-0.00426374931251,7,18,25,30,23,10
7581,75941204,0.16,0.0134059386451,327.6558,0.000467029980697,1.5411,1.0,1.0,0.00175,0.005,-0.0030872218931500004,11,15,19,18,22,9
7582,38765938,0.16,0.013133284375400001,327.6558,0.000437212182344,1.4276,1.0,1.0,0.00175,0.01,-0.0041815266149,10,20,24,14,11,7
7583,16970089,0.16,0.0175465814184,327.6558,0.000590634222059,2.1236,1.0,1.0,0.00175,0.015,-0.00352597998968,13,28,33,25,23,11
7584,20741795,0.16,0.014773283805200002,327.6558,0.0006010453595830001,2.0903,1.0,1.0,0.00175,0.02,-0.001665431433,9,24,29,27,21,12
7585,92418091,0.16,0.013758768234700002,327.6558,0.000605299899133,2.1258,1.0,1.0,0.00175,0.025,-0.00162679229785,8,25,33,32,25,13
7586,68556196,0.16,0.00961532883912,327.6558,0.000432991201286,1.4162,1.0,1.0,0.00175,0.03,-0.00366174196756,6,10,15,20,16,15
7587,98783852,0.16,0.0107402714303,327.6558,0.00042692912126999995,1.3987,1.0,1.0,0.00175,0.035,-0.0040501513045200005,6,11,17,23,16,11
7588,66262445,0.16,0.013014086529399999,327.6558,0.000592352170586,2.1281,1.0,1.0,0.002,0.005,-0.00116782561052,7,15,22,33,25,15
7589,11864025,0.16,0.011553648282399999,327.6558,0.00038041120070699994,1.2684,1.0,1.0,0.002,0.01,-0.0055298680408699995,7,14,19,17,12,10
