distance_from_base_(mm)	lateral_root_length_(mm)	order
1.0	62.786	1
2.0	55.052	1
3.0	53.615	1
4.0	17.85	1
5.0	8.03	1
6.0	6.01	1
7.0	4.54	1
7.78	17.55	1
8.41	6.452	1
13.01	28.978	1
15.96	20.366	1
17.15	7.63	1
21.14	10.762	1
25.79	1.28	1
31.606	4.68	1
33.231	0.92	1
35.13	0.9	1
38.187	4.39	1
38.347	0.51	1
42.877	0.98	1
47.737	3.09	1
52.247	2.3	1
52.437	1.14	1
57.417	1.38	1
57.537	0.67	1
92.725	0.0	1
13.43	0.52	1-1
17.02	0.94	1-1
18.99	1.98	1-1
23.79	0.76	1-1
26.03	0.67	1-1
62.796	0.0	1-1
8.52	0.81	1-2
12.82	0.41	1-2
17.53	0.64	1-2
24.02	0.86	1-2
27.0	0.59	1-2
55.042	0.0	1-2
7.19	0.4	1-3
10.36	0.37	1-3
12.06	0.54	1-3
15.24	0.69	1-3
17.23	0.61	1-3
24.94	0.51	1-3
53.615	0.0	1-3
3.27	1.07	1-10
28.84	0.0	1-10
2.65	0.682	1-13
8.794	0.195	1-13
10.753	0.0	1-13
