seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
35375604,0.04,0.00473587290612,327.66,8.25455354686e-05,0.2525,1.0,1.0,0.00225,0.02,-0.000670349682686,5,8,5,3,1,0
99783400,0.04,0.00413875752369,327.66,5.92300799263e-05,0.1756,1.0,1.0,0.00225,0.025,-0.00475224657146,6,6,5,1,0,0
88679263,0.04,0.00455019380443,327.66,7.14619965868e-05,0.224,1.0,1.0,0.00225,0.03,-0.00477546609221,6,7,4,2,1,0
15686899,0.04,0.00782602166004,327.66,0.000155293574424,0.5682,1.0,1.0,0.00225,0.035,-0.000519966772101,8,9,11,6,5,1
70055415,0.04,0.0044402933615,327.66,7.69976085061e-05,0.2595,1.0,1.0,0.0025,0.005,-0.00293786088421,4,5,6,1,1,1
52639805,0.04,0.00410911556155,327.66,6.1240510729e-05,0.1818,1.0,1.0,0.0025,0.01,-0.00289622063836,4,7,5,1,0,0
83521241,0.04,0.00359618375898,327.66,5.78815826957e-05,0.1714,1.0,1.0,0.0025,0.015,-0.00394634515136,2,6,5,1,0,0
83458655,0.04,0.00551280981546,327.66,9.34812938321e-05,0.3062,1.0,1.0,0.0025,0.02,-0.000421031490124,5,10,8,2,1,1
99072365,0.04,0.00324482779521,327.66,4.76108366652e-05,0.1375,1.0,1.0,0.0025,0.025,-0.00412989927581,3,5,5,0,0,0
69974640,0.04,0.00368009083621,327.66,5.46611988983e-05,0.1604,1.0,1.0,0.0025,0.03,-0.00482625495206,4,6,7,0,0,0
1600131,0.04,0.00504082404653,327.66,8.43373742545e-05,0.2645,1.0,1.0,0.0025,0.035,-0.000878809971727,6,7,8,2,1,0
67741507,0.04,0.00633409672302,327.66,0.000118274554559,0.4041,1.0,1.0,0.00275,0.005,0.00337388037798,5,11,11,4,1,1
75068432,0.04,0.00345779236427,327.66,4.96428187935e-05,0.1441,1.0,1.0,0.00275,0.01,-0.00403622675343,3,4,6,0,0,0
5536843,0.04,0.00524058734066,327.66,9.28470691072e-05,0.3213,1.0,1.0,0.00275,0.015,-0.00309368053829,5,7,7,4,1,1
91892830,0.04,0.00476722514591,327.66,8.06982789883e-05,0.2513,1.0,1.0,0.00275,0.02,0.00151564414318,5,6,7,2,1,0
74255993,0.04,0.0040922979295,327.66,5.99166435848e-05,0.1784,1.0,1.0,0.00275,0.025,-0.00314119723273,4,7,4,1,0,0
24126462,0.04,0.00557162546929,327.66,0.000103200941679,0.345,1.0,1.0,0.00275,0.03,0.00171822407207,5,9,7,3,2,1
99295510,0.04,0.00457475498872,327.66,7.36479167551e-05,0.2401,1.0,1.0,0.00275,0.035,-0.0040250882416,5,6,4,2,1,0
