distance_from_base_(mm)	lateral_root_length_(mm)	order
5.76	35.195	1
6.966	33.341	1
7.414	27.405	1
7.891	92.538	1
8.676	27.534	1
9.157	87.098	1
9.575	89.084	1
10.381	82.647	1
11.008	75.978	1
11.635	72.704	1
12.302	71.576	1
13.146	68.44	1
14.0	62.512	1
15.839	22.534	1
16.054	59.305	1
17.393	57.7	1
17.811	9.154	1
20.781	52.58	1
22.012	50.857	1
23.336	44.487	1
24.983	2.317	1
26.433	2.447	1
27.53	39.315	1
33.615	30.717	1
34.592	28.036	1
34.899	25.283	1
37.446	3.962	1
40.418	14.317	1
43.634	4.424	1
45.111	3.761	1
47.39	1.194	1
49.843	7.279	1
51.767	2.187	1
54.704	0.729	1
55.734	1.058	1
57.917	0.948	1
59.31	0.644	1
63.988	0.534	1
67.629	0.389	1
72.234	0.548	1
129.84	0.0	1
41.289	0.962	1-4
43.085	0.702	1-4
44.37	0.337	1-4
47.43	0.633	1-4
92.538	0.0	1-4
18.631	0.27	1-6
20.511	0.43	1-6
22.708	0.434	1-6
24.106	0.239	1-6
29.071	0.708	1-6
32.789	0.389	1-6
36.259	0.363	1-6
37.436	0.466	1-6
41.618	0.377	1-6
43.879	0.522	1-6
45.187	0.398	1-6
53.11	0.283	1-6
54.039	0.298	1-6
86.595	0.0	1-6
8.199	4.237	1-7
10.215	1.36	1-7
14.089	5.723	1-7
14.806	4.097	1-7
19.75	2.778	1-7
22.245	1.513	1-7
26.031	2.585	1-7
27.128	1.135	1-7
30.334	1.209	1-7
33.973	1.621	1-7
37.177	0.967	1-7
39.616	1.073	1-7
88.73	0.0	1-7
15.38	1.98	1-8
16.5	0.79	1-8
20.94	0.64	1-8
25.39	0.51	1-8
31.77	0.97	1-8
36.954	0.448	1-8
82.256	0.0	1-8
36.728	1.154	1-9
75.978	0.0	1-9
6.2	2.33	1-10
9.84	0.45	1-10
22.08	1.14	1-10
26.51	1.05	1-10
29.1	0.53	1-10
32.73	0.46	1-10
35.314	0.329	1-10
72.479	0.0	1-10
14.392	0.472	1-11
22.663	0.358	1-11
27.758	0.566	1-11
71.338	0.0	1-11
6.87	0.66	1-12
8.3	8.6	1-12
13.54	0.48	1-12
20.54	0.4	1-12
23.2	1.01	1-12
27.85	0.48	1-12
32.39	0.69	1-12
68.15	0.0	1-12
7.85	7.23	1-13
8.88	7.09	1-13
62.438	0.0	1-13
5.308	2.286	1-15
8.121	3.916	1-15
9.218	1.34	1-15
11.67	0.478	1-15
13.203	2.138	1-15
15.404	0.555	1-15
20.059	0.894	1-15
24.544	0.434	1-15
28.442	0.472	1-15
58.666	0.0	1-15
7.31	1.75	1-16
10.48	0.67	1-16
15.96	0.57	1-16
18.72	0.52	1-16
28.17	0.72	1-16
57.635	0.0	1-16
4.37	0.42	1-18
7.38	0.49	1-18
9.59	2.06	1-18
16.54	0.36	1-18
23.85	0.52	1-18
52.458	0.0	1-18
5.85	1.04	1-19
8.3	0.35	1-19
14.11	0.47	1-19
15.02	1.11	1-19
22.58	0.59	1-19
25.37	0.63	1-19
50.433	0.0	1-19
3.024	0.34	1-20
4.383	0.415	1-20
5.171	0.358	1-20
7.874	0.627	1-20
10.439	0.361	1-20
12.874	0.257	1-20
44.412	0.0	1-20
