seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
81046767,0.2,0.00750967509748,327.66,0.000456590782468,1.5349,1,1,0.00225,0.035,-0.00472807020501,4,10,17,18,27,15
40700168,0.2,0.00998768642994,327.66,0.000507956827664,1.7459,1,1,0.0025,0.005,-0.00351386931694,6,15,20,26,17,10
59484953,0.2,0.00832538960002,327.66,0.000416887083185,1.3622,1,1,0.0025,0.01,-0.00409534269362,6,12,16,17,14,9
4727923,0.2,0.00753796129501,327.66,0.000513335422782,1.7469,1,1,0.0025,0.015,-0.00173187718803,5,11,14,22,22,11
92218726,0.2,0.00660251059014,327.66,0.000405966718625,1.2952,1,1,0.0025,0.02,-0.00336087997766,3,7,11,12,21,9
95346843,0.2,0.00782614592197,327.66,0.000396200889366,1.2477,1,1,0.0025,0.025,-0.00356464679193,6,11,16,18,11,7
49317226,0.2,0.00700379512292,327.66,0.000427641194661,1.386,1,1,0.0025,0.03,-0.00309861218075,4,7,15,21,17,11
61478569,0.2,0.00886204452183,327.66,0.000510785285211,1.6794,1,1,0.0025,0.035,-0.000544811171057,6,13,20,22,19,10
26936871,0.2,0.00805949375266,327.66,0.000400015473998,1.2768,1,1,0.00275,0.005,-0.00298913642125,5,12,15,15,13,9
40580383,0.2,0.00671552199209,327.66,0.000380040473924,1.2295,1,1,0.00275,0.01,-0.00398766485469,2,9,12,15,16,7
47697145,0.2,0.00864722379898,327.66,0.000453025577461,1.4782,1,1,0.00275,0.015,-0.00121365662648,6,12,15,23,15,8
71233519,0.2,0.00903925230343,327.66,0.000456570770523,1.5743,1,1,0.00275,0.02,-0.00426527622221,5,14,16,17,15,12
64954542,0.2,0.00862946086214,327.66,0.000581837850594,2.0036,1,1,0.00275,0.025,0.00139293407103,4,12,19,21,20,22
51409441,0.2,0.00768658753643,327.66,0.000378202453726,1.1902,1,1,0.00275,0.03,-0.00341244482718,5,11,14,14,11,9
87119999,0.2,0.00695464456849,327.66,0.000459307788874,1.5624,1,1,0.00275,0.035,-0.00332611886683,4,8,11,14,19,13
6538056,0.19,0.0189003435374,327.66,0.00121114711397,4.4694,1,1,0.001,0.005,-0.00282148223199,22,38,56,70,63,20
44302622,0.19,0.0244560099073,327.66,0.00178573932093,7.0441,1,1,0.001,0.01,-0.00129835084263,27,69,94,101,83,54
94413566,0.19,0.0179639208832,327.66,0.00145508410547,5.6164,1,1,0.001,0.015,-0.00253393467272,18,45,72,80,76,41
40501793,0.19,0.0150533456209,327.66,0.00113814784814,4.223,1,1,0.001,0.02,-0.00397805869326,17,39,62,67,53,27
68497097,0.19,0.0134926574171,327.66,0.00114401535047,4.2715,1,1,0.001,0.025,-0.00372156625167,13,36,53,62,48,30
32055235,0.19,0.0143737116172,327.66,0.000876818321122,3.0482,1,1,0.001,0.03,-0.00461148316732,18,43,47,35,30,16
59241134,0.19,0.0173108408737,327.66,0.00145714102556,5.5987,1,1,0.001,0.035,-0.00229695286133,22,65,88,88,59,31
56371479,0.19,0.017193873285,327.66,0.00109789612943,4.0676,1,1,0.00125,0.005,-0.00241120920115,15,47,50,64,42,26
41773261,0.19,0.0158543147766,327.66,0.00126538933751,4.8229,1,1,0.00125,0.01,-0.00205242742219,13,39,58,65,68,30
38222849,0.19,0.0141999542997,327.66,0.000994557831036,3.6284,1,1,0.00125,0.015,-0.0031944873043,15,33,30,53,56,22
97387882,0.19,0.0159642672688,327.66,0.000859617284529,3.1015,1,1,0.00125,0.02,-0.00454466097752,17,34,40,42,42,16
52276403,0.19,0.012586109933,327.66,0.000939082563799,3.4009,1,1,0.00125,0.025,-0.00332200592537,12,30,39,58,40,19
23215874,0.19,0.010988882999,327.66,0.000575115156475,1.8875,1,1,0.00125,0.03,-0.00618864869168,11,17,23,30,21,8
54055873,0.19,0.0179728582083,327.66,0.00104619419143,3.8417,1,1,0.00125,0.035,-0.00295184261384,17,36,48,62,45,25
90954041,0.19,0.0155949173257,327.66,0.00102845190869,3.892,1,1,0.0015,0.005,-0.00169800786419,15,35,42,56,41,35
57539961,0.19,0.0128095157485,327.66,0.000803358472669,2.8973,1,1,0.0015,0.01,-0.0031858640267,8,20,28,39,33,27
86018290,0.19,0.0099140291273,327.66,0.000471133089198,1.5245,1,1,0.0015,0.015,-0.00553352120352,8,19,16,21,16,10
77924279,0.19,0.0144670508148,327.66,0.000975107143926,3.7364,1,1,0.0015,0.02,-0.00362561534648,15,30,43,51,46,27
20628410,0.19,0.0149263547252,327.66,0.00101178534497,3.7637,1,1,0.0015,0.025,-0.00068950511689,12,39,47,51,45,26
75956174,0.19,0.0106498781582,327.66,0.000639855338588,2.202,1,1,0.0015,0.03,-0.00435594541589,7,23,23,27,20,16
93074308,0.19,0.0154231824921,327.66,0.000879855210776,3.2666,1,1,0.0015,0.035,-0.00300652258793,14,32,44,46,42,21
27992375,0.19,0.0109175491623,327.66,0.000597558399082,2.0939,1,1,0.00175,0.005,-0.00477757670876,6,23,23,28,29,14
92652506,0.19,0.0130847290982,327.66,0.000788005308309,2.796,1,1,0.00175,0.01,-0.000723351957885,12,21,39,40,35,17
76359069,0.19,0.0105821891924,327.66,0.000705907072802,2.4718,1,1,0.00175,0.015,-0.00227984794008,7,18,31,41,32,15
27721421,0.19,0.0124334406587,327.66,0.000608618231506,2.0949,1,1,0.00175,0.02,-0.00347460302455,8,19,23,33,25,16
41589127,0.19,0.0126452530156,327.66,0.00053913675776,1.8385,1,1,0.00175,0.025,-0.00529640436614,12,24,23,23,21,9
48357433,0.19,0.0101490452361,327.66,0.000478221320189,1.611,1,1,0.00175,0.03,-0.00554087557807,7,17,19,24,15,8
11411024,0.19,0.0132224583866,327.66,0.000682640877433,2.3794,1,1,0.00175,0.035,-0.00268460302455,11,22,36,35,28,11
21478978,0.19,0.00966215537471,327.66,0.000451970881975,1.4607,1,1,0.002,0.005,-0.00377191285937,5,15,18,20,19,10
69264155,0.19,0.00947124694488,327.66,0.000459067117744,1.5273,1,1,0.002,0.01,-0.00472374573436,4,14,21,20,17,13
76227148,0.19,0.0112018397357,327.66,0.000580216663121,1.9848,1,1,0.002,0.015,-0.00243007403259,8,20,27,28,24,13
59642078,0.19,0.0125130873019,327.66,0.000614649216038,2.1014,1,1,0.002,0.02,-0.000849034326226,8,24,27,23,21,16
46382439,0.19,0.0137073505908,327.66,0.000619880338514,2.1331,1,1,0.002,0.025,-0.00149191176299,10,22,30,29,24,10
63092454,0.19,0.00872753344426,327.66,0.000449252336188,1.4399,1,1,0.002,0.03,-0.00355811489749,5,11,17,18,17,9
52519375,0.19,0.0140513701045,327.66,0.000770257483798,2.7248,1,1,0.002,0.035,0.0016653922325,11,25,28,36,29,21
60148290,0.19,0.0117632176169,327.66,0.000541795575587,1.8525,1,1,0.00225,0.005,-0.00237439737039,7,21,30,25,17,12
60138426,0.19,0.00906018094491,327.66,0.000511403280469,1.7279,1,1,0.00225,0.01,-0.00265089473023,5,11,20,25,19,9
46491578,0.19,0.0100749235361,327.66,0.000448716323933,1.5166,1,1,0.00225,0.015,-0.00477584773216,6,15,15,18,14,11
44645548,0.19,0.0141367903968,327.66,0.00066932923936,2.4486,1,1,0.00225,0.02,-0.00247201678169,11,22,35,33,28,17
13062427,0.19,0.0088253784311,327.66,0.000461431298163,1.5521,1,1,0.00225,0.025,-0.00395685315789,4,11,17,23,18,10
93067834,0.19,0.0108425549417,327.66,0.000606078253845,2.1,1,1,0.00225,0.03,-0.000209356130729,5,15,21,32,30,12
87265928,0.19,0.0120453855383,327.66,0.000587160192354,2.1083,1,1,0.00225,0.035,-0.00309835409788,6,21,28,31,25,8
41074819,0.19,0.0112495024721,327.66,0.000508452596117,1.7718,1,1,0.0025,0.005,-0.00276352107254,6,15,22,27,19,9
56434485,0.19,0.00780869410434,327.66,0.000408160115784,1.3583,1,1,0.0025,0.01,-0.00427838808705,3,9,15,18,15,9
79182222,0.19,0.00965136565223,327.66,0.00041398420759,1.3609,1,1,0.0025,0.015,-0.00326888684046,4,13,20,20,14,7
26854254,0.19,0.00833822657791,327.66,0.000350362539276,1.116,1,1,0.0025,0.02,-0.00526645688926,4,9,12,11,9,9
46755151,0.19,0.00589075749779,327.66,0.000310036930311,0.9681,1,1,0.0025,0.025,-0.00626292626767,3,5,7,11,13,12
95444841,0.19,0.0085470530081,327.66,0.00039918244929,1.3058,1,1,0.0025,0.03,-0.0038725704865,6,10,12,15,16,11
72147947,0.19,0.0119080325449,327.66,0.000531462330712,1.8631,1,1,0.0025,0.035,-0.00275530700916,6,15,20,20,22,16
54564756,0.19,0.00965068718145,327.66,0.000443025850345,1.4956,1,1,0.00275,0.005,-0.00301908306622,6,11,16,13,12,15
52015453,0.19,0.0096966672853,327.66,0.000347696332423,1.1323,1,1,0.00275,0.01,-0.00585130200412,6,14,14,14,13,8
92773640,0.19,0.00863496128748,327.66,0.000384348979753,1.2461,1,1,0.00275,0.015,-0.00341139806084,5,15,15,16,15,7
72686716,0.19,0.011216289851,327.66,0.00060194347809,2.1229,1,1,0.00275,0.02,0.000965194882239,7,17,18,21,28,21
41056057,0.19,0.0101401073742,327.66,0.000521172188489,1.7848,1,1,0.00275,0.025,-0.000542735141611,6,12,21,22,20,14
50215531,0.19,0.0118453635173,327.66,0.000508053280841,1.7534,1,1,0.00275,0.03,-0.00110347123797,7,18,21,27,18,12
63421242,0.19,0.0102200327775,327.66,0.000517409019162,1.7649,1,1,0.00275,0.035,0.00014195233541,5,13,17,26,22,13
33727613,0.18,0.0179607721595,327.66,0.00138898966445,5.4733,1,1,0.001,0.005,-0.00368800413722,16,49,75,85,63,42
88460983,0.18,0.0219700484953,327.66,0.00121699315294,4.575,1,1,0.001,0.01,-0.00278295026462,25,56,80,68,49,24
17692416,0.18,0.0178714365198,327.66,0.000905365910733,3.2779,1,1,0.001,0.015,-0.00495521812216,20,41,57,48,19,21
54109028,0.18,0.01691705117,327.66,0.0010065524632,3.5831,1,1,0.001,0.02,-0.00257933828903,17,48,54,48,33,23
72670996,0.18,0.0244910162208,327.66,0.00178433734123,7.0275,1,1,0.001,0.025,-0.000543849668406,23,73,102,110,93,43
73319897,0.18,0.0170590435221,327.66,0.00139264322989,5.5398,1,1,0.001,0.03,-0.00415485274703,15,57,76,75,69,48
96870731,0.18,0.0187141987628,327.66,0.00138641397316,5.333,1,1,0.001,0.035,-0.00204936662003,21,55,84,95,66,25
4380160,0.18,0.0165109317121,327.66,0.00094786697208,3.5855,1,1,0.00125,0.005,-0.00460699574323,17,38,57,57,36,21
13810342,0.18,0.0174496998854,327.66,0.00103889422966,3.875,1,1,0.00125,0.01,-0.00293321175815,19,45,54,56,44,20
2854332,0.18,0.0159875117279,327.66,0.000854769247861,3.0228,1,1,0.00125,0.015,-0.00276599677308,13,34,48,53,32,16
34597942,0.18,0.0151899475483,327.66,0.00080712881111,2.8399,1,1,0.00125,0.02,-0.00338018368922,17,30,36,45,29,17
60656571,0.18,0.0173498427017,327.66,0.00112388403731,4.1058,1,1,0.00125,0.025,-0.000105237237071,16,41,48,70,47,18
95279508,0.18,0.0160637088375,327.66,0.000979509244084,3.6187,1,1,0.00125,0.03,-0.00297058017529,14,32,48,57,48,29
90382774,0.18,0.0203105261958,327.66,0.00103276349328,3.8457,1,1,0.00125,0.035,-0.00251509991517,20,43,58,59,46,20
45106653,0.18,0.0125050281142,327.66,0.000625010873477,2.1647,1,1,0.0015,0.005,-0.00407385182695,9,24,32,27,21,15
49822334,0.18,0.0129216790607,327.66,0.000526198045584,1.7893,1,1,0.0015,0.01,-0.00597203303791,13,18,23,21,13,11
94380824,0.18,0.00970343856342,327.66,0.000673030305683,2.3342,1,1,0.0015,0.015,-0.0026029934838,6,14,21,35,32,20
31912760,0.18,0.0142362469792,327.66,0.000633157274555,2.1869,1,1,0.0015,0.02,-0.00391898597458,10,23,31,35,22,17
62474161,0.18,0.0132990849076,327.66,0.000753752335111,2.6737,1,1,0.0015,0.025,-0.00218819577814,10,20,27,36,34,20
71234045,0.18,0.0153823487568,327.66,0.00081078022142,2.9192,1,1,0.0015,0.03,-0.00168756431274,13,29,41,44,31,20
84322713,0.18,0.0161181169134,327.66,0.00084557298935,3.1495,1,1,0.0015,0.035,-0.00335587078031,15,28,40,40,38,16
44795093,0.18,0.0145577728297,327.66,0.000576949570124,2.0833,1,1,0.00175,0.005,-0.00587256469942,13,22,27,27,22,16
63944808,0.18,0.0106508276772,327.66,0.000547857127816,1.8325,1,1,0.00175,0.01,-0.00301207130801,7,15,21,29,20,15
83612726,0.18,0.0125496606974,327.66,0.00062947723177,2.2186,1,1,0.00175,0.015,-0.0033876865722,9,18,23,30,32,17
