distance_from_base_(mm)	lateral_root_length_(mm)	order
0.98	97.907	1
1.96	74.954	1
2.94	66.503	1
3.92	62.2	1
4.9	59.55	1
5.88	57.671	1
6.86	55.18	1
7.84	49.243	1
8.82	47.53	1
9.8	41.284	1
10.78	38.755	1
11.76	35.999	1
12.74	17.95	1
13.72	15.46	1
14.16	17.83	1
14.73	29.52	1
15.67	29.5	1
17.07	9.88	1
17.56	26.13	1
18.7	23.73	1
20.61	20.584	1
24.32	15.302	1
26.58	10.79	1
28.1	9.97	1
30.24	0.44	1
39.836	1.14	1
42.995	0.81	1
44.712	0.51	1
51.756	2.94	1
53.186	0.9	1
54.036	2.38	1
56.046	1.96	1
100.715	0.0	1
13.35	5.77	1-1
14.17	3.77	1-1
17.11	3.73	1-1
17.73	2.71	1-1
19.63	2.29	1-1
23.13	3.32	1-1
24.94	3.26	1-1
29.03	2.7	1-1
30.97	1.89	1-1
34.47	1.54	1-1
97.927	0.0	1-1
17.95	2.18	1-2
74.954	0.0	1-2
