distance_from_base_(mm)	lateral_root_length_(mm)	order
0.97	100.09	1
2.0	95.898	1
2.89	87.89	1
3.77	85.174	1
4.59	82.49	1
5.34	75.176	1
5.97	79.84	1
6.61	71.202	1
7.21	39.02	1
8.11	10.72	1
8.98	2.4	1
9.3	5.63	1
10.57	1.87	1
11.34	1.38	1
12.9	66.634	1
14.81	64.38	1
16.94	1.68	1
18.3	57.12	1
21.26	50.84	1
23.5	34.95	1
27.25	30.01	1
28.91	22.56	1
31.185	20.87	1
35.461	16.44	1
36.33	13.81	1
38.919	9.72	1
40.971	6.5	1
43.564	1.51	1
44.734	0.28	1
45.764	27.67	1
47.314	1.43	1
48.794	23.79	1
50.834	21.02	1
51.244	1.08	1
53.314	5.91	1
55.764	15.62	1
57.044	13.31	1
59.314	7.58	1
60.874	8.23	1
63.184	2.19	1
64.165	1.01	1
66.248	6.65	1
67.888	4.09	1
68.488	4.15	1
70.548	9.09	1
72.058	2.91	1
72.908	5.59	1
74.218	5.11	1
75.748	7.96	1
77.328	2.56	1
77.638	2.99	1
78.988	1.94	1
80.278	2.57	1
81.678	3.99	1
83.968	1.48	1
85.428	1.28	1
86.028	0.46	1
87.808	0.64	1
89.648	0.74	1
92.278	0.42	1
123.088	0.0	1
6.22	38.75	1-1
8.41	31.53	1-1
11.31	9.47	1-1
12.73	21.11	1-1
15.03	1.73	1-1
17.11	14.32	1-1
17.48	3.34	1-1
20.15	12.52	1-1
22.67	17.83	1-1
24.73	14.24	1-1
27.54	7.16	1-1
29.73	5.33	1-1
31.94	11.88	1-1
36.22	8.05	1-1
37.09	6.64	1-1
39.68	3.9	1-1
41.73	1.91	1-1
44.47	10.15	1-1
45.93	6.28	1-1
47.1	1.64	1-1
48.0	4.16	1-1
48.69	1.54	1-1
49.85	1.37	1-1
50.27	1.57	1-1
52.63	4.08	1-1
53.63	3.03	1-1
55.94	1.06	1-1
56.56	1.58	1-1
57.52	1.25	1-1
58.66	1.21	1-1
59.69	1.34	1-1
61.18	1.9	1-1
62.38	1.74	1-1
63.58	1.24	1-1
99.74	0.0	1-1
10.271	9.115	1-2
13.697	0.881	1-2
17.23	2.943	1-2
17.97	15.127	1-2
20.002	11.953	1-2
20.425	12.825	1-2
23.433	6.772	1-2
26.841	3.635	1-2
30.83	8.92	1-2
31.56	11.42	1-2
33.64	7.74	1-2
38.05	3.02	1-2
38.79	1.16	1-2
40.6	0.51	1-2
43.635	5.66	1-2
45.119	1.77	1-2
47.815	2.45	1-2
48.848	1.4	1-2
52.458	0.92	1-2
54.552	0.73	1-2
58.168	1.1	1-2
60.918	0.44	1-2
62.568	0.44	1-2
95.608	0.0	1-2
7.432	0.598	1-3
12.149	0.939	1-3
32.772	8.14	1-3
34.282	7.32	1-3
34.832	6.42	1-3
38.552	3.96	1-3
39.422	2.91	1-3
41.712	0.24	1-3
43.362	3.56	1-3
44.412	1.96	1-3
46.192	3.11	1-3
50.022	3.36	1-3
52.992	1.59	1-3
55.892	0.51	1-3
57.722	0.5	1-3
58.932	0.33	1-3
59.652	0.36	1-3
61.012	0.2	1-3
87.702	0.0	1-3
6.714	0.294	1-4
10.416	0.9	1-4
14.786	11.03	1-4
20.916	6.18	1-4
24.897	1.516	1-4
29.643	2.397	1-4
30.758	2.402	1-4
32.517	4.107	1-4
33.411	1.243	1-4
33.921	0.55	1-4
35.481	3.71	1-4
37.941	1.18	1-4
40.111	3.89	1-4
41.721	4.3	1-4
46.551	0.49	1-4
49.501	0.34	1-4
50.091	0.59	1-4
52.841	0.28	1-4
84.641	0.0	1-4
7.014	14.976	1-5
9.344	0.37	1-5
9.664	0.4	1-5
12.71	7.59	1-5
14.602	9.29	1-5
16.607	8.764	1-5
20.503	5.362	1-5
21.445	3.222	1-5
25.384	2.46	1-5
25.774	0.35	1-5
30.434	2.54	1-5
31.814	2.24	1-5
32.644	5.48	1-5
36.524	1.98	1-5
40.994	2.37	1-5
44.274	2.02	1-5
46.764	2.13	1-5
49.104	0.85	1-5
82.094	0.0	1-5
6.24	5.24	1-6
7.061	1.273	1-6
9.528	6.26	1-6
11.552	5.345	1-6
12.543	2.019	1-6
13.92	2.77	1-6
15.902	2.676	1-6
18.13	0.776	1-6
19.783	0.675	1-6
26.803	6.81	1-6
28.373	0.29	1-6
30.043	6.97	1-6
32.433	6.07	1-6
34.75	1.44	1-6
74.949	0.0	1-6
4.64	8.74	1-7
8.89	5.61	1-7
10.57	3.82	1-7
12.7	0.71	1-7
15.443	8.417	1-7
19.159	4.009	1-7
21.022	3.076	1-7
25.526	2.56	1-7
28.976	0.61	1-7
