distance_from_base_(mm)	lateral_root_length_(mm)	order
0.477	88.124	1
1.027	79.324	1
1.778	72.273	1
2.437	74.297	1
3.036	102.668	1
3.703	93.876	1
4.481	79.575	1
5.325	77.317	1
6.085	80.808	1
6.895	78.374	1
7.587	72.825	1
8.372	74.071	1
9.157	72.417	1
9.908	71.832	1
10.845	69.972	1
11.807	17.282	1
13.674	15.643	1
15.065	64.999	1
15.84	60.868	1
17.05	56.227	1
18.218	48.323	1
19.298	26.112	1
20.586	23.16	1
22.767	19.034	1
23.762	9.329	1
26.032	15.74	1
27.63	12.773	1
28.838	10.8	1
29.378	9.079	1
32.175	5.151	1
32.656	0.529	1
34.702	2.382	1
37.25	7.95	1
38.087	1.72	1
39.453	27.43	1
41.059	20.55	1
42.885	17.064	1
45.365	0.34	1
46.983	7.307	1
50.438	22.701	1
53.754	0.796	1
56.089	16.141	1
56.959	5.041	1
58.082	1.024	1
59.215	10.832	1
64.155	5.05	1
68.885	1.2	1
71.501	1.98	1
73.671	7.56	1
76.841	17.0	1
78.171	10.25	1
78.831	2.13	1
84.861	6.16	1
86.791	3.14	1
88.421	3.79	1
90.181	7.15	1
91.241	3.53	1
92.261	3.96	1
96.061	1.14	1
100.103	3.59	1
102.333	2.58	1
103.053	3.09	1
105.213	2.6	1
107.573	3.88	1
109.303	1.8	1
109.933	2.04	1
113.303	1.68	1
115.523	1.71	1
116.443	1.47	1
118.346	0.78	1
120.026	0.68	1
137.596	0.0	1
11.296	6.09	1-1
20.49	1.845	1-1
22.769	3.105	1-1
24.001	1.029	1-1
25.854	3.08	1-1
31.293	6.015	1-1
36.903	1.283	1-1
42.329	1.29	1-1
44.059	0.79	1-1
46.379	2.09	1-1
47.009	1.98	1-1
52.465	0.718	1-1
54.862	0.27	1-1
57.298	2.682	1-1
59.512	1.058	1-1
62.748	1.136	1-1
64.566	2.016	1-1
67.606	0.48	1-1
87.316	0.0	1-1
15.18	0.608	1-2
17.884	10.177	1-2
21.334	0.948	1-2
23.891	3.067	1-2
24.524	9.144	1-2
26.133	1.207	1-2
27.359	8.681	1-2
36.031	0.656	1-2
37.771	0.87	1-2
39.777	0.494	1-2
41.642	0.515	1-2
44.8	0.472	1-2
48.12	1.19	1-2
51.53	1.18	1-2
52.93	0.97	1-2
56.8	1.83	1-2
63.02	0.53	1-2
78.82	0.34	1-2
15.817	1.005	1-3
17.648	0.89	1-3
19.615	4.772	1-3
21.005	3.97	1-3
23.245	0.59	1-3
24.345	3.494	1-3
26.034	2.142	1-3
29.506	0.68	1-3
31.45	1.265	1-3
32.827	2.0	1-3
38.657	1.824	1-3
42.116	1.536	1-3
50.802	0.45	1-3
72.072	1.44	1-3
13.712	3.594	1-4
17.873	1.009	1-4
19.487	1.825	1-4
21.195	0.456	1-4
24.592	1.193	1-4
26.475	0.844	1-4
30.468	0.337	1-4
41.393	0.921	1-4
44.619	0.477	1-4
73.791	0.3	1-4
15.51	0.59	1-5
20.63	4.01	1-5
26.26	2.7	1-5
29.33	1.8	1-5
31.87	0.32	1-5
35.53	0.93	1-5
37.51	1.35	1-5
42.81	0.39	1-5
102.487	0.0	1-5
17.335	0.34	1-6
23.807	3.276	1-6
35.73	0.363	1-6
45.9	0.937	1-6
93.94	0.0	1-6
32.184	0.751	1-7
35.803	0.304	1-7
37.812	0.389	1-7
79.575	0.0	1-7
18.733	0.623	1-8
26.538	0.38	1-8
29.732	0.534	1-8
36.029	0.53	1-8
37.339	0.93	1-8
77.251	0.0	1-8
13.44	1.722	1-9
17.612	0.764	1-9
20.659	1.432	1-9
80.705	0.0	1-9
12.197	0.819	1-10
16.288	0.627	1-10
78.369	0.0	1-10
5.675	0.93	1-37
19.247	0.0	1-37
