Col 4;;;
relative position;internode length (mm);LR length (mm);relative dist to tip
1.156836715;0.61;75.92;98.84316328
2.446425185;0.68;73.2;97.55357482
3.223971174;0.41;63.5;96.77602883
5.651431822;1.28;56.32;94.34856818
9.747771667;2.16;56.55;90.25222833
10.75289209;0.53;53.23;89.24710791
14.67855111;2.07;52.93;85.32144889
16.21467855;0.81;50.36;83.78532145
17.20083444;0.52;13.66;82.79916556
19.55243694;1.24;4.02;80.44756306
20.89891902;0.71;0.71;79.10108098
22.41608193;0.8;1.55;77.58391807
27.08135786;2.46;24.34;72.91864214
28.29508819;0.64;30.33;71.70491181
30.32429357;1.07;38.67;69.67570643
31.44320121;0.59;16.88;68.55679879
34.70510146;1.72;5.97;65.29489854
36.43087427;0.91;40.51;63.56912573
37.39806562;0.51;12.89;62.60193438
38.40318604;0.53;1.6;61.59681396
41.91162526;1.85;24.12;58.08837474
42.10127062;0.1;13.79;57.89872938
43.97875972;0.99;3.23;56.02124028
45.87521335;1;0.73;54.12478665
47.14583728;0.67;0.72;52.85416272
48.66300019;0.8;12.5;51.33699981
49.93362412;0.67;0.7;50.06637588
53.27138251;1.76;0.28;46.72861749
65.84487009;6.63;0.44;34.15512991
67.28617485;0.76;1.42;32.71382515
100;17.25;0;0
