dist from base (cm);plt 1;plt 2;plt 3;plt 4;plt 5
1;4;6;8;4;3
2;11;14;15;12;17
3;20;23;30;23;29
4;22;47;31;22;40
5;25;46;35;19;40
6;22;25;22;15;33
7;20;32;21;14;27
8;18;25;22;13;26
9;17;25;16;9;28
10;13;23;8;3;19
11;6;16;3;2;17
12;3;12;1;0;13
13;1;8;1;0;9
14;1;3;0;0;5
15;0;2;0;0;2
16;0;2;0;0;2
17;0;1;0;0;1
18;0;1;0;0;0
19;0;1;0;;0
