Col 1;;;;Col 2;;;;Col 3;;;;Col 4;;;
relative position;internode length (mm);LR length (mm);relative dist to tip;relative position;internode length (mm);LR length (mm);relative dist to tip;relative position;internode length (mm);LR length (mm);relative dist to tip;relative position;internode length (mm);LR length (mm);relative dist to tip
53.33898175;0.28;12.82;46.66101825;73.40348331;0.79;4.23;26.59651669;78.65589847;2.01;1.25;21.34410153;;;;
54.15543403;1.06;5.49;45.84456597;76.30624093;1.6;0.89;23.69375907;82.53533314;2.69;0.35;17.46466686;;;;
55.96549334;2.35;1.11;44.03450666;76.81422351;0.28;1.15;23.18577649;83.97750216;1;0.13;16.02249784;;;;
56.55087422;0.76;3.51;43.44912578;79.0820029;1.25;0.38;20.9179971;100;11.11;;;;;;
57.3288146;1.01;9.58;42.6711854;80.31567489;0.68;1.61;19.68432511;;;;;;;;
60.08626666;3.58;21.11;39.91373334;82.72859216;1.33;1.32;17.27140784;;;;;;;;
60.3789571;0.38;15.1;39.6210429;84.63352685;1.05;0.32;15.36647315;;;;;;;;
61.36486174;1.28;15.28;38.63513826;100;8.47;;;;;;;;;;
63.05938535;2.2;3.47;36.94061465;;;;;;;;;;;;
63.68327813;0.81;10.63;36.31672187;;;;;;;;;;;;
63.86813525;0.24;14.53;36.13186475;;;;;;;;;;;;
64.80782562;1.22;7.28;35.19217438;;;;;;;;;;;;
65.94007548;1.47;11.34;34.05992452;;;;;;;;;;;;
67.39582531;1.89;5.55;32.60417469;;;;;;;;;;;;
68.69752754;1.69;4.68;31.30247246;;;;;;;;;;;;
69.64492028;1.23;9.78;30.35507972;;;;;;;;;;;;
70.66933683;1.33;4.58;29.33066317;;;;;;;;;;;;
72.98005084;3;1.1;27.01994916;;;;;;;;;;;;
73.8812293;1.17;0.43;26.1187707;;;;;;;;;;;;
74.71308634;1.08;0.83;25.28691366;;;;;;;;;;;;
75.56034815;1.1;0.54;24.43965185;;;;;;;;;;;;
76.73881229;1.53;0.52;23.26118771;;;;;;;;;;;;
78.1637526;1.85;0.47;21.8362474;;;;;;;;;;;;
79.65031195;1.93;0.1;20.34968805;;;;;;;;;;;;
80.39744281;0.97;0.29;19.60255719;;;;;;;;;;;;
100;25.45;0;0;;;;;;;;;;;;
