distance_from_base_(mm)	lateral_root_length_(mm)	order
0.89	90.81	1
1.88	44.13	1
2.48	56.29	1
3.02	63.98	1
3.8	100.29	1
4.4	70.21	1
5.2	67.68	1
5.59	41.37	1
6.73	48.48	1
7.9	35.81	1
9.02	32.25	1
11.02	21.4	1
12.39	48.15	1
13.64	0.97	1
14.64	53.29	1
15.91	1.1	1
16.22	42.93	1
18.91	50.03	1
20.39	0.2	1
22.77	39.73	1
23.04	0.42	1
24.45	3.19	1
25.7	0.39	1
26.49	0.21	1
27.24	3.95	1
27.72	0.79	1
29.0	1.74	1
29.97	0.28	1
30.66	4.6	1
31.9	0.19	1
32.03	5.09	1
33.33	3.2	1
33.75	1.04	1
36.25	2.24	1
37.31	0.44	1
38.9	3.84	1
39.16	1.71	1
40.63	1.78	1
43.11	3.62	1
45.04	4.0	1
45.67	0.22	1
47.39	0.45	1
49.13	0.83	1
49.41	2.52	1
52.07	0.72	1
53.47	1.68	1
54.5	0.55	1
55.14	0.54	1
57.95	0.95	1
60.73	0.2	1
63.87	0.06	1
64.7	0.11	1
66.13	0.11	1
68.73	0.11	1
70.98	0.07	1
102.94	0.0	1
2.14	23.72	1-1
2.64	18.61	1-1
4.14	0.5	1-1
5.53	5.96	1-1
8.22	4.53	1-1
8.72	8.64	1-1
11.57	5.04	1-1
14.62	7.69	1-1
15.52	4.97	1-1
16.63	6.64	1-1
18.03	7.74	1-1
18.34	7.48	1-1
19.05	1.64	1-1
21.35	0.45	1-1
21.47	5.22	1-1
23.3	7.84	1-1
25.98	7.15	1-1
28.98	0.79	1-1
31.71	4.78	1-1
32.4	2.7	1-1
35.19	3.51	1-1
37.13	2.73	1-1
39.4	0.66	1-1
46.65	0.71	1-1
47.35	0.44	1-1
50.03	0.35	1-1
90.81	0.0	1-1
0.34	5.05	1-2
2.4	1.01	1-2
3.31	3.06	1-2
5.01	0.75	1-2
5.22	3.12	1-2
8.57	0.95	1-2
10.55	0.97	1-2
44.13	0.0	1-2
7.21	0.38	1-3
9.31	0.37	1-3
13.31	0.88	1-3
20.53	0.7	1-3
22.01	0.58	1-3
25.92	0.07	1-3
56.29	0.0	1-3
2.48	5.15	1-4
4.35	13.96	1-4
5.02	8.66	1-4
5.91	18.22	1-4
7.7	0.58	1-4
8.75	7.59	1-4
10.21	3.83	1-4
11.85	0.57	1-4
13.82	0.54	1-4
14.49	2.81	1-4
16.1	0.14	1-4
20.25	0.79	1-4
22.21	1.69	1-4
25.12	0.73	1-4
29.94	0.12	1-4
31.5	0.1	1-4
32.95	0.07	1-4
63.98	0.0	1-4
3.25	19.68	1-5
3.61	8.39	1-5
5.96	0.53	1-5
6.76	11.84	1-5
8.28	15.79	1-5
8.58	17.56	1-5
8.65	17.38	1-5
11.01	16.5	1-5
14.17	14.38	1-5
16.01	13.03	1-5
18.29	7.45	1-5
19.41	9.77	1-5
20.89	9.39	1-5
22.01	13.93	1-5
22.6	8.22	1-5
26.68	8.88	1-5
28.19	8.12	1-5
29.2	8.99	1-5
31.92	3.73	1-5
33.31	6.93	1-5
35.73	2.68	1-5
36.68	3.07	1-5
37.7	3.25	1-5
38.5	4.6	1-5
41.28	2.82	1-5
41.89	3.24	1-5
43.14	2.05	1-5
46.09	0.34	1-5
47.57	1.02	1-5
50.9	0.18	1-5
52.12	0.25	1-5
53.04	0.13	1-5
54.0	0.33	1-5
100.29	0.0	1-5
2.04	4.6	1-6
3.22	2.83	1-6
6.47	0.83	1-6
7.28	0.56	1-6
9.77	0.04	1-6
11.66	1.05	1-6
17.21	1.22	1-6
19.4	0.71	1-6
24.21	0.5	1-6
24.5	0.37	1-6
70.21	0.0	1-6
4.65	8.68	1-7
7.06	4.56	1-7
8.29	7.57	1-7
13.16	6.04	1-7
16.36	4.4	1-7
18.0	3.09	1-7
18.97	1.77	1-7
19.99	1.26	1-7
22.39	2.0	1-7
26.58	1.48	1-7
67.68	0.0	1-7
1.81	18.03	1-8
5.0	0.62	1-8
6.34	0.79	1-8
41.37	0.0	1-8
3.57	0.41	1-9
5.71	0.34	1-9
6.65	0.38	1-9
10.17	0.57	1-9
10.41	0.5	1-9
12.77	1.22	1-9
16.09	0.48	1-9
20.3	0.34	1-9
48.48	0.0	1-9
2.34	0.29	1-10
4.36	0.31	1-10
9.38	0.5	1-10
35.81	0.0	1-10
6.25	0.23	1-11
32.25	0.0	1-11
2.24	0.18	1-13
5.92	0.37	1-13
8.0	0.31	1-13
11.88	0.36	1-13
48.15	0.0	1-13
7.69	0.29	1-15
10.08	0.43	1-15
13.55	0.55	1-15
21.05	1.18	1-15
53.29	0.0	1-15
8.68	0.56	1-17
42.93	0.0	1-17
6.01	0.38	1-18
9.67	0.31	1-18
12.97	0.36	1-18
50.03	0.0	1-18
4.06	0.38	1-20
39.73	0.0	1-20
