distance_from_base_(mm)	lateral_root_length_(mm)	order
0.895	122.238	1
1.832	105.127	1
2.974	100.431	1
4.036	36.259	1
5.136	99.441	1
6.528	29.465	1
7.582	95.084	1
7.971	32.196	1
9.678	29.789	1
11.365	89.553	1
12.469	88.772	1
13.272	82.865	1
15.447	65.973	1
16.055	64.596	1
17.821	57.14	1
19.104	19.236	1
20.12	54.641	1
21.174	51.39	1
23.336	48.042	1
25.091	45.649	1
26.724	41.008	1
28.836	27.317	1
31.013	22.643	1
31.857	19.305	1
34.834	14.541	1
37.527	6.781	1
37.831	3.506	1
40.58	2.051	1
42.723	15.77	1
44.622	25.73	1
45.987	23.53	1
48.456	21.753	1
52.075	14.526	1
55.097	1.64	1
56.211	1.04	1
56.532	4.96	1
58.937	3.53	1
60.486	2.01	1
63.183	0.856	1
65.151	28.809	1
66.497	1.177	1
67.272	5.39	1
69.95	3.754	1
72.871	1.055	1
74.291	16.116	1
77.181	12.51	1
80.501	8.685	1
84.171	0.6	1
87.559	10.16	1
88.949	0.68	1
91.519	25.3	1
92.679	5.76	1
94.059	12.19	1
96.649	3.21	1
98.189	11.68	1
100.569	14.17	1
105.199	20.09	1
105.709	4.29	1
108.229	3.76	1
108.739	4.76	1
109.729	3.61	1
114.449	2.19	1
114.749	1.73	1
117.527	3.78	1
120.227	2.7	1
122.617	2.42	1
124.317	1.78	1
125.557	1.76	1
126.807	0.69	1
127.547	1.14	1
131.537	1.32	1
132.957	0.51	1
156.097	0.0	1
8.83	17.422	1-1
12.607	3.423	1-1
16.254	6.931	1-1
20.04	1.709	1-1
22.526	1.097	1-1
24.353	1.003	1-1
27.118	1.371	1-1
28.609	1.02	1-1
30.875	0.448	1-1
39.615	1.318	1-1
43.224	0.513	1-1
48.488	0.506	1-1
51.716	0.599	1-1
59.958	0.878	1-1
63.42	0.911	1-1
64.836	0.415	1-1
67.179	0.894	1-1
71.005	1.476	1-1
73.224	0.667	1-1
74.668	0.27	1-1
76.788	0.422	1-1
121.291	0.0	1-1
6.571	6.332	1-2
10.253	0.304	1-2
14.537	1.781	1-2
16.061	1.144	1-2
20.243	2.457	1-2
24.92	2.033	1-2
37.949	0.358	1-2
40.504	5.04	1-2
104.561	0.0	1-2
5.595	5.047	1-3
6.209	5.252	1-3
10.764	3.094	1-3
16.563	2.285	1-3
28.473	0.36	1-3
34.731	0.267	1-3
37.452	0.358	1-3
41.981	0.599	1-3
55.101	0.466	1-3
95.476	0.0	1-3
8.868	0.389	1-9
11.055	0.687	1-9
12.915	0.55	1-9
20.298	0.614	1-9
30.01	0.0	1-9
14.338	1.123	1-12
81.06	0.0	1-12
5.362	0.721	1-20
10.185	0.54	1-20
41.614	0.0	1-20
