distance_from_base_(mm)	lateral_root_length_(mm)	order
2.82	46.6	1
3.39	22.33	1
4.13	68.66	1
4.96	50.23	1
5.49	32.3	1
5.9	61.29	1
6.59	29.55	1
7.27	50.3	1
8.09	95.91	1
9.18	54.58	1
10.24	22.62	1
12.7	95.95	1
13.06	8.78	1
13.78	82.5	1
15.01	68.46	1
15.54	32.67	1
16.13	10.57	1
18.5	0.55	1
19.38	1.59	1
20.74	31.73	1
22.54	32.22	1
24.34	0.21	1
25.3	0.31	1
26.49	0.38	1
32.42	1.47	1
34.12	1.27	1
36.65	0.81	1
38.0	0.31	1
44.91	0.27	1
46.63	0.36	1
47.79	0.19	1
48.84	0.07	1
50.05	0.16	1
55.24	0.22	1
85.85	0.0	1
11.8	0.57	1-1
21.99	0.33	1-1
46.6	0.0	1-1
10.33	5.19	1-3
13.66	3.84	1-3
14.85	2.9	1-3
20.59	0.24	1-3
27.76	0.59	1-3
30.75	0.25	1-3
68.66	0.0	1-3
7.63	0.5	1-4
10.71	2.13	1-4
14.11	3.8	1-4
15.87	3.13	1-4
19.96	1.66	1-4
22.97	0.28	1-4
26.64	0.86	1-4
50.23	0.0	1-4
6.88	23.58	1-6
10.51	0.38	1-6
16.73	0.46	1-6
22.99	0.61	1-6
61.29	0.0	1-6
5.25	18.76	1-9
6.71	9.57	1-9
8.77	14.72	1-9
9.33	15.49	1-9
11.37	19.75	1-9
13.87	17.75	1-9
18.34	12.3	1-9
18.98	14.72	1-9
20.79	12.74	1-9
21.21	3.71	1-9
22.47	10.72	1-9
23.65	6.43	1-9
24.63	5.68	1-9
27.04	7.23	1-9
28.58	7.11	1-9
30.35	3.89	1-9
32.35	8.42	1-9
34.78	5.21	1-9
35.35	5.94	1-9
37.41	3.4	1-9
39.37	3.24	1-9
40.08	1.33	1-9
40.34	2.36	1-9
42.19	2.78	1-9
44.94	1.76	1-9
45.82	1.23	1-9
47.83	1.29	1-9
49.37	0.48	1-9
51.17	0.37	1-9
95.91	0.0	1-9
7.94	0.28	1-10
17.49	0.79	1-10
19.77	0.68	1-10
54.58	0.0	1-10
2.32	24.0	1-12
4.5	18.5	1-12
6.28	22.23	1-12
8.21	26.72	1-12
10.39	19.74	1-12
12.34	21.57	1-12
14.8	14.15	1-12
16.91	10.54	1-12
18.66	7.43	1-12
20.02	7.95	1-12
20.93	4.91	1-12
21.61	11.49	1-12
25.41	11.81	1-12
26.85	7.29	1-12
27.43	11.23	1-12
28.7	6.31	1-12
29.35	4.78	1-12
33.02	7.91	1-12
35.78	6.42	1-12
38.64	1.43	1-12
39.1	5.15	1-12
39.97	3.55	1-12
41.26	3.74	1-12
44.21	3.37	1-12
47.79	1.78	1-12
49.37	0.88	1-12
50.85	0.62	1-12
53.53	0.95	1-12
95.95	0.0	1-12
3.08	0.4	1-14
4.71	0.61	1-14
4.99	0.38	1-14
6.57	12.72	1-14
8.44	3.25	1-14
9.5	4.5	1-14
12.55	3.51	1-14
14.39	1.55	1-14
16.79	0.55	1-14
18.21	1.22	1-14
21.22	2.9	1-14
21.51	0.88	1-14
22.71	1.5	1-14
24.3	1.46	1-14
26.28	4.7	1-14
28.32	1.63	1-14
30.02	2.89	1-14
32.71	2.14	1-14
36.05	0.86	1-14
37.01	1.69	1-14
38.34	1.09	1-14
40.42	0.34	1-14
45.67	0.17	1-14
46.58	0.25	1-14
82.5	0.0	1-14
4.28	2.27	1-15
9.23	1.49	1-15
9.92	0.39	1-15
12.37	0.94	1-15
15.86	0.74	1-15
19.32	2.37	1-15
23.04	1.51	1-15
27.05	0.43	1-15
29.95	0.35	1-15
31.88	0.35	1-15
37.62	0.16	1-15
38.22	0.15	1-15
68.46	0.0	1-15
