seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
25027285,0.16,0.0106411289053,327.66,0.000353722346955,1.1338,1,1,0.00225,0.01,-0.00381140903132,5,14,17,16,9,7
9345942,0.16,0.0111669457649,327.66,0.000338855011049,1.0898,1,1,0.00225,0.015,-0.0048436308399,5,14,18,14,8,5
60249852,0.16,0.013412974594,327.66,0.000511034708818,1.7812,1,1,0.00225,0.02,-0.00118345694263,10,21,20,30,27,9
22702777,0.16,0.0141276077947,327.66,0.000517161442811,1.8641,1,1,0.00225,0.025,-0.0035111664999,9,18,20,25,22,14
40974360,0.16,0.0098134768952,327.66,0.000297424126957,0.9402,1,1,0.00225,0.03,-0.00597748013463,7,10,13,13,11,3
60215782,0.16,0.0153243072722,327.66,0.000536615824434,1.8899,1,1,0.00225,0.035,-0.000883068918746,10,18,33,24,22,14
34043761,0.16,0.0116421881005,327.66,0.000391861727876,1.3174,1,1,0.0025,0.005,-0.00222332928431,7,12,15,24,15,11
56103453,0.16,0.0130974950685,327.66,0.000407440873279,1.4006,1,1,0.0025,0.01,-0.00333866737823,6,13,19,22,16,8
41991790,0.16,0.010592687053,327.66,0.000361766841051,1.209,1,1,0.0025,0.015,-0.00365716347027,4,11,15,18,12,7
52689247,0.16,0.00898598507593,327.66,0.000343220693865,1.1485,1,1,0.0025,0.02,-0.0043805853061,3,8,13,20,12,10
41590303,0.16,0.0145293595365,327.66,0.000477454664767,1.6451,1,1,0.0025,0.025,-0.000435972941379,11,15,25,19,18,16
81251233,0.16,0.00901194328919,327.66,0.000329107654355,1.0792,1,1,0.0025,0.03,-0.00421438402397,4,6,11,17,11,9
65586049,0.16,0.0133522134143,327.66,0.00047254404129,1.6335,1,1,0.0025,0.035,0.000341310401562,6,16,24,30,16,10
26900626,0.16,0.00951988123952,327.66,0.000291580638958,0.9004,1,1,0.00275,0.005,-0.00327230388871,5,12,11,10,9,8
49239133,0.16,0.0110983092759,327.66,0.000353497597417,1.1787,1,1,0.00275,0.01,-0.00324951206116,5,14,12,16,14,8
50554124,0.16,0.00976590142494,327.66,0.000315955188215,1.0186,1,1,0.00275,0.015,-0.00326019967404,5,10,10,17,16,6
37729323,0.16,0.0104209514826,327.66,0.000325487031654,1.0477,1,1,0.00275,0.02,-0.0033755888806,6,11,12,14,12,7
25668427,0.16,0.0106719677467,327.66,0.000312802537156,1.0143,1,1,0.00275,0.025,-0.00443397348196,5,11,11,19,11,6
84506251,0.16,0.00899428967922,327.66,0.000265300336764,0.834,1,1,0.00275,0.03,-0.0056764469702,4,9,12,16,6,5
13426612,0.16,0.0133989572868,327.66,0.0004426585102,1.543,1,1,0.00275,0.035,-0.00134712334259,7,15,18,20,16,11
