index,length,axfold,radfold,surface,volume,Jv,i0,i1
0,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
1,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
2,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
3,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
4,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
5,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
6,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
7,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
8,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
9,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
10,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
11,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
12,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
13,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
14,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
15,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
16,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
17,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
18,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
19,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
20,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
21,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
22,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
23,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
24,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
25,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
26,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
27,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
28,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
29,0.12,1.0,400,0.0011727675331594403,3.629634556284604e-08,0.1156869046761676,57,2
