plant,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s),Jexp (uL/s)
200219-YBFB-Col-cut-n-flow-archi2.txt,0.1687,9.86238284841,2.5189,0.00032095289664,0.00522347397244,0.00524
200219-YBFB-Col-cut-n-flow-archi2.txt,0.1201,9.86238284841,2.4344,0.000707083159428,0.00523932862778,0.00522
200219-YBFB-Col-cut-n-flow-archi2.txt,0.0928,9.86238284841,2.1901,0.000628266882935,0.00567866457692,0.00568
200219-YBFB-Col-cut-n-flow-archi2.txt,0.073,9.86238284841,1.8131,0.000510795005299,0.00662683819458,0.00663
200219-YBFB-Col-cut-n-flow-archi2.txt,0.0489,9.86238284841,1.1535,0.00032095289664,0.00880994220968,0.00881
