seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
49530984,0.05,32.76558,2.0,0.6606,0.000184455816638,0.0101549375452
61253808,0.05,32.76558,0.05,0.8178,0.000218140538557,0.0010640507064
61253808,0.05,32.76558,0.25,0.8178,0.000218140538557,0.00358000377388
61253808,0.05,32.76558,0.5,0.8178,0.000218140538557,0.00574057439145
61253808,0.05,32.76558,0.75,0.8178,0.000218140538557,0.00736166191512
61253808,0.05,32.76558,1.0,0.8178,0.000218140538557,0.00864702435692
61253808,0.05,32.76558,1.25,0.8178,0.000218140538557,0.00970021223479
61253808,0.05,32.76558,1.5,0.8178,0.000218140538557,0.0105831879185
61253808,0.05,32.76558,1.75,0.8178,0.000218140538557,0.0113364010002
61253808,0.05,32.76558,2.0,0.8178,0.000218140538557,0.0119878057473
74686220,0.05,32.76558,0.05,0.2641,8.78981810318e-05,0.000905541642482
74686220,0.05,32.76558,0.25,0.2641,8.78981810318e-05,0.00262615751663
74686220,0.05,32.76558,0.5,0.2641,8.78981810318e-05,0.00382422038352
74686220,0.05,32.76558,0.75,0.2641,8.78981810318e-05,0.00460214149987
74686220,0.05,32.76558,1.0,0.2641,8.78981810318e-05,0.00515740392344
74686220,0.05,32.76558,1.25,0.2641,8.78981810318e-05,0.00557603255176
74686220,0.05,32.76558,1.5,0.2641,8.78981810318e-05,0.00590374580113
74686220,0.05,32.76558,1.75,0.2641,8.78981810318e-05,0.00616758809322
74686220,0.05,32.76558,2.0,0.2641,8.78981810318e-05,0.00638472500674
75967411,0.05,32.76558,0.05,0.2289,7.69039262132e-05,0.000896018010068
75967411,0.05,32.76558,0.25,0.2289,7.69039262132e-05,0.00257590501937
75967411,0.05,32.76558,0.5,0.2289,7.69039262132e-05,0.00369751855682
75967411,0.05,32.76558,0.75,0.2289,7.69039262132e-05,0.00439382466556
75967411,0.05,32.76558,1.0,0.2289,7.69039262132e-05,0.00487377996145
75967411,0.05,32.76558,1.25,0.2289,7.69039262132e-05,0.00522601717731
75967411,0.05,32.76558,1.5,0.2289,7.69039262132e-05,0.00549597760546
75967411,0.05,32.76558,1.75,0.2289,7.69039262132e-05,0.00570965299685
75967411,0.05,32.76558,2.0,0.2289,7.69039262132e-05,0.00588306537326
46271222,0.05,32.76558,0.05,0.5071,0.000154011490462,0.00105460794089
46271222,0.05,32.76558,0.25,0.5071,0.000154011490462,0.00333669268724
46271222,0.05,32.76558,0.5,0.5071,0.000154011490462,0.00514039428344
46271222,0.05,32.76558,0.75,0.5071,0.000154011490462,0.00642225218178
46271222,0.05,32.76558,1.0,0.5071,0.000154011490462,0.00739826225318
46271222,0.05,32.76558,1.25,0.5071,0.000154011490462,0.00817149482452
46271222,0.05,32.76558,1.5,0.5071,0.000154011490462,0.00880119403915
46271222,0.05,32.76558,1.75,0.5071,0.000154011490462,0.00932481837261
46271222,0.05,32.76558,2.0,0.5071,0.000154011490462,0.00976752878649
17114309,0.05,32.76558,0.05,0.6564,0.0001816156598,0.000920219758599
17114309,0.05,32.76558,0.25,0.6564,0.0001816156598,0.0028962713484
17114309,0.05,32.76558,0.5,0.6564,0.0001816156598,0.00461130799726
17114309,0.05,32.76558,0.75,0.6564,0.0001816156598,0.00592663976983
17114309,0.05,32.76558,1.0,0.6564,0.0001816156598,0.00698622609131
17114309,0.05,32.76558,1.25,0.6564,0.0001816156598,0.00786402740551
17114309,0.05,32.76558,1.5,0.6564,0.0001816156598,0.00860566932845
17114309,0.05,32.76558,1.75,0.6564,0.0001816156598,0.00924181100129
17114309,0.05,32.76558,2.0,0.6564,0.0001816156598,0.00979415728006
75139478,0.05,32.76558,0.05,0.3321,0.000104566592006,0.000819664690943
75139478,0.05,32.76558,0.25,0.3321,0.000104566592006,0.00231827787911
75139478,0.05,32.76558,0.5,0.3321,0.000104566592006,0.00348954532008
75139478,0.05,32.76558,0.75,0.3321,0.000104566592006,0.00433642384224
75139478,0.05,32.76558,1.0,0.3321,0.000104566592006,0.00498905116075
75139478,0.05,32.76558,1.25,0.3321,0.000104566592006,0.00551011899178
75139478,0.05,32.76558,1.5,0.3321,0.000104566592006,0.00593665719059
75139478,0.05,32.76558,1.75,0.3321,0.000104566592006,0.00629260572557
75139478,0.05,32.76558,2.0,0.3321,0.000104566592006,0.00659431105611
24507982,0.06,32.76558,0.05,0.8072,0.000224098160617,0.00109059886426
24507982,0.06,32.76558,0.25,0.8072,0.000224098160617,0.00362333829132
24507982,0.06,32.76558,0.5,0.8072,0.000224098160617,0.00579128501602
24507982,0.06,32.76558,0.75,0.8072,0.000224098160617,0.00744234921404
24507982,0.06,32.76558,1.0,0.8072,0.000224098160617,0.00876859575478
24507982,0.06,32.76558,1.25,0.8072,0.000224098160617,0.00986513777103
24507982,0.06,32.76558,1.5,0.8072,0.000224098160617,0.0107898680512
24507982,0.06,32.76558,1.75,0.8072,0.000224098160617,0.0115815548914
24507982,0.06,32.76558,2.0,0.8072,0.000224098160617,0.0122676397815
97195335,0.06,32.76558,0.05,0.3594,0.000114189478799,0.000823963452944
97195335,0.06,32.76558,0.25,0.3594,0.000114189478799,0.00238770923483
97195335,0.06,32.76558,0.5,0.3594,0.000114189478799,0.00364631211877
97195335,0.06,32.76558,0.75,0.3594,0.000114189478799,0.00456497965951
97195335,0.06,32.76558,1.0,0.3594,0.000114189478799,0.00527713949018
97195335,0.06,32.76558,1.25,0.3594,0.000114189478799,0.00584850617331
