seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
49530984,0.05,65.53116,1.0,0.6606,0.000184455816638,0.00955166029034
61253808,0.05,1.638279,1.0,0.8178,0.000218140538557,0.000986208639846
61253808,0.05,8.191395,1.0,0.8178,0.000218140538557,0.00379298804975
61253808,0.05,16.38279,1.0,0.8178,0.000218140538557,0.00599390287367
61253808,0.05,24.574185,1.0,0.8178,0.000218140538557,0.00750834238031
61253808,0.05,32.76558,1.0,0.8178,0.000218140538557,0.00864702435692
61253808,0.05,40.956975,1.0,0.8178,0.000218140538557,0.0095517644812
61253808,0.05,49.14837,1.0,0.8178,0.000218140538557,0.0102984331991
61253808,0.05,57.339765,1.0,0.8178,0.000218140538557,0.0109320066596
61253808,0.05,65.53116,1.0,0.8178,0.000218140538557,0.0114811487829
74686220,0.05,1.638279,1.0,0.2641,8.78981810318e-05,0.000416543061586
74686220,0.05,8.191395,1.0,0.2641,8.78981810318e-05,0.00182847084785
74686220,0.05,16.38279,1.0,0.2641,8.78981810318e-05,0.00319236250337
74686220,0.05,24.574185,1.0,0.2641,8.78981810318e-05,0.00427032450556
74686220,0.05,32.76558,1.0,0.2641,8.78981810318e-05,0.00515740392344
74686220,0.05,40.956975,1.0,0.2641,8.78981810318e-05,0.00590921196199
74686220,0.05,49.14837,1.0,0.2641,8.78981810318e-05,0.00656069306335
74686220,0.05,57.339765,1.0,0.2641,8.78981810318e-05,0.00713506128809
74686220,0.05,65.53116,1.0,0.2641,8.78981810318e-05,0.00764844076704
75967411,0.05,1.638279,1.0,0.2289,7.69039262132e-05,0.000367124523089
75967411,0.05,8.191395,1.0,0.2289,7.69039262132e-05,0.0016501777081
75967411,0.05,16.38279,1.0,0.2289,7.69039262132e-05,0.00294153268663
75967411,0.05,24.574185,1.0,0.2289,7.69039262132e-05,0.00399268926588
75967411,0.05,32.76558,1.0,0.2289,7.69039262132e-05,0.00487377996145
75967411,0.05,40.956975,1.0,0.2289,7.69039262132e-05,0.00562916350649
75967411,0.05,49.14837,1.0,0.2289,7.69039262132e-05,0.00628841460382
75967411,0.05,57.339765,1.0,0.2289,7.69039262132e-05,0.006872102454
75967411,0.05,65.53116,1.0,0.2289,7.69039262132e-05,0.00739503711363
46271222,0.05,1.638279,1.0,0.5071,0.000154011490462,0.00071521377362
46271222,0.05,8.191395,1.0,0.5071,0.000154011490462,0.00294871208271
46271222,0.05,16.38279,1.0,0.5071,0.000154011490462,0.00488376439324
46271222,0.05,24.574185,1.0,0.5071,0.000154011490462,0.00629637386775
46271222,0.05,32.76558,1.0,0.5071,0.000154011490462,0.00739826225318
46271222,0.05,40.956975,1.0,0.5071,0.000154011490462,0.0082971130997
46271222,0.05,49.14837,1.0,0.5071,0.000154011490462,0.0090541575869
46271222,0.05,57.339765,1.0,0.5071,0.000154011490462,0.00970713854076
46271222,0.05,65.53116,1.0,0.5071,0.000154011490462,0.0102807885669
17114309,0.05,1.638279,1.0,0.6564,0.0001816156598,0.000819997484031
17114309,0.05,8.191395,1.0,0.6564,0.0001816156598,0.00312813950617
17114309,0.05,16.38279,1.0,0.6564,0.0001816156598,0.00489707864003
17114309,0.05,24.574185,1.0,0.6564,0.0001816156598,0.00609346753652
17114309,0.05,32.76558,1.0,0.6564,0.0001816156598,0.00698622609131
17114309,0.05,40.956975,1.0,0.6564,0.0001816156598,0.00769507685367
17114309,0.05,49.14837,1.0,0.6564,0.0001816156598,0.00828233922513
17114309,0.05,57.339765,1.0,0.6564,0.0001816156598,0.00878403378699
17114309,0.05,65.53116,1.0,0.6564,0.0001816156598,0.00922261599453
75139478,0.05,1.638279,1.0,0.3321,0.000104566592006,0.000485288317189
75139478,0.05,8.191395,1.0,0.3321,0.000104566592006,0.00199553961869
75139478,0.05,16.38279,1.0,0.3321,0.000104566592006,0.00329715552806
75139478,0.05,24.574185,1.0,0.3321,0.000104566592006,0.00424606449202
75139478,0.05,32.76558,1.0,0.3321,0.000104566592006,0.00498905116075
75139478,0.05,40.956975,1.0,0.3321,0.000104566592006,0.00559992639195
75139478,0.05,49.14837,1.0,0.3321,0.000104566592006,0.00612001539122
75139478,0.05,57.339765,1.0,0.3321,0.000104566592006,0.00657436019866
75139478,0.05,65.53116,1.0,0.3321,0.000104566592006,0.00697909064016
24507982,0.06,1.638279,1.0,0.8072,0.000224098160617,0.00101570307167
24507982,0.06,8.191395,1.0,0.8072,0.000224098160617,0.00390507470004
24507982,0.06,16.38279,1.0,0.8072,0.000224098160617,0.00613381989076
24507982,0.06,24.574185,1.0,0.8072,0.000224098160617,0.0076426963239
24507982,0.06,32.76558,1.0,0.8072,0.000224098160617,0.00876859575478
24507982,0.06,40.956975,1.0,0.8072,0.000224098160617,0.00966219216597
24507982,0.06,49.14837,1.0,0.8072,0.000224098160617,0.0104017860164
24507982,0.06,57.339765,1.0,0.8072,0.000224098160617,0.0110325362795
24507982,0.06,65.53116,1.0,0.8072,0.000224098160617,0.011582570032
97195335,0.06,1.638279,1.0,0.3594,0.000114189478799,0.000528112489676
97195335,0.06,8.191395,1.0,0.3594,0.000114189478799,0.00214965212762
97195335,0.06,16.38279,1.0,0.3594,0.000114189478799,0.00352303405017
97195335,0.06,24.574185,1.0,0.3594,0.000114189478799,0.00451117418026
97195335,0.06,32.76558,1.0,0.3594,0.000114189478799,0.00527713949018
97195335,0.06,40.956975,1.0,0.3594,0.000114189478799,0.00590158818708
97195335,0.06,49.14837,1.0,0.3594,0.000114189478799,0.00642927169239
97195335,0.06,57.339765,1.0,0.3594,0.000114189478799,0.00688717290819
97195335,0.06,65.53116,1.0,0.3594,0.000114189478799,0.00729262423754
82185391,0.06,1.638279,1.0,0.3382,0.000111985086066,0.000521883338191
82185391,0.06,8.191395,1.0,0.3382,0.000111985086066,0.00217892718889
82185391,0.06,16.38279,1.0,0.3382,0.000111985086066,0.00365695287209
82185391,0.06,24.574185,1.0,0.3382,0.000111985086066,0.0047677869449
82185391,0.06,32.76558,1.0,0.3382,0.000111985086066,0.00565619032666
82185391,0.06,40.956975,1.0,0.3382,0.000111985086066,0.00639636847011
82185391,0.06,49.14837,1.0,0.3382,0.000111985086066,0.00703095335189
82185391,0.06,57.339765,1.0,0.3382,0.000111985086066,0.00758655285146
82185391,0.06,65.53116,1.0,0.3382,0.000111985086066,0.00808084776726
5368600,0.06,1.638279,1.0,0.7149,0.000200179267958,0.000891777017512
5368600,0.06,8.191395,1.0,0.7149,0.000200179267958,0.00326815385984
5368600,0.06,16.38279,1.0,0.7149,0.000200179267958,0.00495194922909
5368600,0.06,24.574185,1.0,0.7149,0.000200179267958,0.0060248719178
5368600,0.06,32.76558,1.0,0.7149,0.000200179267958,0.00679367429171
5368600,0.06,40.956975,1.0,0.7149,0.000200179267958,0.00738683462444
5368600,0.06,49.14837,1.0,0.7149,0.000200179267958,0.00786810828741
5368600,0.06,57.339765,1.0,0.7149,0.000200179267958,0.00827295978185
5368600,0.06,65.53116,1.0,0.7149,0.000200179267958,0.00862281636479
3285021,0.06,1.638279,1.0,0.5725,0.000168631206035,0.000758752796062
3285021,0.06,8.191395,1.0,0.5725,0.000168631206035,0.00285481038847
3285021,0.06,16.38279,1.0,0.5725,0.000168631206035,0.0044058407664
3285021,0.06,24.574185,1.0,0.5725,0.000168631206035,0.00542267730588
3285021,0.06,32.76558,1.0,0.5725,0.000168631206035,0.00616469372404
3285021,0.06,40.956975,1.0,0.5725,0.000168631206035,0.00674445001393
3285021,0.06,49.14837,1.0,0.5725,0.000168631206035,0.00721906675465
3285021,0.06,57.339765,1.0,0.5725,0.000168631206035,0.00762083010513
3285021,0.06,65.53116,1.0,0.5725,0.000168631206035,0.00796949429181
69379633,0.06,1.638279,1.0,0.3328,0.000110100884456,0.000509498368986
69379633,0.06,8.191395,1.0,0.3328,0.000110100884456,0.00208372364422
69379633,0.06,16.38279,1.0,0.3328,0.000110100884456,0.00344256092262
69379633,0.06,24.574185,1.0,0.3328,0.000110100884456,0.00444448700992
69379633,0.06,32.76558,1.0,0.3328,0.000110100884456,0.00523880519231
69379633,0.06,40.956975,1.0,0.3328,0.000110100884456,0.00589854180261
69379633,0.06,49.14837,1.0,0.3328,0.000110100884456,0.00646418841571
69379633,0.06,57.339765,1.0,0.3328,0.000110100884456,0.00696032698578
69379633,0.06,65.53116,1.0,0.3328,0.000110100884456,0.00740294084694
56540180,0.06,1.638279,1.0,0.3578,0.000115470243292,0.000538752087021
56540180,0.06,8.191395,1.0,0.3578,0.000115470243292,0.00225576161174
56540180,0.06,16.38279,1.0,0.3578,0.000115470243292,0.00379019845239
56540180,0.06,24.574185,1.0,0.3578,0.000115470243292,0.00494073228429
56540180,0.06,32.76558,1.0,0.3578,0.000115470243292,0.00585709471418
56540180,0.06,40.956975,1.0,0.3578,0.000115470243292,0.00661726364293
56540180,0.06,49.14837,1.0,0.3578,0.000115470243292,0.00726648054761
56540180,0.06,57.339765,1.0,0.3578,0.000115470243292,0.00783311934282
56540180,0.06,65.53116,1.0,0.3578,0.000115470243292,0.00833605254073
20640395,0.07,1.638279,1.0,0.4833,0.000150551403145,0.000681765013763
20640395,0.07,8.191395,1.0,0.4833,0.000150551403145,0.00263191501789
20640395,0.07,16.38279,1.0,0.4833,0.000150551403145,0.00418071942197
20640395,0.07,24.574185,1.0,0.4833,0.000150551403145,0.00527318551626
20640395,0.07,32.76558,1.0,0.4833,0.000150551403145,0.00612045913417
20640395,0.07,40.956975,1.0,0.4833,0.000150551403145,0.00681585740921
20640395,0.07,49.14837,1.0,0.4833,0.000150551403145,0.00740805479958
20640395,0.07,57.339765,1.0,0.4833,0.000150551403145,0.00792546705776
20640395,0.07,65.53116,1.0,0.4833,0.000150551403145,0.00838609147617
57393482,0.07,1.638279,1.0,0.4072,0.000132044971973,0.00060334982666
57393482,0.07,8.191395,1.0,0.4072,0.000132044971973,0.00237671384615
57393482,0.07,16.38279,1.0,0.4072,0.000132044971973,0.00380987428745
57393482,0.07,24.574185,1.0,0.4072,0.000132044971973,0.00481778953061
57393482,0.07,32.76558,1.0,0.4072,0.000132044971973,0.00559232489321
57393482,0.07,40.956975,1.0,0.4072,0.000132044971973,0.00622203369889
57393482,0.07,49.14837,1.0,0.4072,0.000132044971973,0.00675399532956
57393482,0.07,57.339765,1.0,0.4072,0.000132044971973,0.00721585159128
57393482,0.07,65.53116,1.0,0.4072,0.000132044971973,0.00762507348217
44422489,0.07,1.638279,1.0,0.4836,0.000148297750239,0.00066793824399
44422489,0.07,8.191395,1.0,0.4836,0.000148297750239,0.00253912683008
44422489,0.07,16.38279,1.0,0.4836,0.000148297750239,0.00398652640867
44422489,0.07,24.574185,1.0,0.4836,0.000148297750239,0.00499075287379
44422489,0.07,32.76558,1.0,0.4836,0.000148297750239,0.00576287310068
44422489,0.07,40.956975,1.0,0.4836,0.000148297750239,0.00639384942117
44422489,0.07,49.14837,1.0,0.4836,0.000148297750239,0.00693016587305
44422489,0.07,57.339765,1.0,0.4836,0.000148297750239,0.00739850005699
44422489,0.07,65.53116,1.0,0.4836,0.000148297750239,0.00781551116546
95505754,0.07,1.638279,1.0,0.455,0.000141856982645,0.000642051901827
95505754,0.07,8.191395,1.0,0.455,0.000141856982645,0.00247286768724
95505754,0.07,16.38279,1.0,0.455,0.000141856982645,0.00391809203941
95505754,0.07,24.574185,1.0,0.455,0.000141856982645,0.00493205926272
95505754,0.07,32.76558,1.0,0.455,0.000141856982645,0.00571561812639
95505754,0.07,40.956975,1.0,0.455,0.000141856982645,0.00635726341461
95505754,0.07,49.14837,1.0,0.455,0.000141856982645,0.00690297924469
95505754,0.07,57.339765,1.0,0.455,0.000141856982645,0.00737950077522
95505754,0.07,65.53116,1.0,0.455,0.000141856982645,0.00780368813718
70087985,0.07,1.638279,1.0,0.3703,0.000122984178937,0.000565895891763
70087985,0.07,8.191395,1.0,0.3703,0.000122984178937,0.00228664318776
70087985,0.07,16.38279,1.0,0.3703,0.000122984178937,0.00376236165254
70087985,0.07,24.574185,1.0,0.3703,0.000122984178937,0.00485776399179
70087985,0.07,32.76558,1.0,0.3703,0.000122984178937,0.0057340974247
